,CLSK,SDIG,HIVE.V,BITF.V,ARBK,SSU.,TSM,NVDA,RIOT,MARA,WULF,AMD,DMGI.V,BTBT,CORZ,CIFR,DGHI.V,HUT.TO,GREE,SATO.V,IREN,BITF.TO,SSU.DE,INTC,MIGI,SUM
02/28/2022,12.04,10.82,8.75,8.72,8.71,4.23,4.17,4.01,3.95,3.89,3.88,3.87,3.83,3.68,3.61,3.0,2.88,2.71,2.34,0.91,0.0,0.0,0.0,0.0,0.0,100.0
03/03/2022,12.81,9.76,8.81,8.85,8.55,3.97,3.78,4.08,4.01,4.02,3.74,4.03,3.76,3.66,4.07,3.21,3.01,2.72,2.3,0.85,0.0,0.0,0.0,0.0,0.0,99.99
03/24/2022,15.45,8.79,8.57,9.46,8.47,3.61,3.5,4.35,4.67,4.64,2.65,3.72,3.85,3.43,1.91,3.74,2.56,2.6,2.06,0.75,1.23,0.0,0.0,0.0,0.0,100.01
05/30/2022,10.84,6.88,6.16,0.0,10.86,0.0,5.31,5.16,2.44,2.63,2.18,5.56,4.55,3.26,1.44,4.41,3.65,2.39,2.85,0.98,3.02,8.46,6.99,0.0,0.0,100.02
07/04/2022,11.01,5.27,7.19,0.0,10.69,0.0,6.93,6.38,2.31,2.2,1.15,6.23,3.92,4.27,0.88,3.71,3.59,2.08,2.46,0.62,2.41,8.3,8.4,0.0,0.0,100.0
07/05/2022,13.23,4.16,8.04,0.0,10.88,0.0,2.02,3.03,3.89,2.32,1.15,3.04,3.85,4.01,1.0,4.67,3.18,2.7,2.36,0.69,4.43,8.77,8.55,3.11,0.9,99.98
07/06/2022,13.13,4.05,8.24,0.0,13.96,0.0,1.87,2.86,3.88,2.37,1.18,2.89,3.78,4.1,1.0,4.43,3.19,2.76,2.34,0.68,4.69,8.49,2.92,2.97,4.16,99.94000000000004
07/12/2022,13.09,4.23,8.45,0.0,13.65,0.0,1.72,2.74,4.24,2.63,1.3,2.72,3.86,4.15,1.05,4.83,3.34,2.81,2.34,0.61,4.16,9.0,2.69,2.74,3.65,99.99999999999999
