,SOFI,SCHW,HOOD,COIN,MKTX,SI,IBKR,XP,TW,VIRT,IGG.L,SQN.SW,FUTU,8698.T,FTK.DE,TIGR,FLOW.AS,GLXY.TO,PLUS.L,VOYG.TO,KGI.BK,8628.T,CMCX.L,XTB.WA,863.HK,ML,Cash&Other,SUM
10/15/2021,9.26,8.82,8.28,7.89,7.21,5.78,5.23,4.75,4.41,3.8,3.65,3.56,3.51,3.33,3.13,2.93,2.68,2.59,1.82,1.6,1.59,1.56,0.9,0.59,0.49,0.34,0.3,100.0
10/18/2021,9.57,8.91,8.35,8.22,7.3,5.8,5.15,4.58,4.39,3.72,3.79,3.85,3.13,3.32,3.25,2.36,2.65,2.53,1.84,1.59,1.58,1.53,0.91,0.59,0.49,0.33,0.29,100.02
10/19/2021,9.32,9.1,8.26,8.75,7.25,5.7,5.1,4.87,4.32,3.67,3.81,3.87,2.66,3.46,3.27,2.25,2.65,2.57,1.84,1.55,1.56,1.54,0.93,0.59,0.5,0.33,0.29,100.01
10/20/2021,9.32,9.1,8.26,8.75,7.25,5.7,5.1,4.87,4.32,3.67,3.81,3.87,2.66,3.46,3.27,2.25,2.65,2.57,1.84,1.55,1.56,1.54,0.93,0.59,0.5,0.33,0.29,100.01
10/21/2021,9.9,8.95,8.08,9.03,7.15,5.58,5.08,4.83,4.25,3.68,3.75,3.87,2.64,3.62,3.22,2.18,2.66,2.46,1.84,1.5,1.58,1.52,0.9,0.58,0.5,0.36,0.28,99.99
10/22/2021,9.55,9.01,8.24,9.36,7.22,4.81,5.2,4.65,4.28,3.76,3.79,3.88,2.73,3.64,3.27,2.35,2.67,2.55,1.82,1.55,1.54,1.51,0.9,0.59,0.48,0.38,0.28,100.01
10/25/2021,9.76,8.95,8.03,9.05,7.1,5.13,5.14,4.36,4.23,3.67,3.7,3.78,2.93,3.79,3.44,2.44,2.61,2.78,1.78,1.68,1.61,1.49,0.87,0.58,0.47,0.36,0.27,100.0
10/26/2021,9.63,9.14,7.75,9.12,7.22,5.07,5.2,4.34,4.32,3.74,3.71,3.81,2.92,3.77,3.51,2.39,2.61,2.77,1.77,1.57,1.62,1.49,0.85,0.59,0.47,0.37,0.27,100.02
10/27/2021,9.63,9.14,7.75,9.12,7.22,5.07,5.2,4.34,4.32,3.74,3.71,3.81,2.92,3.77,3.51,2.39,2.61,2.77,1.77,1.57,1.62,1.49,0.85,0.59,0.47,0.37,0.27,100.02
10/28/2021,9.57,8.97,7.55,9.76,7.0,5.28,5.1,4.46,4.3,3.69,3.68,3.74,2.95,3.71,3.37,2.42,2.55,3.1,1.79,1.52,1.55,1.45,0.83,0.59,0.46,0.31,0.26,99.96
10/29/2021,9.22,8.97,7.65,9.57,6.94,5.48,5.01,4.3,4.35,3.67,3.72,3.82,2.71,3.86,3.4,2.36,2.57,3.63,1.84,1.45,1.54,1.44,0.84,0.62,0.46,0.32,0.26,100.0
11/01/2021,9.36,9.02,6.98,9.73,7.08,5.49,4.54,4.38,4.43,3.67,3.71,3.84,2.39,3.68,3.36,2.04,2.24,4.07,1.7,2.32,1.56,1.48,0.85,0.62,0.47,0.33,0.68,100.02
11/02/2021,9.53,9.1,6.94,9.83,7.2,5.52,4.59,4.29,4.55,3.57,3.63,3.85,2.21,3.67,3.34,1.81,2.18,3.94,1.69,2.48,1.58,1.5,0.82,0.63,0.53,0.32,0.69,99.98999999999998
11/03/2021,9.53,9.1,6.94,9.83,7.2,5.52,4.59,4.29,4.55,3.57,3.63,3.85,2.21,3.67,3.34,1.81,2.18,3.94,1.69,2.48,1.58,1.5,0.82,0.63,0.53,0.32,0.69,99.98999999999998
11/04/2021,10.35,8.76,6.67,9.82,6.93,6.47,5.08,4.3,4.42,3.5,3.48,3.78,2.32,3.71,3.29,1.97,2.11,3.76,1.59,2.31,1.47,1.47,0.79,0.61,0.49,0.32,0.27,100.04
11/05/2021,10.31,8.69,6.65,9.91,6.87,6.88,5.04,4.12,4.47,3.6,3.4,3.66,2.19,3.56,3.21,1.86,2.05,4.15,1.56,2.49,1.47,1.42,0.77,0.59,0.49,0.31,0.26,99.98
11/08/2021,10.38,8.49,6.91,9.95,6.43,7.15,4.96,3.97,4.48,3.78,3.32,3.81,2.24,3.49,3.29,1.82,2.01,4.13,1.54,2.63,1.42,1.41,0.78,0.58,0.49,0.29,0.25,100.0
11/09/2021,10.01,8.42,6.87,9.69,6.4,7.09,4.88,4.28,4.51,3.74,3.32,3.79,2.18,4.18,3.13,1.78,2.05,4.36,1.53,2.59,1.38,1.41,0.81,0.57,0.49,0.28,0.25,99.99
11/10/2021,10.01,8.42,6.87,9.69,6.4,7.09,4.88,4.28,4.51,3.74,3.32,3.79,2.18,4.18,3.13,1.78,2.05,4.36,1.53,2.59,1.38,1.41,0.81,0.57,0.49,0.28,0.25,99.99
