,IWD,RUSSELL 1000 VALUE INDEX SWAP,DREYFUS GOVT CASH MGMT,GOLDMAN FINL SQ TRSRY INS,GOLDMAN FINL SQ TRSRY INST 506,RUSSELL 1000 GROWTH INDEX SWAP,SUM
07/09/2021,97.99,53.52,2.21,1.31,0.82,-51.52,104.32999999999998
07/12/2021,97.86,53.44,1.18,2.18,0.81,-51.31,104.16000000000004
07/13/2021,97.86,53.44,1.18,2.18,0.81,-51.31,104.16000000000004
07/14/2021,97.86,53.44,1.18,2.18,0.81,-51.31,104.16000000000004
07/15/2021,97.78,53.38,1.17,2.17,0.81,-51.17,104.13999999999996
07/16/2021,97.54,54.09,0.96,1.77,0.66,-51.63,103.39
07/19/2021,97.42,54.05,0.96,1.77,0.66,-51.46,103.4
07/20/2021,97.5,54.07,1.89,1.79,0.66,-51.55,104.35999999999996
07/21/2021,97.5,54.07,1.89,1.79,0.66,-51.55,104.35999999999996
07/22/2021,97.91,54.25,1.93,1.83,0.68,-52.14,104.46000000000002
07/23/2021,97.85,54.26,1.9,1.8,0.67,-52.08,104.4
07/26/2021,98.26,54.49,1.9,1.8,0.67,-52.73,104.39000000000001
