,GAZP.ME,2330.TW,939.HK,LKOH.ME,2317.TW,1398.HK,VALE3.SA,SNPMF,688208.SS,PETR4.SA,3988.HK,SBER.ME,700.HK,PETR3.SA,BBDC4.SA,MTN.JO,TRNFP.ME,9988.HK,AMXL.MX,SOL.JO,INFY.NS,RELIANCE.NS,2010.SR,PTT-R.BK,857.HK,2318.HK,688208.SS.1,3481.TW,ROSN.ME,CX,2409.TW,TATN.ME,2002.TW,ONGC.NS,FEMSAUBD.MX,2881.TW,BIDU,M4B.,2357.TW,TATAMOTORS.NS,GFNORTEO.MX,SBK.JO,BBAS3.SA,1303.TW,3711.TW,TCS.NS,1180.SR,ABEV3.SA,2454.TW,1288.HK,267.HK,4938.TW,FSR.JO,2303.TW,7010.SR,ABG.JO,SCVUF,TENAGA.KL,WALMEX.MX,688.HK,IOC.NS,NVTK.ME,1301.TW,JBSS3.SA,BRDT3.SA,1326.TW,GMEXICOB.MX,2324.TW,HDFC.NS,GMKN.ME,2412.TW,VEDL.NS,TLKM.JK,MGNT.ME,1088.HK,1120.SR,BPCL.NS,1216.TW,QNBK.QA,UGPA3.SA,2882.TW,2328.HK,2308.TW,MAYBANK.KL,2382.TW,SBIN.NS,688208.SS.2,NBK.,MOL.BD,TATASTEEL.NS,GGBR4.SA,JD,NED.JO,1109.HK,2891.TW,HINDPETRO.NS,SCB-R.BK,3231.TW,2007.HK,SHP.JO,CIMB.KL,SNGSP,3328.HK,HINDALCO.NS,BBDC3.SA,AXISBANK.NS,FAB.,EMBR3.SA,D7C.,BID.JO,PBBANK.KL,NTES,ASII.JK,MTSS.ME,ETISALAT.,TLEVISACPO.MX,JSWSTEEL.NS,PTTGC-R.BK,3323.HK,836.HK,ALFAA.MX,1099.HK,3800.HK,3702.TW,BBRI.JK,ALPHA.AT,175.HK,COPEC.SN,9904.TW,SNGS.ME,148.HK,SAP.JO,HCLTECH.NS,OTP.BD,ALRS.ME,2356.TW,1402.TW,MARUTI.NS,2886.TW,688208.SS.3,1605.TW,600028.SS,6505.TW,EMAAR.DB,1101.TW,600036.SS,NPN.JO,OMU.JO,BAW.JO,CENCOSUD.SN,VIVT3.SA,NTPC.NS,VTBR.ME,BHARTIARTL.NS,601288.SS,CHMF.ME,BRFS3.SA,WHL.JO,3333.HK,1988.HK,COALINDIA.NS,2799.HK,ECOPETROL.BC,VOD.JO,GRASIM.NS,5110.SR,CEZ.PR,2222.SR,SLM.JO,2688.HK,PTTEP-R.BK,GARAN.IS,1378.HK,358.HK,IRAO.ME,BIMBOA.MX,688208.SS.4,EREGL.IS,2301.TW,BMRI.JK,AXIATA.KL,GENTING.KL,WIPRO.NS,1010.SR,BVT.JO,916.HK,CMIG4.SA,KCHOL.IS,TUPRS.IS,GFI.JO,688208.SS.5,2319.HK,CPALL-R.BK,2202.HK,2885.TW,601166.SS,2327.TW,1658.HK,2347.TW,2777.HK,ITUB4.SA,GVMXX,WFFXX,GARAN.E.IS,KCHOL.E.IS,2474.TW,EREGL.E.IS,902.HK,TUPRS.E.IS,PFBCOLO.BC,489.HK,TECHM.NS,135.HK,LT.NS,AKBNK.E.IS,TCELL.E.IS,1171.HK,ITC.NS,SUNPHARMA.NS,SUM
07/09/2021,3.68,3.41,3.13,3.02,2.96,1.72,1.71,1.56,1.42,1.38,1.26,1.13,1.08,1.07,1.03,1.02,1.0,0.96,0.95,0.94,0.94,0.9,0.9,0.89,0.87,0.78,0.73,0.69,0.65,0.63,0.6,0.55,0.53,0.51,0.5,0.5,0.49,0.49,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.05
10/28/2021,3.98,3.62,2.91,2.79,2.99,1.65,1.47,1.51,0.0,1.27,1.24,1.22,0.91,0.99,0.91,1.29,0.91,0.75,1.26,0.96,1.05,0.98,0.92,0.88,0.78,0.63,0.0,0.57,0.62,0.62,0.48,0.5,0.53,0.54,0.52,0.59,0.4,0.49,0.42,0.4,0.47,0.55,0.44,0.49,0.51,0.52,0.46,0.42,0.41,0.42,0.49,0.41,0.49,0.51,0.42,0.48,0.4,0.42,0.43,0.38,0.4,0.39,0.37,0.38,0.33,0.36,0.35,0.37,0.41,0.33,0.33,0.38,0.36,0.34,0.36,0.34,0.33,0.31,0.33,0.23,0.34,0.31,0.28,0.3,0.26,0.3,0.0,0.31,0.29,0.36,0.26,0.28,0.3,0.25,0.28,0.25,0.29,0.22,0.25,0.29,0.27,0.2,0.21,0.32,0.22,0.26,0.25,0.3,0.24,0.25,0.24,0.2,0.25,0.22,0.25,0.21,0.24,0.24,0.27,0.41,0.2,0.19,0.21,0.21,0.22,0.24,0.25,0.2,0.18,0.2,0.18,0.22,0.25,0.22,0.23,0.18,0.19,0.18,0.2,0.0,0.19,0.19,0.17,0.19,0.18,0.17,0.15,0.21,0.19,0.18,0.19,0.19,0.19,0.24,0.18,0.2,0.15,0.21,0.0,0.15,0.18,0.0,0.16,0.19,0.18,0.19,0.19,0.17,0.17,0.17,0.15,0.0,0.18,0.16,0.16,0.19,0.0,0.0,0.17,0.17,0.17,0.16,0.19,0.16,0.17,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.15,0.0,1.45,0.38,0.23,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,87.77
