,ADBE,GOOGL,FB,NKE,LOW,BX,ACN,COST,TXN,TGT,ISRG,ZM,EW,LULU,VEEV,TROW,CDNS,ORLY,HSY,MTD,MNST,WST,EPAM,FAST,CPRT,ODFL,W,BBY,SGEN,ANET,EXPD,POOL,GWW,NVR,NUAN,ABMD,MASI,FDS,WIX,GGG,WSM,DECK,TTC,n/a,RHI,MANH,ROL,CROX,AZPN,TPX,YETI,TPL,AMED,GMED,CHE,LSTR,HLI,EXPO,STAA,LPX,MMS,WTS,HQY,BPMC,RVLV,SSD,SPSC,MC,BCPC,LANC,SKY,NUVA,WDFC,BMI,PJT,EXPI,SFM,MED,SSTK,AAON,NARI,NUS,MODV,KRTX,IRBT,CORT,SNBR,CNS,UI,HCSG,GOLF,CRVL,EXTR,RGR,XPEL,AGPXX,SUM
08/27/2021,4.95,4.94,4.79,4.64,4.58,4.43,4.4,4.4,4.17,4.13,3.95,3.42,3.11,2.18,2.11,2.04,1.86,1.76,1.55,1.47,1.47,1.41,1.4,1.36,1.3,1.26,1.17,1.15,0.97,0.92,0.9,0.8,0.8,0.69,0.67,0.65,0.63,0.58,0.57,0.57,0.55,0.51,0.5,0.49,0.47,0.42,0.4,0.37,0.37,0.36,0.34,0.34,0.33,0.33,0.31,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.19,0.18,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.05,0.05,0.0,99.97
08/30/2021,4.93,4.95,4.81,4.62,4.63,4.46,4.42,4.38,4.16,4.12,3.93,3.38,3.08,2.19,2.13,2.05,1.85,1.78,1.54,1.5,1.47,1.4,1.37,1.36,1.32,1.26,1.18,1.15,0.98,0.91,0.9,0.81,0.81,0.69,0.66,0.65,0.61,0.59,0.57,0.57,0.55,0.5,0.5,0.49,0.47,0.42,0.4,0.37,0.37,0.37,0.35,0.34,0.33,0.33,0.31,0.27,0.26,0.24,0.23,0.24,0.23,0.23,0.22,0.21,0.2,0.21,0.19,0.19,0.18,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.0,99.96999999999998
08/31/2021,4.91,4.95,4.77,4.56,4.63,4.56,4.43,4.37,4.17,4.1,3.93,3.42,3.08,2.17,2.13,2.05,1.86,1.76,1.54,1.51,1.47,1.41,1.38,1.37,1.31,1.27,1.19,1.12,0.98,0.9,0.9,0.8,0.8,0.71,0.67,0.65,0.61,0.59,0.56,0.57,0.6,0.5,0.5,0.52,0.47,0.42,0.4,0.37,0.37,0.37,0.34,0.34,0.32,0.34,0.31,0.27,0.26,0.24,0.24,0.25,0.22,0.23,0.22,0.21,0.19,0.2,0.19,0.19,0.18,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.0,100.01999999999995
09/01/2021,4.92,5.0,4.84,4.54,4.6,4.62,4.43,4.35,4.19,4.07,3.88,3.4,3.04,2.16,2.15,2.07,1.89,1.72,1.53,1.5,1.47,1.4,1.39,1.36,1.32,1.27,1.19,1.11,0.96,0.9,0.9,0.8,0.8,0.71,0.66,0.65,0.6,0.59,0.56,0.57,0.59,0.49,0.5,0.41,0.47,0.43,0.4,0.37,0.37,0.37,0.34,0.35,0.32,0.34,0.31,0.27,0.26,0.24,0.25,0.25,0.23,0.23,0.22,0.21,0.19,0.21,0.2,0.19,0.18,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.0,99.97
09/02/2021,4.92,5.0,4.84,4.54,4.6,4.62,4.43,4.35,4.19,4.07,3.88,3.4,3.04,2.16,2.15,2.07,1.89,1.72,1.53,1.5,1.47,1.4,1.39,1.36,1.32,1.27,1.19,1.11,0.96,0.9,0.9,0.8,0.8,0.71,0.66,0.65,0.6,0.59,0.56,0.57,0.59,0.49,0.5,0.41,0.47,0.43,0.4,0.37,0.37,0.37,0.34,0.35,0.32,0.34,0.31,0.27,0.26,0.24,0.25,0.25,0.23,0.23,0.22,0.21,0.19,0.21,0.2,0.19,0.18,0.15,0.15,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.0,99.97
09/03/2021,4.94,4.99,4.91,4.52,4.55,4.59,4.42,4.37,4.18,4.04,3.93,3.44,3.06,2.19,2.15,2.05,1.89,1.73,1.53,1.52,1.47,1.41,1.39,1.36,1.31,1.28,1.18,1.11,0.96,0.9,0.9,0.82,0.8,0.7,0.66,0.65,0.6,0.59,0.56,0.57,0.59,0.49,0.5,0.41,0.47,0.42,0.4,0.37,0.37,0.37,0.34,0.34,0.32,0.34,0.31,0.27,0.26,0.25,0.26,0.25,0.23,0.23,0.22,0.21,0.19,0.21,0.2,0.19,0.18,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.0,100.01999999999998
09/07/2021,4.97,4.98,4.88,4.44,4.61,4.78,4.51,4.46,4.17,4.02,4.01,2.94,3.16,2.07,2.06,2.07,1.92,1.69,1.55,1.51,1.48,1.44,1.4,1.37,1.32,1.32,1.12,1.1,0.91,0.88,0.9,0.83,0.81,0.71,0.66,0.67,0.61,0.61,0.57,0.57,0.58,0.47,0.49,0.0,0.47,0.43,0.41,0.35,0.37,0.38,0.34,0.33,0.34,0.35,0.32,0.28,0.26,0.25,0.27,0.25,0.23,0.23,0.23,0.22,0.2,0.21,0.2,0.19,0.19,0.15,0.14,0.13,0.13,0.13,0.12,0.14,0.12,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.06,0.41,100.01
09/08/2021,4.97,4.98,4.88,4.44,4.61,4.78,4.51,4.46,4.17,4.02,4.01,2.94,3.16,2.07,2.06,2.07,1.92,1.69,1.55,1.51,1.48,1.44,1.4,1.37,1.32,1.32,1.12,1.1,0.91,0.88,0.9,0.83,0.81,0.71,0.66,0.67,0.61,0.61,0.57,0.57,0.58,0.47,0.49,0.0,0.47,0.43,0.41,0.35,0.37,0.38,0.34,0.33,0.34,0.35,0.32,0.28,0.26,0.25,0.27,0.25,0.23,0.23,0.23,0.22,0.2,0.21,0.2,0.19,0.19,0.15,0.14,0.13,0.13,0.13,0.12,0.14,0.12,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.06,0.41,100.01
09/09/2021,4.97,4.98,4.88,4.44,4.61,4.78,4.51,4.46,4.17,4.02,4.01,2.94,3.16,2.07,2.06,2.07,1.92,1.69,1.55,1.51,1.48,1.44,1.4,1.37,1.32,1.32,1.12,1.1,0.91,0.88,0.9,0.83,0.81,0.71,0.66,0.67,0.61,0.61,0.57,0.57,0.58,0.47,0.49,0.0,0.47,0.43,0.41,0.35,0.37,0.38,0.34,0.33,0.34,0.35,0.32,0.28,0.26,0.25,0.27,0.25,0.23,0.23,0.23,0.22,0.2,0.21,0.2,0.19,0.19,0.15,0.14,0.13,0.13,0.13,0.12,0.14,0.12,0.12,0.12,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.06,0.41,100.01
09/10/2021,4.98,5.05,5.0,4.44,4.62,4.76,4.54,4.47,4.2,3.99,4.07,3.01,3.21,2.08,2.03,2.02,1.93,1.7,1.53,1.53,1.45,1.46,1.39,1.33,1.31,1.34,1.11,1.06,0.86,0.88,0.9,0.83,0.79,0.71,0.67,0.68,0.6,0.6,0.58,0.56,0.56,0.48,0.48,0.0,0.47,0.42,0.4,0.35,0.37,0.38,0.33,0.3,0.33,0.35,0.31,0.27,0.26,0.24,0.28,0.25,0.23,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.15,0.14,0.13,0.13,0.13,0.12,0.14,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.08,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.06,0.36,100.01
09/13/2021,4.99,5.03,4.94,4.38,4.59,4.8,4.52,4.53,4.19,4.05,4.08,2.95,3.23,2.04,2.01,2.04,1.94,1.73,1.55,1.55,1.47,1.48,1.4,1.32,1.33,1.33,1.08,1.05,0.88,0.88,0.9,0.84,0.78,0.7,0.67,0.68,0.6,0.61,0.57,0.57,0.56,0.47,0.49,0.0,0.47,0.43,0.41,0.36,0.37,0.38,0.33,0.3,0.34,0.36,0.32,0.27,0.26,0.25,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.15,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.36,100.08
09/14/2021,4.97,5.02,4.94,4.45,4.56,4.84,4.53,4.53,4.17,4.03,4.03,2.97,3.21,2.26,2.0,2.04,1.94,1.74,1.54,1.53,1.46,1.45,1.39,1.31,1.3,1.28,1.09,1.07,0.86,0.87,0.9,0.83,0.78,0.7,0.67,0.66,0.6,0.61,0.57,0.56,0.58,0.48,0.48,0.0,0.47,0.42,0.4,0.36,0.37,0.39,0.34,0.3,0.34,0.35,0.32,0.26,0.26,0.24,0.27,0.25,0.22,0.23,0.23,0.21,0.21,0.2,0.2,0.19,0.19,0.15,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.36,99.98
09/15/2021,4.97,4.94,4.96,4.47,4.6,4.83,4.55,4.53,4.23,4.03,3.86,3.03,3.19,2.29,1.99,2.04,1.95,1.74,1.54,1.54,1.46,1.45,1.39,1.32,1.32,1.29,1.08,1.06,0.88,0.86,0.92,0.83,0.77,0.71,0.67,0.66,0.6,0.61,0.55,0.56,0.58,0.49,0.49,0.0,0.47,0.42,0.41,0.37,0.36,0.39,0.34,0.3,0.33,0.35,0.32,0.26,0.26,0.24,0.26,0.25,0.22,0.24,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.15,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.38,100.04
09/16/2021,4.97,4.94,4.96,4.47,4.6,4.83,4.55,4.53,4.23,4.03,3.86,3.03,3.19,2.29,1.99,2.04,1.95,1.74,1.54,1.54,1.46,1.45,1.39,1.32,1.32,1.29,1.08,1.06,0.88,0.86,0.92,0.83,0.77,0.71,0.67,0.66,0.6,0.61,0.55,0.56,0.58,0.49,0.49,0.0,0.47,0.42,0.41,0.37,0.36,0.39,0.34,0.3,0.33,0.35,0.32,0.26,0.26,0.24,0.26,0.25,0.22,0.24,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.15,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.38,100.04
09/17/2021,4.89,5.01,4.96,4.38,4.67,4.87,4.54,4.5,4.33,4.03,3.9,2.93,3.17,2.3,1.97,2.05,1.94,1.74,1.55,1.52,1.46,1.41,1.38,1.32,1.32,1.29,1.11,1.07,0.88,0.88,0.94,0.81,0.78,0.7,0.67,0.64,0.6,0.61,0.55,0.56,0.58,0.49,0.48,0.0,0.47,0.42,0.4,0.36,0.36,0.4,0.34,0.31,0.33,0.34,0.32,0.26,0.26,0.25,0.24,0.24,0.22,0.24,0.22,0.23,0.22,0.2,0.21,0.19,0.19,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.38,99.97
09/20/2021,4.97,5.04,4.89,4.31,4.62,5.04,4.58,4.48,4.38,4.01,3.94,2.8,3.19,2.25,1.96,2.02,1.96,1.76,1.54,1.51,1.45,1.43,1.38,1.32,1.37,1.29,1.13,1.04,0.88,0.88,0.93,0.8,0.77,0.66,0.67,0.64,0.6,0.61,0.54,0.56,0.59,0.51,0.48,0.0,0.47,0.42,0.39,0.4,0.37,0.4,0.34,0.3,0.31,0.34,0.32,0.26,0.26,0.25,0.25,0.24,0.22,0.24,0.21,0.23,0.22,0.2,0.22,0.19,0.19,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.05,0.06,0.48,100.05
09/21/2021,4.99,5.0,4.87,4.29,4.68,5.04,4.54,4.49,4.35,4.05,3.89,2.78,3.17,2.28,1.99,2.01,1.96,1.77,1.54,1.5,1.46,1.43,1.39,1.31,1.4,1.29,1.14,1.04,0.88,0.89,0.92,0.79,0.76,0.67,0.67,0.65,0.6,0.6,0.53,0.55,0.6,0.51,0.47,0.0,0.47,0.41,0.39,0.4,0.37,0.39,0.34,0.3,0.31,0.35,0.32,0.26,0.26,0.25,0.25,0.24,0.22,0.23,0.21,0.23,0.23,0.2,0.22,0.19,0.18,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.06,0.48,99.99
09/22/2021,4.99,5.0,4.87,4.29,4.68,5.04,4.54,4.49,4.35,4.05,3.89,2.78,3.17,2.28,1.99,2.01,1.96,1.77,1.54,1.5,1.46,1.43,1.39,1.31,1.4,1.29,1.14,1.04,0.88,0.89,0.92,0.79,0.76,0.67,0.67,0.65,0.6,0.6,0.53,0.55,0.6,0.51,0.47,0.0,0.47,0.41,0.39,0.4,0.37,0.39,0.34,0.3,0.31,0.35,0.32,0.26,0.26,0.25,0.25,0.24,0.22,0.23,0.21,0.23,0.23,0.2,0.22,0.19,0.18,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.06,0.48,99.99
