,NVDA,TGT,IT,BIIB,ADBE,ANET,DHR,SEE,UPS,FB,AMT,BLK,LLY,ORCL,GOOGL,COST,AMZN,COF,NTAP,AXP,AKAM,MSFT,PYPL,CRM,ACN,KMI,TMO,UNH,AAPL,AIZ,CHTR,F,PRGO,STX,ALL,HD,PM,HSIC,FDX,SLB,TYL,IPG,BR,PEP,DVA,LOW,PFE,UHS,SPG,RTX,WFC,NKE,MS,LMT,JKHY,FRT,BRK.B,GS,TXN,QRVO,MDLZ,TAP,LDOS,IBM,EMR,EA,CVS,CL,BMY,DISH,MCD,V,UNP,BK,SLG,QCOM,MDT,JNPR,LEG,CSCO,BAC,GILD,COP,DUK,GD,MMM,ABBV,JNJ,PNW,KO,PG,USB,WMT,KHC,GPS,FTI,SBUX,OMC,NFLX,XOM,EXC,HON,AMGN,CF,MRK,NWL,PVH,VZ,MA,UNM,SO,NEE,MET,JPM,GM,DD,XRAY,CMCSA,ABT,WDC,LYV,FLS,GE,DOW,AIG,T,CVX,IPGP,TSLA,RL,NWS,LUMN,BKNG,FFIV,MO,CAT,C,NCLH,BA,WU,XRX,UAA,HPE,DIS,HBI,INTC,WBA,CTXS,FOXA,US Dollar,DISCA,OGN,Morgan Stanley Instl Lqudty Trs Instl,GE.,n/a,688101.SS,688617.SS,MISXX,SUM
07/09/2021,0.98,0.85,0.84,0.83,0.82,0.81,0.8,0.8,0.8,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.54,0.53,0.52,0.39,0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,0.94,0.85,0.85,0.85,0.83,0.81,0.79,0.79,0.8,0.77,0.77,0.77,0.76,0.81,0.75,0.78,0.75,0.77,0.74,0.74,0.72,0.72,0.75,0.71,0.73,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.7,0.72,0.71,0.7,0.69,0.71,0.7,0.68,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.68,0.68,0.69,0.68,0.67,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.67,0.68,0.68,0.68,0.67,0.66,0.67,0.67,0.67,0.66,0.66,0.66,0.64,0.66,0.65,0.65,0.66,0.67,0.66,0.67,0.66,0.66,0.65,0.66,0.67,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.65,0.64,0.63,0.64,0.64,0.65,0.63,0.63,0.62,0.64,0.63,0.62,0.61,0.62,0.62,0.61,0.61,0.62,0.63,0.63,0.6,0.62,0.62,0.62,0.59,0.66,0.62,0.62,0.61,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,0.59,0.59,0.57,0.57,0.58,0.58,0.58,0.56,0.57,0.56,0.55,0.53,0.53,0.53,0.51,0.41,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,0.94,0.85,0.85,0.85,0.83,0.81,0.79,0.79,0.8,0.77,0.77,0.77,0.76,0.81,0.75,0.78,0.75,0.77,0.74,0.74,0.72,0.72,0.75,0.71,0.73,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.7,0.72,0.71,0.7,0.69,0.71,0.7,0.68,0.7,0.7,0.7,0.68,0.69,0.69,0.68,0.69,0.68,0.68,0.69,0.68,0.67,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.67,0.68,0.68,0.68,0.67,0.66,0.67,0.67,0.67,0.66,0.66,0.66,0.64,0.66,0.65,0.65,0.66,0.67,0.66,0.67,0.66,0.66,0.65,0.66,0.67,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.65,0.64,0.63,0.64,0.64,0.65,0.63,0.63,0.62,0.64,0.63,0.62,0.61,0.62,0.62,0.61,0.61,0.62,0.63,0.63,0.6,0.62,0.62,0.62,0.59,0.66,0.62,0.62,0.61,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,0.59,0.59,0.57,0.57,0.58,0.58,0.58,0.56,0.57,0.56,0.55,0.53,0.53,0.53,0.51,0.41,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,0.94,0.85,0.85,0.85,0.83,0.81,0.79,0.79,0.8,0.77,0.77,0.77,0.76,0.81,0.75,0.78,0.75,0.77,0.74,0.74,0.72,0.72,0.75,0.71,0.73,0.72,0.72,0.72,0.72,0.7,0.71,0.71,0.7,0.72,0.71,0.71,0.7,0.71,0.7,0.68,0.7,0.7,0.7,0.68,0.7,0.69,0.68,0.69,0.68,0.68,0.69,0.68,0.67,0.68,0.68,0.69,0.69,0.67,0.66,0.66,0.67,0.68,0.68,0.68,0.67,0.66,0.67,0.67,0.67,0.66,0.66,0.66,0.65,0.66,0.65,0.65,0.66,0.67,0.66,0.67,0.66,0.66,0.65,0.67,0.67,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.63,0.65,0.64,0.63,0.64,0.64,0.65,0.63,0.64,0.63,0.64,0.63,0.62,0.61,0.62,0.62,0.61,0.61,0.62,0.63,0.63,0.61,0.62,0.62,0.62,0.6,0.66,0.62,0.62,0.61,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,0.59,0.59,0.57,0.57,0.58,0.58,0.58,0.56,0.57,0.57,0.55,0.53,0.53,0.53,0.51,0.0,0.24,0.02,0.31,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,0.96,0.86,0.84,0.83,0.82,0.8,0.79,0.79,0.8,0.78,0.77,0.78,0.76,0.8,0.76,0.77,0.75,0.79,0.73,0.75,0.71,0.72,0.75,0.7,0.73,0.71,0.71,0.72,0.71,0.7,0.69,0.71,0.7,0.73,0.71,0.7,0.69,0.71,0.7,0.68,0.7,0.7,0.7,0.68,0.7,0.69,0.68,0.69,0.68,0.68,0.69,0.69,0.69,0.68,0.68,0.7,0.68,0.68,0.67,0.66,0.67,0.67,0.68,0.68,0.68,0.66,0.67,0.67,0.67,0.66,0.66,0.65,0.64,0.67,0.66,0.66,0.66,0.66,0.65,0.66,0.66,0.66,0.65,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.66,0.64,0.63,0.63,0.62,0.65,0.64,0.63,0.63,0.64,0.65,0.63,0.63,0.62,0.65,0.63,0.62,0.61,0.62,0.62,0.61,0.62,0.63,0.63,0.63,0.61,0.62,0.62,0.62,0.6,0.66,0.61,0.62,0.62,0.58,0.59,0.6,0.62,0.59,0.6,0.59,0.58,0.57,0.59,0.59,0.58,0.56,0.57,0.57,0.57,0.56,0.56,0.59,0.55,0.54,0.53,0.52,0.51,0.0,0.24,0.02,0.32,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,0.95,0.87,0.85,0.84,0.83,0.8,0.8,0.78,0.8,0.78,0.78,0.78,0.77,0.81,0.77,0.77,0.75,0.78,0.72,0.75,0.71,0.73,0.75,0.71,0.74,0.71,0.72,0.73,0.72,0.7,0.69,0.71,0.69,0.73,0.71,0.7,0.69,0.71,0.71,0.67,0.7,0.69,0.71,0.7,0.7,0.69,0.69,0.69,0.67,0.67,0.68,0.69,0.7,0.68,0.68,0.69,0.69,0.68,0.67,0.66,0.67,0.66,0.69,0.68,0.68,0.67,0.67,0.67,0.68,0.65,0.67,0.67,0.64,0.67,0.64,0.66,0.66,0.67,0.65,0.67,0.66,0.66,0.65,0.68,0.67,0.66,0.66,0.65,0.65,0.66,0.65,0.66,0.65,0.63,0.62,0.61,0.66,0.63,0.64,0.64,0.64,0.65,0.63,0.63,0.63,0.63,0.61,0.62,0.63,0.62,0.62,0.61,0.61,0.63,0.64,0.64,0.6,0.62,0.62,0.62,0.58,0.65,0.61,0.62,0.61,0.58,0.6,0.6,0.61,0.59,0.59,0.59,0.58,0.57,0.58,0.59,0.58,0.54,0.55,0.59,0.56,0.55,0.54,0.59,0.55,0.55,0.53,0.52,0.5,0.0,0.24,0.02,0.32,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,0.9,0.87,0.85,0.79,0.84,0.8,0.81,0.78,0.81,0.77,0.79,0.76,0.76,0.8,0.77,0.78,0.74,0.78,0.71,0.75,0.72,0.74,0.74,0.69,0.74,0.69,0.72,0.74,0.74,0.71,0.69,0.69,0.7,0.71,0.7,0.71,0.7,0.7,0.7,0.64,0.7,0.68,0.72,0.72,0.69,0.7,0.7,0.69,0.67,0.67,0.71,0.69,0.7,0.68,0.7,0.69,0.69,0.68,0.66,0.66,0.69,0.66,0.69,0.68,0.69,0.67,0.68,0.68,0.68,0.64,0.67,0.69,0.65,0.65,0.65,0.66,0.66,0.68,0.64,0.67,0.64,0.66,0.63,0.69,0.67,0.67,0.66,0.65,0.66,0.68,0.67,0.68,0.66,0.63,0.59,0.57,0.66,0.64,0.64,0.62,0.65,0.68,0.64,0.62,0.63,0.65,0.59,0.63,0.64,0.62,0.63,0.63,0.62,0.63,0.62,0.64,0.6,0.62,0.61,0.6,0.57,0.65,0.6,0.61,0.63,0.59,0.58,0.6,0.59,0.57,0.59,0.58,0.58,0.57,0.59,0.58,0.58,0.51,0.54,0.59,0.56,0.54,0.55,0.59,0.55,0.54,0.52,0.53,0.5,0.0,0.23,0.02,0.35,0.0,0.0,0.0,0.0,0.0,99.91
07/20/2021,0.87,0.88,0.85,0.79,0.85,0.8,0.83,0.78,0.81,0.77,0.8,0.76,0.77,0.82,0.77,0.79,0.74,0.77,0.7,0.75,0.73,0.74,0.75,0.7,0.74,0.69,0.74,0.74,0.74,0.71,0.7,0.68,0.7,0.71,0.7,0.72,0.71,0.7,0.7,0.62,0.7,0.68,0.72,0.73,0.69,0.7,0.71,0.69,0.67,0.67,0.71,0.69,0.69,0.69,0.71,0.69,0.69,0.67,0.66,0.65,0.7,0.66,0.71,0.68,0.69,0.68,0.68,0.7,0.69,0.64,0.67,0.7,0.65,0.67,0.64,0.66,0.67,0.68,0.64,0.68,0.63,0.67,0.61,0.71,0.68,0.67,0.67,0.66,0.68,0.69,0.68,0.67,0.66,0.64,0.57,0.57,0.67,0.63,0.63,0.61,0.66,0.68,0.65,0.6,0.64,0.66,0.58,0.64,0.64,0.61,0.65,0.65,0.61,0.62,0.61,0.62,0.6,0.62,0.62,0.58,0.57,0.64,0.6,0.6,0.62,0.59,0.57,0.6,0.59,0.56,0.57,0.57,0.58,0.58,0.6,0.58,0.57,0.49,0.53,0.59,0.55,0.52,0.55,0.58,0.54,0.53,0.52,0.54,0.5,0.0,0.23,0.02,0.35,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,0.87,0.88,0.85,0.79,0.85,0.8,0.83,0.78,0.81,0.77,0.8,0.76,0.77,0.82,0.77,0.79,0.74,0.77,0.7,0.75,0.73,0.74,0.75,0.7,0.74,0.69,0.74,0.74,0.74,0.71,0.7,0.68,0.7,0.71,0.7,0.72,0.71,0.7,0.7,0.62,0.7,0.68,0.72,0.73,0.69,0.7,0.71,0.69,0.67,0.67,0.71,0.69,0.69,0.69,0.71,0.69,0.69,0.67,0.66,0.65,0.7,0.66,0.71,0.68,0.69,0.68,0.68,0.7,0.69,0.64,0.67,0.7,0.65,0.67,0.64,0.66,0.67,0.68,0.64,0.68,0.63,0.67,0.61,0.71,0.68,0.67,0.67,0.66,0.68,0.69,0.68,0.67,0.66,0.64,0.57,0.57,0.67,0.63,0.63,0.61,0.66,0.68,0.65,0.6,0.64,0.66,0.58,0.64,0.64,0.61,0.65,0.65,0.61,0.62,0.61,0.62,0.6,0.62,0.62,0.58,0.57,0.64,0.6,0.6,0.62,0.59,0.57,0.6,0.59,0.56,0.57,0.57,0.58,0.58,0.6,0.58,0.57,0.49,0.53,0.59,0.55,0.52,0.55,0.58,0.54,0.53,0.52,0.54,0.5,0.0,0.23,0.02,0.35,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,0.91,0.89,0.87,0.8,0.86,0.81,0.84,0.78,0.82,0.77,0.81,0.75,0.79,0.83,0.77,0.81,0.74,0.76,0.71,0.73,0.75,0.74,0.76,0.71,0.75,0.69,0.75,0.74,0.73,0.7,0.71,0.67,0.71,0.72,0.7,0.72,0.71,0.7,0.72,0.6,0.73,0.68,0.72,0.74,0.7,0.7,0.72,0.68,0.64,0.66,0.7,0.69,0.69,0.69,0.72,0.67,0.69,0.66,0.67,0.66,0.7,0.67,0.7,0.69,0.67,0.68,0.68,0.71,0.69,0.65,0.67,0.69,0.65,0.65,0.63,0.67,0.66,0.67,0.63,0.68,0.63,0.68,0.6,0.71,0.67,0.67,0.67,0.66,0.68,0.69,0.69,0.65,0.67,0.65,0.56,0.55,0.66,0.64,0.64,0.6,0.67,0.66,0.66,0.6,0.64,0.64,0.57,0.64,0.62,0.6,0.65,0.65,0.6,0.61,0.61,0.6,0.61,0.62,0.64,0.58,0.55,0.63,0.58,0.58,0.61,0.59,0.57,0.6,0.61,0.55,0.58,0.57,0.57,0.58,0.6,0.57,0.57,0.47,0.52,0.58,0.54,0.52,0.55,0.57,0.54,0.54,0.53,0.54,0.5,0.44,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.02
