,MELI,GLOB,CCU.SN,GGAL,AGRO,YPF.,CENCOSUD.SN,ARCO,ANDINA-B.SN,SSRM,DESP,BMA,YRI.TO,PAM,TEO,LOMA,TGS,CEPU,CD8.,BFP.,CAAP,SUPV,EDN,IRS,IRCP,CAD,USD,EUR,MXN,GBP,CLP,XTSLA,SUM
07/09/2021,25.4,18.77,4.67,4.24,4.14,4.04,3.82,3.7,3.54,3.37,3.32,3.14,3.09,2.98,2.11,1.97,1.56,1.2,1.09,1.09,0.88,0.62,0.45,0.43,0.3,0.03,0.03,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,25.44,18.92,4.59,4.23,3.98,4.01,3.82,3.66,3.64,3.39,3.24,3.09,3.02,3.14,2.13,2.01,1.55,1.16,1.14,1.08,0.89,0.6,0.44,0.49,0.3,0.03,0.03,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,25.44,18.92,4.59,4.23,3.98,4.01,3.82,3.66,3.64,3.39,3.24,3.09,3.02,3.14,2.13,2.01,1.55,1.16,1.14,1.08,0.89,0.6,0.44,0.49,0.3,0.03,0.03,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,25.37,18.86,4.64,4.18,4.01,4.02,3.86,3.65,3.68,3.39,3.27,3.09,3.04,3.12,2.08,2.0,1.57,1.15,1.16,1.08,0.88,0.59,0.44,0.52,0.3,0.03,0.03,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,25.37,18.86,4.64,4.18,4.01,4.02,3.86,3.65,3.68,3.39,3.27,3.09,3.04,3.12,2.08,2.0,1.57,1.15,1.16,1.08,0.88,0.59,0.44,0.52,0.3,0.03,0.03,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,25.03,19.0,4.51,4.29,3.98,4.19,3.74,3.54,3.66,3.39,3.34,3.19,2.97,3.19,2.1,2.03,1.59,1.16,1.14,1.14,0.85,0.61,0.45,0.53,0.31,0.04,0.02,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,24.8,18.87,4.5,4.29,3.99,4.07,3.84,3.6,3.68,3.54,3.27,3.14,3.19,3.08,2.18,2.2,1.55,1.17,1.12,1.13,0.83,0.61,0.45,0.53,0.31,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,24.8,18.87,4.5,4.29,3.99,4.07,3.84,3.6,3.68,3.54,3.27,3.14,3.19,3.08,2.18,2.2,1.55,1.17,1.12,1.13,0.83,0.61,0.45,0.53,0.31,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,25.11,19.31,4.64,4.16,3.89,3.92,4.04,3.52,3.73,3.35,3.25,3.09,3.03,3.12,2.16,2.15,1.52,1.15,1.03,1.08,0.81,0.61,0.44,0.5,0.31,0.04,0.02,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,25.29,19.84,4.6,4.11,3.89,3.88,3.91,3.47,3.65,3.27,3.24,2.99,2.98,3.21,2.13,2.14,1.53,1.09,1.04,1.05,0.81,0.6,0.43,0.49,0.31,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,25.59,19.57,4.54,4.08,3.8,3.96,3.88,3.6,3.61,3.22,3.36,2.99,2.9,3.21,2.13,2.17,1.48,1.09,1.1,1.04,0.8,0.59,0.43,0.5,0.3,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,25.46,19.85,4.45,4.09,3.94,3.99,3.75,3.6,3.52,3.25,3.26,2.95,2.92,3.17,2.11,2.23,1.5,1.12,1.08,1.04,0.83,0.59,0.42,0.49,0.32,0.04,0.02,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,25.47,19.77,4.57,4.07,3.83,3.88,3.81,3.55,3.56,3.26,3.16,2.96,2.94,3.23,2.12,2.23,1.51,1.15,1.05,1.07,0.82,0.59,0.43,0.52,0.39,0.04,0.02,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,25.75,19.86,4.52,3.96,3.9,3.92,3.7,3.55,3.64,3.28,3.12,2.92,3.0,3.14,2.06,2.25,1.45,1.17,1.06,1.04,0.83,0.58,0.43,0.48,0.33,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.99000000000002
08/03/2021,25.05,20.07,4.67,3.89,3.93,3.97,3.69,3.7,3.8,3.35,3.11,2.85,3.16,2.98,2.08,2.22,1.46,1.18,1.05,1.04,0.85,0.58,0.44,0.49,0.31,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.97000000000004
08/04/2021,25.05,20.07,4.67,3.89,3.93,3.97,3.69,3.7,3.8,3.35,3.11,2.85,3.16,2.98,2.08,2.22,1.46,1.18,1.05,1.04,0.85,0.58,0.44,0.49,0.31,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.97000000000004
08/05/2021,25.05,20.07,4.67,3.89,3.93,3.97,3.69,3.7,3.8,3.35,3.11,2.85,3.16,2.98,2.08,2.22,1.46,1.18,1.05,1.04,0.85,0.58,0.44,0.49,0.31,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.97000000000004
08/06/2021,25.17,20.01,4.86,4.0,3.92,3.91,3.54,3.68,3.67,3.37,3.09,2.91,3.2,2.98,2.09,2.18,1.5,1.16,1.04,1.05,0.83,0.57,0.44,0.47,0.3,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.99000000000002
08/10/2021,26.79,20.7,4.24,3.91,3.8,3.85,3.33,3.57,3.5,3.25,3.03,2.8,2.99,2.85,2.1,2.12,1.51,1.11,0.98,1.0,0.8,0.56,0.43,0.44,0.28,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.99
08/11/2021,26.79,20.7,4.24,3.91,3.8,3.85,3.33,3.57,3.5,3.25,3.03,2.8,2.99,2.85,2.1,2.12,1.51,1.11,0.98,1.0,0.8,0.56,0.43,0.44,0.28,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,28.12,19.91,4.25,4.0,3.89,4.04,3.37,3.35,3.41,3.0,2.96,2.91,2.75,2.85,1.97,2.08,1.48,1.13,0.95,1.05,0.77,0.58,0.43,0.43,0.28,0.04,0.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/16/2021,27.29,20.3,4.09,4.03,3.93,4.25,3.54,3.27,3.46,3.01,3.03,2.91,2.75,2.9,1.99,2.11,1.49,1.17,0.94,1.03,0.76,0.57,0.43,0.43,0.28,0.04,0.01,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/17/2021,27.36,21.08,3.99,3.91,3.44,4.1,3.62,3.27,3.47,3.11,2.89,2.84,2.86,2.96,2.02,2.08,1.45,1.13,0.91,1.01,0.75,0.57,0.42,0.42,0.27,0.04,0.01,0.0,0.0,0.0,0.0,0.0,99.98
08/19/2021,26.85,21.68,4.07,3.91,3.51,4.09,3.61,3.23,3.41,3.13,2.89,2.82,2.89,2.91,1.99,2.05,1.44,1.12,0.9,1.02,0.73,0.56,0.45,0.42,0.27,0.04,0.01,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,26.55,22.51,4.13,3.9,3.51,4.08,3.46,3.12,3.38,3.11,2.68,2.82,2.89,2.86,2.03,2.04,1.44,1.09,0.89,1.03,0.75,0.55,0.44,0.41,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,26.71,23.02,4.19,3.93,3.42,3.81,3.48,3.06,3.46,3.0,2.64,2.87,2.82,2.78,2.0,1.94,1.47,1.06,0.82,1.01,0.74,0.54,0.45,0.44,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/24/2021,26.7,23.28,4.12,3.99,3.37,3.76,3.47,3.15,3.39,2.95,2.61,2.89,2.76,2.79,2.04,1.93,1.43,1.09,0.83,1.04,0.72,0.55,0.41,0.43,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,26.7,23.28,4.12,3.99,3.37,3.76,3.47,3.15,3.39,2.95,2.61,2.89,2.76,2.79,2.04,1.93,1.43,1.09,0.83,1.04,0.72,0.55,0.41,0.43,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,26.45,23.33,4.0,4.09,3.35,3.81,3.42,3.11,3.32,3.03,2.6,2.98,2.84,2.81,2.03,1.92,1.46,1.1,0.83,1.06,0.7,0.55,0.44,0.43,0.27,0.04,0.0,0.0,0.0,0.0,0.03,0.0,100.0
08/27/2021,26.29,23.12,3.78,4.31,3.4,3.91,3.31,3.11,3.27,2.96,2.61,3.16,2.78,2.93,2.01,1.95,1.48,1.14,0.83,1.12,0.71,0.58,0.47,0.43,0.26,0.04,0.0,0.0,0.0,0.0,0.03,0.0,99.99
08/31/2021,25.91,23.31,3.77,4.44,3.36,4.01,3.34,3.01,3.2,2.97,2.65,3.24,2.73,2.93,2.01,1.88,1.5,1.09,0.83,1.22,0.71,0.59,0.53,0.42,0.27,0.01,0.03,0.0,0.0,0.0,0.03,0.0,99.99
09/01/2021,25.91,23.31,3.77,4.44,3.36,4.01,3.34,3.01,3.2,2.97,2.65,3.24,2.73,2.93,2.01,1.88,1.5,1.09,0.83,1.22,0.71,0.59,0.53,0.42,0.27,0.01,0.03,0.0,0.0,0.0,0.03,0.0,99.99
09/02/2021,25.61,23.11,3.72,4.67,3.3,4.04,3.3,2.91,3.15,2.87,2.58,3.45,2.61,3.03,2.05,1.9,1.57,1.17,0.85,1.28,0.74,0.64,0.63,0.43,0.31,0.01,0.03,0.0,0.0,0.0,0.03,0.0,99.99
09/06/2021,22.4,19.15,3.98,4.97,4.04,4.38,4.2,3.15,3.73,4.39,2.62,3.54,4.14,3.1,2.04,2.01,1.61,1.18,0.89,1.32,0.78,0.67,0.7,0.49,0.35,0.1,0.04,0.0,0.0,0.0,0.0,0.0,99.97
09/07/2021,22.44,19.44,4.05,4.9,4.0,4.26,4.3,3.14,3.67,4.46,2.6,3.49,4.27,3.03,1.98,1.98,1.56,1.15,0.87,1.31,0.77,0.69,0.66,0.47,0.35,0.1,0.03,0.0,0.0,0.0,0.0,0.0,99.97
09/08/2021,22.44,19.44,4.05,4.9,4.0,4.26,4.3,3.14,3.67,4.46,2.6,3.49,4.27,3.03,1.98,1.98,1.56,1.15,0.87,1.31,0.77,0.69,0.66,0.47,0.35,0.1,0.03,0.0,0.0,0.0,0.0,0.0,99.97
09/09/2021,22.48,19.48,4.09,4.91,4.01,4.27,4.24,3.15,3.7,4.46,2.6,3.49,4.27,3.04,1.98,1.98,1.56,1.15,0.87,1.31,0.78,0.69,0.66,0.47,0.35,0.1,0.03,0.0,0.0,0.0,0.0,0.0,100.11999999999998
09/10/2021,22.23,19.05,3.98,5.25,4.05,4.52,4.02,3.15,3.57,4.24,2.62,3.68,4.1,3.22,2.01,1.98,1.6,1.28,0.9,1.38,0.76,0.74,0.67,0.48,0.38,0.1,0.03,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/13/2021,22.06,19.4,3.97,5.24,4.06,4.6,4.16,3.07,3.59,4.28,2.61,3.69,4.14,3.08,2.01,1.9,1.58,1.22,0.87,1.34,0.83,0.69,0.61,0.48,0.36,0.1,0.04,0.0,0.0,0.0,0.0,0.0,99.98
09/14/2021,21.89,19.56,3.98,5.18,4.14,4.56,4.22,3.1,3.62,4.2,2.66,3.69,4.11,3.06,2.0,1.92,1.58,1.2,0.85,1.34,0.84,0.7,0.61,0.47,0.36,0.11,0.04,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/15/2021,21.89,19.56,3.98,5.18,4.14,4.56,4.22,3.1,3.62,4.2,2.66,3.69,4.11,3.06,2.0,1.92,1.58,1.2,0.85,1.34,0.84,0.7,0.61,0.47,0.36,0.11,0.04,0.0,0.0,0.0,0.0,0.0,99.99000000000002
09/16/2021,21.45,18.67,3.81,5.53,4.17,4.69,4.19,3.17,3.64,4.22,2.65,3.89,4.08,3.31,2.05,1.91,1.7,1.37,0.87,1.41,0.83,0.73,0.67,0.48,0.37,0.1,0.03,0.0,0.0,0.0,0.0,0.0,99.99
09/17/2021,21.54,19.05,3.77,5.4,4.27,4.64,4.08,3.13,3.55,4.3,2.67,3.93,4.13,3.23,2.07,1.89,1.65,1.35,0.85,1.35,0.82,0.7,0.63,0.47,0.36,0.1,0.0,0.0,0.0,0.0,0.0,0.11,100.04
09/20/2021,21.77,19.12,3.76,5.3,4.57,4.63,4.13,3.11,3.53,4.0,2.7,3.83,3.96,3.28,2.06,1.9,1.63,1.45,0.85,1.34,0.8,0.68,0.64,0.46,0.37,0.1,0.0,0.0,0.0,0.0,0.0,0.11,100.08
09/21/2021,21.96,19.04,3.79,5.31,4.53,4.53,4.16,3.07,3.56,4.11,2.67,3.91,3.95,3.2,1.98,1.93,1.61,1.47,0.82,1.34,0.81,0.68,0.63,0.46,0.37,0.1,0.0,0.0,0.0,0.0,0.0,0.11,100.09999999999998
09/22/2021,21.96,19.04,3.79,5.31,4.53,4.53,4.16,3.07,3.56,4.11,2.67,3.91,3.95,3.2,1.98,1.93,1.61,1.47,0.82,1.34,0.81,0.68,0.63,0.46,0.37,0.1,0.0,0.0,0.0,0.0,0.0,0.11,100.09999999999998
09/23/2021,22.27,19.5,3.72,4.97,4.19,4.44,4.21,3.08,3.68,4.24,2.81,3.6,4.17,3.15,2.04,1.96,1.56,1.33,0.8,1.23,0.85,0.63,0.63,0.44,0.36,0.11,0.0,0.0,0.0,0.0,0.0,0.11,100.08
09/24/2021,22.33,19.98,3.64,4.83,4.22,4.27,4.21,3.09,3.66,4.2,2.74,3.49,4.13,3.14,2.02,1.98,1.54,1.32,0.81,1.19,0.85,0.61,0.63,0.44,0.36,0.11,0.08,0.0,0.0,0.0,0.01,0.11,99.99
10/01/2021,21.36,18.66,3.89,5.04,4.35,4.35,4.72,3.19,3.69,4.25,3.05,3.58,4.26,3.27,2.08,2.01,1.6,1.41,0.84,1.28,0.88,0.67,0.67,0.44,0.37,0.07,0.01,0.0,0.0,0.0,0.01,0.0,100.0
