,LIN,SHW,APD,FCX,NEM,ECL,DOW,DD,PPG,IFF,CTVA,NUE,LYB,BLL,VMC,IP,MLM,ALB,CE,AVY,EMN,AMCR,WRK,FMC,PKG,CCK,STLD,MOS,RPM,CF,RS,ATR,CLF,BERY,SMG,SEE,RGLD,AA,LPX,OLN,AXTA,X,SON,VVV,HUN,CC,EXP,ASH,ESI,HL,AVNT,GPK,BCPC,WLK,GRA,ARNC,CMC,SLGN,SXT,FUL,CBT,NGVT,KWR,ATI,NEU,UFS,MTX,OI,SCL,LTHM,TROX,CDE,IOSP,CMP,CRS,WOR,AMRS,KALU,TSE,MP,MTRN,FOE,DNMR,GEF,SCHN,SWM,OEC,KRA,GCP,HCC,USCR,NP,ASIX,CCF,PACK,KOP,CENX,FRTA,MYE,PQG,PTVE,GLT,HWKN,MERC,SXC,MUX,TMST,AVD,CLW,RYAM,VRS,TG,GATO,KRO,VNTR,CHG.BK,RYI,FF,4338.SR,PQGEUR,ECVT,4340.SR,n/a,TR5.,SUM
07/09/2021,12.0,5.52,5.06,4.75,4.49,4.22,3.88,3.47,3.25,2.69,2.58,2.36,2.3,2.04,1.85,1.8,1.73,1.49,1.44,1.4,1.3,1.29,1.17,1.15,1.08,1.06,1.0,0.99,0.93,0.87,0.82,0.73,0.73,0.7,0.69,0.67,0.62,0.56,0.55,0.53,0.52,0.52,0.52,0.46,0.46,0.45,0.45,0.42,0.4,0.37,0.36,0.36,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/12/2021,12.0,5.52,5.06,4.75,4.49,4.22,3.88,3.47,3.25,2.69,2.58,2.36,2.3,2.04,1.85,1.8,1.73,1.49,1.44,1.4,1.3,1.29,1.17,1.15,1.08,1.06,1.0,0.99,0.93,0.87,0.82,0.73,0.73,0.7,0.69,0.67,0.62,0.56,0.55,0.53,0.52,0.52,0.52,0.46,0.46,0.45,0.45,0.42,0.4,0.37,0.36,0.36,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/13/2021,12.0,5.52,5.06,4.75,4.49,4.22,3.88,3.47,3.25,2.69,2.58,2.36,2.3,2.04,1.85,1.8,1.73,1.49,1.44,1.4,1.3,1.29,1.17,1.15,1.08,1.06,1.0,0.99,0.93,0.87,0.82,0.73,0.73,0.7,0.69,0.67,0.62,0.56,0.55,0.53,0.52,0.52,0.52,0.46,0.46,0.45,0.45,0.42,0.4,0.37,0.36,0.36,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/14/2021,12.0,5.52,5.06,4.75,4.49,4.22,3.88,3.47,3.25,2.69,2.58,2.36,2.3,2.04,1.85,1.8,1.73,1.49,1.44,1.4,1.3,1.29,1.17,1.15,1.08,1.06,1.0,0.99,0.93,0.87,0.82,0.73,0.73,0.7,0.69,0.67,0.62,0.56,0.55,0.53,0.52,0.52,0.52,0.46,0.46,0.45,0.45,0.42,0.4,0.37,0.36,0.36,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/15/2021,12.0,5.52,5.06,4.75,4.49,4.22,3.88,3.47,3.25,2.69,2.58,2.36,2.3,2.04,1.85,1.8,1.73,1.49,1.44,1.4,1.3,1.29,1.17,1.15,1.08,1.06,1.0,0.99,0.93,0.87,0.82,0.73,0.73,0.7,0.69,0.67,0.62,0.56,0.55,0.53,0.52,0.52,0.52,0.46,0.46,0.45,0.45,0.42,0.4,0.37,0.36,0.36,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/16/2021,12.0,5.52,5.06,4.75,4.49,4.22,3.88,3.47,3.25,2.69,2.58,2.36,2.3,2.04,1.85,1.8,1.73,1.49,1.44,1.4,1.3,1.29,1.17,1.15,1.08,1.06,1.0,0.99,0.93,0.87,0.82,0.73,0.73,0.7,0.69,0.67,0.62,0.56,0.55,0.53,0.52,0.52,0.52,0.46,0.46,0.45,0.45,0.42,0.4,0.37,0.36,0.36,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/19/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/20/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/21/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/22/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
