,PLD,ARE,SUI,UDR,DRE,ELS,ESS,COLD,SRC,REXR,SBAC,MGP,INVH,VICI,NNN,AMT,SBRA,JLL,HLT,PK,DEI,NHI US,USD,NHI,n/a,SUM
08/25/2021,11.79,7.74,7.4,5.58,5.5,5.19,4.86,4.6,4.32,4.28,4.13,4.03,3.99,3.46,3.37,3.32,3.14,2.83,2.76,2.37,2.27,2.19,0.88,0.0,0.0,100.0
08/26/2021,11.78,7.75,7.35,5.55,5.49,5.14,4.85,4.48,4.33,4.26,4.1,4.05,3.99,3.49,3.36,3.31,3.2,2.88,2.8,2.44,2.28,2.23,0.89,0.0,0.0,100.0
08/27/2021,11.59,7.72,7.39,5.52,5.41,5.16,4.83,4.52,4.36,4.22,4.05,4.05,3.98,3.51,3.35,3.28,3.29,2.89,2.9,2.54,2.29,2.26,0.89,0.0,0.0,100.0
08/31/2021,11.48,6.77,7.37,4.59,5.45,5.14,4.86,4.51,5.39,4.21,2.98,4.14,3.96,3.59,4.34,3.25,3.24,2.92,3.82,2.6,2.34,2.21,0.84,0.0,0.0,100.0
09/01/2021,11.48,6.77,7.37,4.59,5.45,5.14,4.86,4.51,5.39,4.21,2.98,4.14,3.96,3.59,4.34,3.25,3.24,2.92,3.82,2.6,2.34,2.21,0.84,0.0,0.0,100.0
09/02/2021,11.59,6.73,7.43,4.6,5.53,5.17,4.91,4.46,5.39,4.25,3.0,4.14,4.0,3.58,4.31,3.28,3.2,2.86,3.72,2.53,2.3,2.18,0.84,0.0,0.0,100.0
09/03/2021,11.61,6.72,7.36,4.63,5.55,5.21,4.94,4.45,5.39,4.22,2.99,4.17,3.97,3.59,4.32,3.27,3.15,2.84,3.68,2.53,2.31,2.19,0.91,0.0,0.0,100.0
09/06/2021,11.7,6.66,7.5,4.22,5.55,5.3,4.93,4.45,5.32,4.24,2.99,3.99,4.01,3.6,4.23,3.3,3.12,2.79,4.34,2.48,2.29,2.2,0.79,0.0,0.0,100.00000000000004
09/07/2021,11.75,6.65,7.49,4.22,5.55,5.29,4.91,4.47,5.3,4.24,2.99,4.03,3.96,3.64,4.22,3.32,3.16,2.81,4.3,2.42,2.29,0.0,0.0,2.2,0.79,100.00000000000001
