,PM,ETN,EMR,CSCO,STX,JNJ,PEP,KR,CL,MCD,PFE,MRK,MMM,PG,KO,CVS,LMT,VZ,GIS,CLX,AEP,GD,CCI,EXC,SO,PSA,PAYX,K,ED,O,FAST,PPL,OMC,ADM,SJM,ETR,IPG,CAG,PEG,CPB,HRL,EVRG,DTE,KIM,PKG,PBCT,PCAR,LNT,PNW,BK,GLPI,LSI,STOR,NYCB,GEO,LAMR,NNN,CUBE,Invesco Shrt-Trm Inv Treasury Instl,ADC,MGP,HIW,DOC,FNB,ALE,HE,BKH,FHB,NHI,LXP,DTM WI,NET CURRENT ASSETS USD,NWE,DEA,MCY,PDM,FCPT,CNS,OGN,WSBC,LTC,PFS,ILPT,SAFT,PRK,GTY,E-mini S&P 500 Future Sept 21,TRPXX,DTM,ESU1,SUM
07/09/2021,2.66,2.65,2.62,2.57,2.57,2.51,2.51,2.5,2.49,2.49,2.49,2.47,2.46,2.46,2.45,2.45,2.44,2.4,2.37,2.26,2.26,2.18,2.17,2.16,2.13,2.0,1.99,1.94,1.73,1.7,1.65,1.42,1.4,1.4,1.37,1.28,1.2,1.2,1.08,0.99,0.97,0.93,0.9,0.88,0.8,0.77,0.7,0.7,0.61,0.56,0.53,0.53,0.49,0.48,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.37,0.33,0.26,0.25,0.24,0.22,0.2,0.18,0.18,0.18,0.17,0.15,0.15,0.14,0.13,0.12,0.1,0.1,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.01,0.0,0.0,0.0,99.98
09/28/2021,2.58,2.72,2.66,2.59,2.55,2.51,2.6,2.61,2.38,2.54,2.63,2.36,2.4,2.53,2.54,2.41,2.33,2.33,2.28,2.25,2.3,2.22,2.09,2.21,2.17,2.04,2.05,1.89,1.73,1.74,1.69,1.4,1.23,1.36,1.37,1.27,1.27,1.1,1.1,0.93,0.92,0.96,0.93,0.88,0.81,0.69,0.65,0.71,0.61,0.55,0.53,0.56,0.49,0.5,0.46,0.46,0.46,0.46,0.0,0.45,0.42,0.39,0.34,0.24,0.24,0.25,0.22,0.18,0.18,0.19,0.0,0.0,0.15,0.15,0.13,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.05,0.0,0.59,0.17,0.01,99.78
09/29/2021,2.58,2.72,2.66,2.59,2.55,2.51,2.6,2.61,2.38,2.54,2.63,2.36,2.4,2.53,2.54,2.41,2.33,2.33,2.28,2.25,2.3,2.22,2.09,2.21,2.17,2.04,2.05,1.89,1.73,1.74,1.69,1.4,1.23,1.36,1.37,1.27,1.27,1.1,1.1,0.93,0.92,0.96,0.93,0.88,0.81,0.69,0.65,0.71,0.61,0.55,0.53,0.56,0.49,0.5,0.46,0.46,0.46,0.46,0.0,0.45,0.42,0.39,0.34,0.24,0.24,0.25,0.22,0.18,0.18,0.19,0.0,0.0,0.15,0.15,0.13,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.05,0.0,0.59,0.17,0.01,99.77999999999999
