,IBE.MC,SAN.MC,ITX.MC,CLNX.MC,BBVA.MC,FER.MC,AMS.MC,TEF.MC,REP.MC,CABK.MC,AENA.MC,SGRE.MC,NTGY.MC,GRF.MC,ELE.MC,ACS.MC,REE.MC,ENG.MC,EUR,XTSLA,ACSDE,WFFUT,IBN1,EUR.1,MARGIN_USD,EUR.2,IBE/D.MC,-,IBQ1,IBU1,IBV1,IBX1,USD,FER.D.MC,SUM
07/09/2021,18.2,15.78,9.39,5.54,4.93,4.78,4.61,4.5,4.2,4.15,4.11,3.17,2.93,2.93,2.9,2.48,2.47,1.91,0.91,0.38,0.14,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.49
07/19/2021,18.33,16.21,9.11,5.64,5.04,4.78,4.42,4.55,4.06,4.27,3.96,2.6,3.08,2.81,2.97,2.44,2.64,1.98,0.67,0.27,0.0,0.05,0.0,0.0,0.0,0.0,0.46,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.47
07/20/2021,18.33,16.21,9.11,5.64,5.04,4.78,4.42,4.55,4.06,4.27,3.96,2.6,3.08,2.81,2.97,2.44,2.64,1.98,0.67,0.27,0.0,0.05,0.0,0.0,0.0,0.0,0.46,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.47
07/22/2021,18.64,15.65,9.28,5.82,4.89,4.74,4.41,4.6,3.92,4.16,3.98,2.63,3.13,2.89,3.02,2.41,2.69,2.01,0.68,0.27,0.0,0.06,0.0,0.0,0.0,0.0,0.47,0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.48
08/06/2021,18.48,15.81,9.31,5.79,5.29,4.74,4.24,4.87,4.08,4.29,3.96,2.69,2.97,2.82,2.98,2.63,2.83,1.9,0.29,0.45,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.45000000000002
08/31/2021,18.92,15.83,9.24,6.23,5.17,4.63,4.04,5.11,4.19,4.32,4.01,2.89,2.95,2.74,3.16,2.68,2.36,1.55,0.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.49
09/01/2021,18.92,15.83,9.24,6.23,5.17,4.63,4.04,5.11,4.19,4.32,4.01,2.89,2.95,2.74,3.16,2.68,2.36,1.55,0.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.49
09/02/2021,19.02,15.7,9.27,6.12,5.16,4.63,4.03,5.11,4.21,4.29,3.99,2.92,2.97,2.77,3.18,2.67,2.38,1.56,0.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.45000000000002
09/06/2021,18.99,15.58,4.58,4.55,10.73,4.78,4.64,4.42,4.7,4.37,3.97,2.91,2.95,2.76,3.26,2.71,2.39,1.55,0.17,0.46,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.48999999999998
09/07/2021,19.11,15.46,4.6,4.54,10.79,4.74,4.57,4.4,4.68,4.38,3.89,2.92,2.97,2.78,3.29,2.72,2.4,1.56,0.17,0.48,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.47
09/08/2021,19.11,15.46,4.6,4.54,10.79,4.74,4.57,4.4,4.68,4.38,3.89,2.92,2.97,2.78,3.29,2.72,2.4,1.56,0.17,0.48,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.47
09/09/2021,18.8,15.58,4.62,4.6,10.75,4.7,4.6,4.42,4.67,4.37,3.87,2.88,2.94,2.79,3.27,2.71,2.38,1.54,0.16,0.48,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.15
09/10/2021,18.75,15.72,4.62,4.54,10.82,4.74,4.67,4.48,4.68,4.45,3.87,2.89,2.94,2.76,3.23,2.73,2.39,1.53,0.16,0.48,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.47
09/13/2021,18.8,15.56,4.63,4.68,10.8,4.81,4.79,4.51,4.62,4.39,3.9,2.67,2.99,2.76,3.25,2.71,2.41,1.55,0.17,0.49,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.51
09/17/2021,18.5,15.73,4.75,4.56,10.95,4.8,4.59,4.49,4.86,4.35,3.89,2.69,3.01,2.85,3.13,2.76,2.28,1.46,0.31,0.54,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.53
09/23/2021,17.55,15.16,5.15,4.76,10.6,4.91,5.09,4.58,5.08,4.28,4.15,2.64,3.14,3.07,3.1,2.74,2.35,1.48,0.14,0.52,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5
09/24/2021,17.51,15.03,5.2,4.81,10.56,4.96,5.17,4.46,5.16,4.29,4.2,2.62,3.11,3.05,3.11,2.73,2.36,1.49,0.14,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.42000000000002
