,2SPY  211231C00002980,2SPY  211231P00355190,Cash&Other,2SPY  211231P00243020,2SPY  211231C00399300,SUM
07/09/2021,109.52,1.3,0.41,-0.23,-11.0,100.0
07/12/2021,110.11,1.35,0.4,-0.25,-11.62,99.99
07/13/2021,110.11,1.35,0.4,-0.25,-11.62,99.99
07/14/2021,110.11,1.35,0.4,-0.25,-11.62,99.99
07/15/2021,110.52,1.29,0.4,-0.23,-11.99,99.99
07/16/2021,110.23,1.39,0.4,-0.25,-11.78,99.99
07/19/2021,109.92,1.39,0.37,-0.25,-11.43,100.0
07/20/2021,109.24,1.56,0.37,-0.26,-10.92,99.99
07/21/2021,109.24,1.56,0.37,-0.26,-10.92,99.99
07/22/2021,108.06,1.85,0.37,-0.32,-9.96,100.0
07/23/2021,109.4,1.59,0.37,-0.28,-11.08,100.0
07/26/2021,110.29,1.36,0.36,-0.24,-11.77,100.0
07/27/2021,111.13,1.26,0.35,-0.23,-12.51,100.0
07/28/2021,111.13,1.26,0.35,-0.23,-12.51,100.0
07/29/2021,111.47,1.2,0.35,-0.22,-12.8,100.0
07/30/2021,110.82,1.36,0.35,-0.26,-12.27,100.0
08/02/2021,111.2,1.21,0.34,-0.23,-12.54,99.98
08/03/2021,111.01,1.25,0.34,-0.23,-12.37,100.0
08/04/2021,111.01,1.25,0.34,-0.23,-12.37,100.0
08/05/2021,110.8,1.29,0.34,-0.24,-12.19,100.0
08/06/2021,111.28,1.19,0.33,-0.22,-12.59,99.99
08/10/2021,111.7,1.03,0.32,-0.19,-12.86,100.0
08/11/2021,111.7,1.03,0.32,-0.19,-12.86,100.0
08/13/2021,111.54,1.04,0.32,-0.18,-12.72,100.0
08/16/2021,112.13,0.91,0.31,-0.15,-13.21,99.98999999999998
08/17/2021,112.32,0.9,0.31,-0.15,-13.38,100.0
08/18/2021,112.32,0.9,0.31,-0.15,-13.38,100.0
08/19/2021,112.66,0.87,0.3,-0.15,-13.69,99.99
08/20/2021,111.82,0.97,0.31,-0.18,-12.93,99.98999999999998
08/23/2021,111.15,1.23,0.31,-0.22,-12.48,99.99
08/24/2021,111.79,1.06,0.31,-0.18,-12.97,100.01
08/25/2021,111.79,1.06,0.31,-0.18,-12.97,100.01
08/26/2021,112.74,0.89,0.31,-0.16,-13.78,100.0
08/27/2021,112.67,0.87,0.29,-0.16,-13.68,99.99
08/30/2021,112.52,0.93,0.28,-0.16,-13.58,99.99
08/31/2021,113.25,0.8,0.28,-0.14,-14.2,99.99
09/01/2021,113.25,0.8,0.28,-0.14,-14.2,99.99
09/02/2021,113.79,0.73,0.28,-0.13,-14.68,99.99
09/03/2021,113.79,0.75,0.28,-0.12,-14.69,100.01
09/06/2021,113.86,0.7,0.27,-0.12,-14.71,100.0
