,CAPITALONEACM,FGXXX,CAPITALONE22ACM,MARATHON PETROLEUM CORP,HARLEY-DAVIDSON FDG CORP,GLENCORE FDG LLC,MARATHON PETE CORP,ENABLE MIDSTREAM PARTNERS LP 0% CP 05/11/2021,GENERAL MTRS FINL CO INC,"HUMANA INC 0%, due 04/28/2021",JABIL INC DISC COML PAPER,"CNPC FINANCE HK LTD 0%, due 04/12/2021",CONAGRA BRANDS INC,MECHANICSBKACM,FGTXX,C N1 COMDTY,C U1 COMDTY,C Z1 COMDTY,SUM
07/09/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/12/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/13/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/14/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/15/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/16/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/19/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/20/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/21/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/22/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/23/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/26/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/27/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/28/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/29/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
07/30/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
08/02/2021,18.23,11.7,6.07,6.07,6.07,4.55,4.55,4.55,3.03,3.03,3.03,1.52,1.52,0.12,0.02,0.0,0.0,0.0,74.06
