,PDCE,RRC,MTDR,SWN,HP,CPE,SM,REGI,PTEN,CLB,OII,GPRE,PBF,DRQ,AROC,BOOM,BCEI,SLCA,LPI,HLX,PUMP,NBR,PARR,VTOL,CEIX,TALO,OIS,REX,LPG,PVAC,RES,AGPXX,NBRWF,Cash/Receivables/Payables,AP4.SI,INT,003000.KS,n/a,4300.SR,SUM
07/09/2021,9.53,8.58,7.95,7.28,7.26,5.39,5.22,4.36,3.89,3.64,3.38,3.11,2.94,2.51,2.48,2.34,2.02,2.0,1.83,1.71,1.63,1.59,1.58,1.37,1.13,1.05,1.0,0.96,0.8,0.77,0.63,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,9.3,9.17,8.1,7.35,7.21,5.19,5.07,4.53,3.87,3.53,3.37,3.18,2.83,2.49,2.47,2.35,1.96,1.98,1.71,1.63,1.65,1.55,1.64,1.39,1.26,1.02,0.97,1.02,0.76,0.78,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,9.3,9.17,8.1,7.35,7.21,5.19,5.07,4.53,3.87,3.53,3.37,3.18,2.83,2.49,2.47,2.35,1.96,1.98,1.71,1.63,1.65,1.55,1.64,1.39,1.26,1.02,0.97,1.02,0.76,0.78,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,9.27,9.07,8.15,7.29,7.23,5.15,4.98,4.52,3.94,3.57,3.38,3.21,2.74,2.52,2.51,2.38,1.96,1.99,1.63,1.64,1.63,1.57,1.65,1.45,1.31,1.01,0.97,1.01,0.78,0.79,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,9.3,9.25,8.31,7.49,7.17,5.15,4.96,4.46,3.9,3.73,3.33,3.11,2.64,2.48,2.52,2.35,1.95,1.94,1.6,1.62,1.62,1.54,1.58,1.5,1.28,1.0,0.96,1.01,0.76,0.79,0.65,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,9.49,9.23,8.2,7.5,7.28,4.81,4.83,4.88,3.88,3.76,3.23,3.37,2.51,2.48,2.63,2.32,1.9,1.86,1.5,1.6,1.58,1.49,1.59,1.51,1.39,0.97,0.93,1.01,0.85,0.72,0.61,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,9.06,9.38,8.01,7.52,7.54,4.51,4.69,5.2,3.85,3.9,3.25,3.54,2.4,2.53,2.7,2.41,1.88,1.87,1.45,1.57,1.58,1.47,1.6,1.54,1.42,0.91,0.93,1.09,0.83,0.69,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,9.15,9.44,8.27,7.45,7.54,4.61,4.66,5.09,3.83,3.84,3.32,3.55,2.25,2.49,2.67,2.22,1.81,1.89,1.44,1.61,1.65,1.46,1.66,1.54,1.47,0.9,0.93,1.06,0.82,0.68,0.63,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,9.33,9.63,8.19,7.66,7.54,4.46,4.65,5.05,3.77,3.76,3.32,3.59,2.22,2.55,2.72,2.0,1.81,1.88,1.39,1.6,1.63,1.46,1.69,1.55,1.47,0.89,0.92,1.07,0.84,0.69,0.62,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,9.33,9.63,8.19,7.66,7.54,4.46,4.65,5.05,3.77,3.76,3.32,3.59,2.22,2.55,2.72,2.0,1.81,1.88,1.39,1.6,1.63,1.46,1.69,1.55,1.47,0.89,0.92,1.07,0.84,0.69,0.62,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,9.4,9.64,8.12,7.82,7.49,4.45,4.61,4.82,3.83,3.71,3.27,3.59,2.26,2.53,2.72,1.99,1.84,1.88,1.37,1.6,1.65,1.46,1.75,1.53,1.54,0.9,0.94,1.06,0.82,0.73,0.63,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,9.49,9.37,8.11,7.81,7.69,4.3,4.54,4.81,3.9,3.85,3.32,3.5,2.17,2.58,2.8,2.08,1.84,1.85,1.33,1.5,1.67,1.46,1.75,1.55,1.52,0.92,0.95,1.07,0.84,0.71,0.65,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,9.34,9.32,8.04,7.55,7.44,4.35,4.52,4.89,3.92,3.72,3.45,3.66,2.24,2.64,2.84,2.1,1.86,1.98,1.36,1.52,1.59,1.5,1.81,1.52,1.66,0.93,0.93,1.07,0.83,0.72,0.64,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,9.44,9.51,8.15,7.36,7.44,4.33,4.63,4.93,3.82,3.76,3.36,3.8,2.24,2.57,2.83,2.08,1.86,1.9,1.34,1.49,1.57,1.45,1.85,1.52,1.62,0.93,0.88,1.1,0.83,0.72,0.62,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,9.44,9.51,8.15,7.36,7.44,4.33,4.63,4.93,3.82,3.76,3.36,3.8,2.24,2.57,2.83,2.08,1.86,1.9,1.34,1.49,1.57,1.45,1.85,1.52,1.62,0.93,0.88,1.1,0.83,0.72,0.62,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,9.43,9.36,8.01,7.33,7.41,4.26,4.73,4.82,3.88,3.8,3.35,3.95,2.26,2.63,2.78,2.1,1.85,1.89,1.31,1.5,1.6,1.48,1.9,1.54,1.63,0.92,0.88,1.1,0.91,0.7,0.62,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,9.0,9.15,7.67,7.36,6.82,3.65,4.46,4.93,3.49,3.4,3.03,3.57,2.24,2.44,2.66,1.97,1.78,1.79,1.12,1.45,1.5,1.3,1.67,1.52,1.62,0.87,0.84,1.09,0.89,0.61,0.57,0.13,0.0,0.0,0.0,5.42,0.0,0.0,0.0,100.01
08/10/2021,9.01,9.04,7.59,7.32,7.02,3.53,4.52,4.74,3.57,3.34,3.09,3.67,2.22,2.42,2.62,2.01,1.78,1.82,1.15,1.43,1.49,1.31,1.73,1.56,1.68,0.87,0.86,1.08,0.84,0.6,0.57,0.13,0.0,0.0,0.0,5.41,0.0,0.0,0.0,100.01999999999998
08/11/2021,9.01,9.04,7.59,7.32,7.02,3.53,4.52,4.74,3.57,3.34,3.09,3.67,2.22,2.42,2.62,2.01,1.78,1.82,1.15,1.43,1.49,1.31,1.73,1.56,1.68,0.87,0.86,1.08,0.84,0.6,0.57,0.13,0.0,0.0,0.0,5.41,0.0,0.0,0.0,100.01999999999998
08/13/2021,9.21,8.91,7.48,7.34,7.11,3.45,4.48,4.52,3.62,3.2,3.11,4.24,2.19,2.36,2.54,1.99,1.81,1.83,1.14,1.43,1.53,1.3,1.73,1.56,1.72,0.86,0.88,1.08,0.81,0.65,0.58,0.04,0.0,0.0,0.0,5.3,0.0,0.0,0.0,100.0
08/16/2021,9.59,8.82,7.35,7.12,7.15,3.41,4.57,4.38,3.63,3.18,3.09,4.43,2.18,2.35,2.58,1.94,1.79,1.8,1.12,1.39,1.53,1.28,1.77,1.6,1.72,0.86,0.88,1.07,0.82,0.67,0.57,0.0,0.0,0.0,0.0,5.4,0.0,-0.04,0.0,100.0
08/19/2021,9.71,8.95,7.36,6.89,7.1,3.3,4.36,4.44,3.61,3.22,3.14,4.38,2.15,2.34,2.65,1.96,1.75,1.77,1.04,1.39,1.51,1.26,1.77,1.66,1.81,0.83,0.87,1.09,0.86,0.66,0.57,0.02,0.0,0.0,0.0,5.56,0.0,0.0,0.0,99.98
08/20/2021,9.85,8.9,7.64,6.98,7.0,3.35,4.33,4.43,3.58,3.15,3.11,4.47,2.15,2.3,2.65,1.94,1.77,1.71,1.06,1.38,1.5,1.24,1.76,1.67,1.75,0.83,0.86,1.09,0.87,0.65,0.56,0.02,0.0,0.0,0.0,5.45,0.0,0.0,0.0,100.0
08/23/2021,9.81,8.92,7.61,6.97,7.06,3.21,4.25,4.42,3.53,3.12,3.12,4.73,2.04,2.32,2.66,1.95,1.76,1.71,1.04,1.38,1.53,1.25,1.74,1.74,1.73,0.81,0.85,1.2,0.9,0.69,0.57,0.02,0.0,0.0,0.0,5.37,0.0,0.0,0.0,100.01
08/24/2021,9.65,8.91,7.58,6.98,7.03,3.33,4.24,4.25,3.53,3.1,3.14,4.51,2.29,2.32,2.69,1.98,1.78,1.74,1.04,1.37,1.53,1.25,1.8,1.74,1.75,0.82,0.87,1.2,0.91,0.7,0.58,0.02,0.0,0.0,0.0,5.37,0.0,0.0,0.0,100.0
08/25/2021,9.65,8.91,7.58,6.98,7.03,3.33,4.24,4.25,3.53,3.1,3.14,4.51,2.29,2.32,2.69,1.98,1.78,1.74,1.04,1.37,1.53,1.25,1.8,1.74,1.75,0.82,0.87,1.2,0.91,0.7,0.58,0.02,0.0,0.0,0.0,5.37,0.0,0.0,0.0,100.0
08/26/2021,9.87,8.48,7.58,6.77,7.01,3.46,4.39,4.28,3.6,3.13,3.21,4.28,2.34,2.26,2.65,1.95,1.83,1.72,1.12,1.4,1.6,1.27,1.79,1.9,1.75,0.84,0.89,1.13,0.9,0.71,0.58,0.02,0.0,0.0,0.0,5.26,0.0,0.0,0.0,99.96999999999998
08/27/2021,9.78,8.49,7.57,6.67,6.97,3.56,4.46,4.24,3.59,3.21,3.21,4.27,2.4,2.24,2.61,1.92,1.84,1.69,1.15,1.4,1.61,1.29,1.83,1.92,1.72,0.91,0.91,1.13,0.9,0.73,0.59,0.0,0.0,0.0,0.0,5.21,0.0,-0.02,0.0,100.0
08/31/2021,9.61,9.14,7.32,6.89,6.98,3.65,4.56,4.04,3.65,3.15,3.11,4.07,2.57,2.15,2.51,1.9,1.86,1.67,1.24,1.37,1.58,1.35,1.79,1.84,1.72,0.97,0.91,1.11,0.89,0.8,0.57,0.0,0.0,0.0,0.0,5.03,0.0,-0.02,0.0,99.98
09/02/2021,9.58,9.11,7.5,6.98,6.92,3.69,4.64,3.94,3.64,3.15,3.09,4.0,2.5,2.18,2.52,1.89,1.84,1.66,1.25,1.36,1.59,1.36,1.82,1.81,1.7,0.98,0.9,1.12,0.89,0.78,0.56,0.0,0.0,0.0,0.0,5.07,0.0,-0.02,0.0,100.0
