,NVDA,TSLA,V,HD,MA,PYPL,ADBE,VZ,CRM,CSCO,KO,PEP,TMO,LLY,TXN,MCD,LIN,UNP,AMGN,BLK,SBUX,INTU,MS,AMAT,TGT,AMT,CAT,AXP,AMD,NOW,DE,SCHW,SPGI,SQ,ZTS,BKNG,MU,PLD,FIS,LRCX,ADP,CCI,TJX,PNC,CSX,CME,ATVI,CB,MMC,EQIX,TFC,EL,MELI,ILMN,ITW,ICE,CL,FISV,ADSK,APD,ADI,TWLO,MCO,REGN,WM,ETN,HUM,HCA,PGR,IDXX,NXPI,DOCU,BIIB,VRTX,NEM,ROP,EBAY,TROW,TEL,ALGN,LULU,A,MRVL,KMB,TT,CMG,DXCM,SPG,APTV,SNPS,CNC,WDAY,INFO,APH,DD,BK,EA,BAX,PRU,PH,PPG,CARR,ALL,CDNS,TRV,MSI,HPQ,IFF,GIS,CTSH,CTAS,RMD,CMI,FTNT,HLT,AFL,WBA,SBAC,PAYX,WELL,XLNX,OTIS,MTD,SWK,FRC,ROK,DHI,SWKS,WCN.TO,GLW,ANSS,SIVB,OKTA,FAST,PCAR,STT,CBRE,KEYS,CPRT,AMP,ZBRA,WLTW,AWK,AJG,BLL,LH,GNRC,WST,MXIM,VRSK,EQR,HUBS,DELL,BBY,KSU,ODFL,CDW,RSG,ARE,CERN,NET,KDP,ETSY,URI,VRSN,TDOC,BURL,WAT,GRMN,FTV,IP,IT,NTRS,VMC,CLX,RNG,SPLK,ANET,HBAN,TRMB,CHD,STE,WDC,WORK,EXPD,MLM,TRU,KMX,DOV,VTR,TSCO,XYL,HIG,MKC,QRVO,DRI,CFG,BR,AKAM,TYL,TDY,POOL,CTLT,RF,ALLY,NDAQ,ALB,AVTR,PEAK,GWW,HZNP,COO,XTSLA,DPZ,PAYC,DRE,DDOG,HOLX,ZS,DGX,KEY,IR,STX,HPE,PODD,PKI,SUM
07/09/2021,3.37,3.33,2.67,2.26,2.19,2.14,1.88,1.53,1.51,1.47,1.45,1.35,1.34,1.26,1.16,1.14,0.99,0.99,0.93,0.9,0.9,0.9,0.84,0.83,0.81,0.81,0.77,0.76,0.75,0.72,0.68,0.67,0.66,0.63,0.61,0.6,0.6,0.6,0.59,0.58,0.57,0.57,0.54,0.52,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.46,0.46,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.35,0.35,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.79999999999998
07/12/2021,3.27,3.32,2.66,2.27,2.17,2.18,1.92,1.53,1.49,1.49,1.47,1.37,1.35,1.28,1.15,1.15,1.0,0.97,0.93,0.89,0.9,0.92,0.82,0.81,0.82,0.82,0.77,0.76,0.72,0.73,0.68,0.65,0.66,0.61,0.62,0.59,0.57,0.6,0.59,0.57,0.57,0.57,0.53,0.51,0.47,0.49,0.47,0.47,0.48,0.49,0.47,0.48,0.45,0.46,0.47,0.44,0.44,0.43,0.43,0.42,0.4,0.41,0.42,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.37,0.34,0.33,0.33,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69999999999999
07/13/2021,3.27,3.32,2.66,2.27,2.17,2.18,1.92,1.53,1.49,1.49,1.47,1.37,1.35,1.28,1.15,1.15,1.0,0.97,0.93,0.89,0.9,0.92,0.82,0.81,0.82,0.82,0.77,0.76,0.72,0.73,0.68,0.65,0.66,0.61,0.62,0.59,0.57,0.6,0.59,0.57,0.57,0.57,0.53,0.51,0.47,0.49,0.47,0.47,0.48,0.49,0.47,0.48,0.45,0.46,0.47,0.44,0.44,0.43,0.43,0.42,0.4,0.41,0.42,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.37,0.34,0.33,0.33,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69999999999999
07/14/2021,3.25,3.31,2.65,2.27,2.17,2.19,1.9,1.52,1.47,1.49,1.46,1.35,1.33,1.25,1.15,1.15,1.0,0.97,0.93,0.9,0.91,0.9,0.84,0.81,0.82,0.81,0.78,0.77,0.72,0.73,0.68,0.67,0.65,0.62,0.61,0.59,0.58,0.61,0.59,0.57,0.57,0.57,0.54,0.53,0.48,0.49,0.47,0.48,0.47,0.48,0.49,0.48,0.46,0.46,0.47,0.44,0.44,0.43,0.43,0.42,0.4,0.41,0.41,0.4,0.4,0.4,0.38,0.39,0.38,0.37,0.36,0.35,0.36,0.34,0.34,0.33,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69
07/15/2021,3.25,3.31,2.65,2.27,2.17,2.19,1.9,1.52,1.47,1.49,1.46,1.35,1.33,1.25,1.15,1.15,1.0,0.97,0.93,0.9,0.91,0.9,0.84,0.81,0.82,0.81,0.78,0.77,0.72,0.73,0.68,0.67,0.65,0.62,0.61,0.59,0.58,0.61,0.59,0.57,0.57,0.57,0.54,0.53,0.48,0.49,0.47,0.48,0.47,0.48,0.49,0.48,0.46,0.46,0.47,0.44,0.44,0.43,0.43,0.42,0.4,0.41,0.41,0.4,0.4,0.4,0.38,0.39,0.38,0.37,0.36,0.35,0.36,0.34,0.34,0.33,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69
07/16/2021,3.29,3.37,2.7,2.24,2.23,2.2,1.9,1.52,1.47,1.48,1.48,1.38,1.33,1.26,1.15,1.15,0.99,0.96,0.93,0.91,0.92,0.91,0.86,0.82,0.83,0.81,0.77,0.77,0.72,0.72,0.68,0.68,0.65,0.62,0.62,0.59,0.58,0.61,0.6,0.59,0.57,0.57,0.53,0.53,0.48,0.49,0.47,0.48,0.47,0.48,0.48,0.48,0.46,0.46,0.47,0.44,0.44,0.43,0.43,0.42,0.4,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.35,0.35,0.34,0.33,0.33,0.31,0.31,0.3,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.24,0.24,0.24,0.21,0.23,0.22,0.22,0.23,0.22,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.93
07/19/2021,3.09,3.29,2.78,2.29,2.28,2.17,1.91,1.54,1.44,1.49,1.52,1.41,1.33,1.24,1.14,1.16,1.01,0.97,0.94,0.88,0.92,0.91,0.86,0.81,0.83,0.82,0.76,0.78,0.69,0.72,0.68,0.67,0.65,0.6,0.63,0.59,0.57,0.62,0.61,0.57,0.58,0.57,0.54,0.53,0.48,0.5,0.46,0.49,0.47,0.49,0.5,0.5,0.44,0.45,0.48,0.44,0.44,0.44,0.43,0.42,0.4,0.39,0.42,0.41,0.41,0.4,0.4,0.39,0.37,0.37,0.35,0.34,0.33,0.34,0.33,0.34,0.31,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.24,0.24,0.24,0.21,0.23,0.22,0.22,0.23,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.17,0.15,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.13,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8
07/20/2021,3.09,3.29,2.78,2.29,2.28,2.17,1.91,1.54,1.44,1.49,1.52,1.41,1.33,1.24,1.14,1.16,1.01,0.97,0.94,0.88,0.92,0.91,0.86,0.81,0.83,0.82,0.76,0.78,0.69,0.72,0.68,0.67,0.65,0.6,0.63,0.59,0.57,0.62,0.61,0.57,0.58,0.57,0.54,0.53,0.48,0.5,0.46,0.49,0.47,0.49,0.5,0.5,0.44,0.45,0.48,0.44,0.44,0.44,0.43,0.42,0.4,0.39,0.42,0.41,0.41,0.4,0.4,0.39,0.37,0.37,0.35,0.34,0.33,0.34,0.33,0.34,0.31,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.22,0.24,0.24,0.24,0.21,0.23,0.22,0.22,0.23,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.19,0.19,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.17,0.15,0.15,0.15,0.0,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.13,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8
07/21/2021,2.98,3.28,2.79,2.29,2.27,2.17,1.92,1.55,1.45,1.5,1.53,1.42,1.36,1.26,1.13,1.16,1.01,0.97,0.95,0.88,0.93,0.91,0.85,0.78,0.83,0.83,0.75,0.77,0.69,0.72,0.68,0.66,0.66,0.61,0.63,0.58,0.56,0.62,0.61,0.56,0.58,0.58,0.54,0.51,0.48,0.5,0.47,0.5,0.48,0.49,0.49,0.49,0.45,0.45,0.48,0.44,0.45,0.44,0.43,0.42,0.39,0.4,0.42,0.41,0.41,0.4,0.4,0.4,0.37,0.38,0.35,0.35,0.33,0.35,0.33,0.34,0.31,0.31,0.29,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.29,0.27,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.22,0.24,0.24,0.25,0.21,0.23,0.23,0.22,0.23,0.23,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.18,0.19,0.2,0.19,0.18,0.19,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.19,0.2,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.0,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.91
07/22/2021,3.12,3.33,2.74,2.3,2.17,2.2,1.93,1.55,1.46,1.5,1.53,1.44,1.38,1.28,1.15,1.15,1.0,0.96,0.96,0.86,0.91,0.92,0.85,0.79,0.84,0.84,0.74,0.75,0.7,0.73,0.67,0.65,0.66,0.61,0.63,0.57,0.56,0.63,0.59,0.57,0.58,0.58,0.52,0.51,0.47,0.5,0.47,0.49,0.47,0.5,0.47,0.49,0.45,0.46,0.48,0.44,0.45,0.43,0.42,0.42,0.39,0.41,0.42,0.41,0.41,0.4,0.4,0.4,0.37,0.38,0.35,0.36,0.33,0.35,0.33,0.34,0.31,0.3,0.29,0.3,0.31,0.3,0.29,0.32,0.3,0.29,0.28,0.26,0.27,0.28,0.28,0.27,0.29,0.27,0.26,0.27,0.27,0.27,0.25,0.25,0.26,0.27,0.26,0.26,0.26,0.25,0.23,0.23,0.25,0.24,0.24,0.25,0.23,0.24,0.22,0.23,0.22,0.24,0.24,0.24,0.21,0.23,0.23,0.22,0.22,0.23,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.19,0.2,0.16,0.16,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.16,0.0,0.15,0.14,0.0,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88999999999999
