,EAGG,ESGU,ESGD,ESGE,ESML,XTSLA,127.HK,n/a,USD,SUM
07/09/2021,59.65,22.78,9.81,4.78,2.82,0.35,0.0,0.0,0.0,100.19
07/12/2021,59.93,22.71,9.74,4.69,2.78,0.35,0.0,0.0,0.0,100.2
07/13/2021,59.93,22.71,9.74,4.69,2.78,0.35,0.0,0.0,0.0,100.2
07/14/2021,59.53,22.86,9.87,4.75,2.83,0.0,0.15,0.0,0.0,99.99
07/15/2021,59.53,22.86,9.87,4.75,2.83,0.0,0.15,0.0,0.0,99.99
07/16/2021,59.5,22.9,9.88,4.77,2.79,0.0,0.0,0.0,0.0,99.84
07/19/2021,59.71,22.82,9.79,4.79,2.73,0.0,0.0,0.0,0.0,99.84
07/20/2021,59.88,22.73,9.75,4.77,2.71,0.0,0.15,0.0,0.0,99.99
07/21/2021,59.88,22.73,9.75,4.77,2.71,0.0,0.15,0.0,0.0,99.99
07/22/2021,60.39,22.47,9.61,4.71,2.67,0.0,0.0,0.0,0.0,99.85
07/23/2021,60.06,22.7,9.64,4.71,2.74,0.0,0.0,0.0,0.0,99.85
07/26/2021,59.77,22.85,9.75,4.74,2.74,0.0,0.15,0.0,0.0,100.0
07/27/2021,59.62,23.04,9.8,4.64,2.75,0.0,0.15,0.0,0.0,100.0
07/28/2021,59.62,23.04,9.8,4.64,2.75,0.0,0.15,0.0,0.0,100.0
07/29/2021,59.6,23.12,9.82,4.55,2.76,0.0,0.0,0.0,0.0,99.85
07/30/2021,59.83,23.02,9.79,4.47,2.74,0.0,0.0,0.0,0.0,99.84999999999998
08/02/2021,59.58,23.02,9.86,4.6,2.79,0.0,0.0,0.0,0.0,99.85
08/03/2021,59.77,22.92,9.82,4.56,2.78,0.0,0.0,0.0,0.0,99.85
08/04/2021,59.77,22.92,9.82,4.56,2.78,0.0,0.0,0.0,0.0,99.85
08/05/2021,59.77,22.92,9.82,4.56,2.78,0.0,0.0,0.0,0.0,99.85
08/06/2021,59.59,22.96,9.89,4.6,2.77,0.0,0.0,0.0,0.0,99.81
08/09/2021,59.46,23.02,9.93,4.62,2.78,0.0,0.0,0.0,0.0,99.81
08/10/2021,59.38,23.11,9.92,4.59,2.8,0.0,0.0,0.0,0.0,99.8
08/11/2021,59.38,23.11,9.92,4.59,2.8,0.0,0.0,0.0,0.0,99.8
08/13/2021,59.3,23.14,9.96,4.62,2.79,0.17,0.0,0.0,0.0,99.98000000000002
08/16/2021,59.22,23.21,10.0,4.58,2.8,0.17,0.0,0.0,0.0,99.98
08/17/2021,59.25,23.18,10.04,4.56,2.77,0.17,0.0,0.0,0.0,99.97
08/18/2021,59.25,23.18,10.04,4.56,2.77,0.17,0.0,0.0,0.0,99.97
08/19/2021,59.32,23.24,9.99,4.51,2.75,0.17,0.0,0.0,0.0,99.98
08/20/2021,59.51,23.17,9.93,4.46,2.73,0.17,0.0,0.0,0.0,99.97
08/23/2021,59.82,23.04,9.85,4.42,2.68,0.17,0.0,0.0,0.0,99.98
08/24/2021,59.65,23.17,9.86,4.4,2.72,0.17,0.0,0.0,0.0,99.97
08/25/2021,59.65,23.17,9.86,4.4,2.72,0.17,0.0,0.0,0.0,99.97
08/26/2021,59.42,23.29,9.91,4.45,2.75,0.17,0.0,0.0,0.0,99.99
08/27/2021,59.26,23.31,9.92,4.55,2.77,0.17,0.0,0.0,0.0,99.98
08/30/2021,59.34,23.3,9.88,4.52,2.77,0.17,0.0,0.0,0.0,99.98
08/31/2021,59.15,23.37,9.93,4.55,2.82,0.17,0.0,0.0,0.0,99.98999999999998
09/01/2021,59.15,23.37,9.93,4.55,2.82,0.17,0.0,0.0,0.0,99.98999999999998
09/02/2021,59.11,23.43,9.91,4.55,2.8,0.17,0.0,0.0,0.0,99.96999999999998
09/03/2021,59.09,23.41,9.9,4.62,2.8,0.17,0.0,0.0,0.0,99.99
09/06/2021,58.88,23.42,10.0,4.63,2.83,0.17,0.0,0.0,0.0,99.93
09/07/2021,58.8,23.43,10.05,4.66,2.82,0.17,0.0,0.0,0.0,99.92999999999998
09/08/2021,58.8,23.43,10.05,4.66,2.82,0.17,0.0,0.0,0.0,99.92999999999998
09/09/2021,58.85,23.44,10.06,4.66,2.82,0.17,0.0,0.0,0.0,100.0
09/10/2021,58.78,23.39,10.08,4.7,2.8,0.17,0.0,0.0,0.0,99.92
09/13/2021,59.08,23.28,10.0,4.62,2.78,0.17,0.0,0.0,0.0,99.93
09/14/2021,59.19,23.17,10.0,4.64,2.76,0.17,0.0,0.0,0.0,99.93
09/15/2021,59.19,23.17,10.0,4.64,2.76,0.17,0.0,0.0,0.0,99.93
09/16/2021,59.13,23.16,10.06,4.64,2.77,0.17,0.0,0.0,0.0,99.93
09/17/2021,59.32,23.06,10.03,4.61,2.74,0.17,0.0,0.0,0.0,99.93
09/20/2021,59.17,23.23,10.04,4.55,2.77,0.17,0.0,0.0,0.0,99.93
09/21/2021,59.36,23.12,9.96,4.55,2.78,0.17,0.0,0.0,0.0,99.94
09/22/2021,59.36,23.12,9.96,4.55,2.78,0.17,0.0,0.0,0.0,99.94
09/23/2021,59.87,22.86,9.83,4.46,2.74,0.17,0.0,0.0,0.0,99.92999999999998
09/24/2021,59.79,22.82,9.93,4.49,2.74,0.17,0.0,0.0,0.0,99.93999999999998
09/27/2021,59.19,23.19,10.03,4.55,2.81,0.17,0.0,0.0,0.0,99.94
09/28/2021,59.21,23.2,9.95,4.51,2.8,0.17,0.0,0.0,0.0,99.84
09/29/2021,59.21,23.2,9.95,4.51,2.8,0.17,0.0,0.0,0.0,99.84
09/30/2021,59.26,23.17,9.94,4.55,2.84,0.17,0.0,0.07,0.0,100.0
10/01/2021,59.61,22.9,9.83,4.53,2.81,0.17,0.0,0.0,0.0,99.85
10/04/2021,59.69,22.93,9.83,4.5,2.81,0.17,0.0,0.07,0.0,100.0
10/05/2021,59.67,22.89,9.79,4.5,2.81,0.17,0.0,0.15,0.0,99.98
