,GM,ALB,ADM,F,DE,RSG,ROK,CP.TO,AGCO,TSLA,SHEL,LTHM,UNP,WMT,FSLR,SQM,SCCO,AA,EMN,EAF,CF,n/a,BG,OXY,SEDG,COP,WOLF,CAT,WM,VC,ENPH,BALL,PLUG,CSX,EADSY,TT,TDG,SAFRY,SUM
04/27/2022,9.02,8.34,8.05,7.22,7.16,5.41,4.89,4.89,4.74,4.24,4.0,3.9,3.82,3.45,3.24,3.0,2.8,1.99,1.95,1.88,1.84,1.77,1.32,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/05/2022,7.73,0.0,7.54,9.91,10.21,5.52,5.27,3.67,3.59,1.25,7.19,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,2.02,0.0,2.94,7.42,4.68,4.26,3.49,3.19,2.19,1.85,1.74,0.99,0.0,0.0,0.0,0.0,0.0,99.98999999999997
08/12/2022,8.66,0.0,4.97,11.3,9.88,5.03,5.52,4.82,0.0,6.8,3.93,7.27,0.98,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,6.03,0.0,0.0,2.8,4.98,1.9,0.0,1.49,0.0,1.29,0.0,0.0,4.86,3.47,1.02,1.02,0.98,99.99
