,MGM,HUBS,RGEN,SBNY,TWLO,BSY,USFD,TECH,EXPE,XPO,VEEV,MIDD,FICO,CGNX,HRI,CPRI,CFX,ROLL,INMD,ALGN,KLAC,CVNA,TXG,NTRA,MGNI,HQY,HLIO,ABMD,PENN,CAT,GNRC,APTV,BILL,PRLB,Cash,TLS,ASO,IDXX,ROKU,SKT,PINS,688065.SS,CHX,IT,ETN,CME,ENPH,OLED,CPRT,USPH,POOL,SoFi Technologies Inc Ordinary Shares,SHOP,ZI,ZM,TWST,AVLR,DDOG,LPSN,DOCU,AFRM,PLTR,Z,DOCN,ZS,XM,NIO,n/a,ASAN,NVDA,UPST,CHWY,SOFI,FTCH,RH,REAL,QGEN,MRNA,BCPC,PACK,S,DOCS,UPWK,TASK,GENI,GXO,CTLT,QTRX,MELI,ULTA,PANW,VSCO,BNTX,MTCH,BRKS,HEI.A,CMG,GTES,FIVN,URI,BROS,TYL,AMPL,AZTA,EL,CROX,TEAM,CHPT,EHTH,MQ,SEDG,SKIN,SAIA,SUM
07/09/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,2.52,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,4.02,4.01,3.62,3.58,3.47,3.05,3.05,2.97,2.87,2.86,2.83,2.72,2.69,2.65,2.63,2.59,2.59,2.54,0.0,2.5,2.41,2.39,2.39,2.3,2.24,2.23,2.2,2.19,2.18,2.07,2.05,1.89,1.77,1.73,1.72,1.69,1.59,1.51,1.5,1.34,0.88,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
