,Cash,Dj U.S. Technology Index Swap Jp Morgan Securities - Cash Offset,Dj U.S. Technology Index Swap Bank Of America Na - Cash Offset,Dow Jones Us Technology Index Swap Goldman Sachs International - Cash Offse,Dj U.S. Technology Index Swap Bnp Paribas - Cash Offset,Dj U.S. Technology Index Swap Ubs Ag - Cash Offset,Dj U.S. Technology Index Swap Societe Generale - Cash Offset,Dj U.S. Technology Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Technology Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Technology Index Swap Societe Generale,Dj U.S. Technology Index Swap Ubs Ag,Dj U.S. Technology Index Swap Bnp Paribas,Dow Jones Us Technology Index Swap Goldman Sachs International,Dj U.S. Technology Index Swap Bank Of America Na,Dj U.S. Technology Index Swap Jp Morgan Securities,SUM
07/09/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/12/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/13/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/14/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/15/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/16/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/19/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/20/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/21/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/22/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/23/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/26/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/27/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999996
07/28/2021,100.0,55.57,34.27,32.11,31.13,24.06,15.42,7.46,-7.46,-15.42,-24.06,-31.13,-32.11,-34.27,-55.57,99.99999999999997
