,GOLDMAN FS GOVT INST 465,COPPER FUTURE Sep21,COPPER FUTURE Jul21,COPPER FUTURE May21,RBC US GOVTT 1 1465,B 0 05/06/21,CASH,DREY INST PREF GOV MM INST 6546,BNY CASH RESERVE,SUM
07/09/2021,64.88,33.38,33.32,33.28,17.71,10.54,3.92,0.26,0.02,197.31
07/12/2021,64.88,33.38,33.32,33.28,17.71,10.54,3.92,0.26,0.02,197.31
07/13/2021,64.88,33.38,33.32,33.28,17.71,10.54,3.92,0.26,0.02,197.31
07/14/2021,64.88,33.38,33.32,33.28,17.71,10.54,3.92,0.26,0.02,197.31
07/15/2021,64.88,33.38,33.32,33.28,17.71,10.54,3.92,0.26,0.02,197.31
07/16/2021,64.88,33.38,33.32,33.28,17.71,10.54,3.92,0.26,0.02,197.31
