,QQQ,XLK,FDN,IWO,iShares Core S&P Small-Cap ETF,ACO.X.TO,Cash,Fidelity Instl Mmkt Govt 57,VTI,VNQ,IJR,BLV,n/a,IYW,GLD,SUM
07/09/2021,39.05,30.4,17.55,5.6,4.99,2.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,39.22,30.52,17.58,5.46,4.85,0.0,-0.05,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,39.22,30.52,17.58,5.46,4.85,0.0,-0.05,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,39.11,30.52,17.58,5.52,4.93,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,39.22,30.52,17.49,5.51,4.95,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,39.28,30.69,17.41,5.41,4.86,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,38.2,29.79,16.63,3.54,0.04,0.0,0.0,2.61,4.98,4.22,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,38.19,29.72,16.67,3.53,0.04,0.0,0.0,2.63,4.97,4.25,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,38.19,29.72,16.67,3.53,0.04,0.0,0.0,2.63,4.97,4.25,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,38.19,29.72,16.67,3.53,0.04,0.0,0.0,2.63,4.97,4.25,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,38.19,29.72,16.67,3.53,0.04,0.0,0.0,2.63,4.97,4.25,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,38.17,29.71,16.82,3.57,0.04,0.0,0.0,2.58,4.95,4.16,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,38.17,29.66,16.98,3.55,0.04,0.0,0.0,2.52,4.94,4.15,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,38.17,29.66,16.98,3.55,0.04,0.0,0.0,2.52,4.94,4.15,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,38.18,29.64,16.96,3.53,0.04,0.0,0.0,2.56,4.95,4.15,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,38.14,29.65,16.89,3.52,0.04,0.0,0.0,2.58,4.97,4.21,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,38.25,29.67,16.81,3.59,0.04,0.0,0.0,2.48,4.98,4.18,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,38.25,29.67,16.81,3.59,0.04,0.0,0.0,2.48,4.98,4.18,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,38.25,29.67,16.81,3.59,0.04,0.0,0.0,2.48,4.98,4.18,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,38.25,29.67,16.81,3.59,0.04,0.0,0.0,2.48,4.98,4.18,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,38.33,29.77,16.48,3.57,0.04,0.0,0.0,2.63,4.99,4.19,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,38.58,29.85,16.58,3.57,0.0,0.0,0.0,0.0,0.0,0.0,5.51,3.2,2.72,0.0,0.0,100.01
09/08/2021,38.58,29.85,16.58,3.57,0.0,0.0,0.0,0.0,0.0,0.0,5.51,3.2,2.72,0.0,0.0,100.01
09/09/2021,38.58,29.85,16.58,3.57,0.0,0.0,0.0,0.0,0.0,0.0,5.51,3.2,2.72,0.0,0.0,100.01
09/10/2021,38.61,29.83,16.59,3.54,0.0,0.0,0.0,0.0,0.0,0.0,5.45,3.17,2.82,0.0,0.0,100.01
09/13/2021,38.62,29.82,16.52,3.53,0.0,0.0,0.0,0.0,0.0,0.0,5.43,3.25,2.83,0.0,0.0,100.0
09/14/2021,38.68,29.8,16.53,3.53,0.0,0.0,0.0,0.0,0.0,0.0,5.42,3.26,2.79,0.0,0.0,100.01000000000002
09/15/2021,38.68,29.8,16.53,3.53,0.0,0.0,0.0,0.0,0.0,0.0,5.42,3.26,2.79,0.0,0.0,100.01000000000002
09/16/2021,38.69,29.83,16.45,3.53,0.0,0.0,0.0,0.0,0.0,0.0,5.47,3.27,2.75,0.0,0.0,99.99
09/17/2021,38.69,29.83,16.45,3.53,0.0,0.0,0.0,0.0,0.0,0.0,5.47,3.27,2.75,0.0,0.0,99.99
09/20/2021,38.64,29.88,16.49,4.15,0.0,0.0,0.0,0.0,5.09,0.0,3.07,0.0,2.68,0.0,0.0,100.0
09/21/2021,38.61,29.75,16.58,4.2,0.0,0.0,0.0,0.0,5.1,0.0,3.1,0.0,2.65,0.0,0.0,99.99
09/22/2021,38.61,29.75,16.58,4.2,0.0,0.0,0.0,0.0,5.1,0.0,3.1,0.0,2.65,0.0,0.0,99.99
09/23/2021,38.61,29.75,16.58,4.2,0.0,0.0,0.0,0.0,5.1,0.0,3.1,0.0,2.65,0.0,0.0,99.99
09/24/2021,38.61,29.75,16.58,4.2,0.0,0.0,0.0,0.0,5.1,0.0,3.1,0.0,2.65,0.0,0.0,99.99
09/27/2021,38.39,29.86,16.54,4.24,0.0,0.0,0.0,0.0,5.11,0.0,3.13,0.0,2.74,0.0,0.0,100.00999999999998
09/28/2021,38.39,29.85,16.6,4.2,0.0,0.0,0.0,0.0,5.09,0.0,3.11,0.0,2.75,0.0,0.0,99.99
09/29/2021,38.39,29.85,16.6,4.2,0.0,0.0,0.0,0.0,5.09,0.0,3.11,0.0,2.75,0.0,0.0,99.99
09/30/2021,38.36,29.77,16.56,4.27,0.0,0.0,0.0,0.0,5.12,0.0,3.19,0.0,2.73,0.0,0.0,100.0
10/01/2021,38.34,29.72,16.45,4.26,0.0,0.0,0.0,0.0,5.15,0.0,3.24,0.0,2.85,0.0,0.0,100.01
10/04/2021,38.37,29.75,16.34,4.25,0.0,0.0,0.0,0.0,5.17,0.0,3.25,0.0,2.87,0.0,0.0,100.0
10/07/2021,38.24,29.74,16.33,4.26,0.0,0.0,0.0,0.0,5.19,0.0,3.3,0.0,2.93,0.0,0.0,99.99
10/08/2021,38.28,29.8,16.35,4.24,0.0,0.0,0.0,0.0,5.17,0.0,3.27,0.0,2.9,0.0,0.0,100.01
10/11/2021,38.32,29.83,16.48,4.23,0.0,0.0,0.0,0.0,5.16,0.0,3.25,0.0,2.73,0.0,0.0,100.0
10/12/2021,38.31,29.86,16.43,4.2,0.0,0.0,0.0,0.0,5.18,0.0,3.24,0.0,2.77,0.0,0.0,99.99
10/13/2021,38.31,29.86,16.43,4.2,0.0,0.0,0.0,0.0,5.18,0.0,3.24,0.0,2.77,0.0,0.0,99.99
10/14/2021,38.3,29.92,16.38,4.2,0.0,0.0,0.0,0.0,5.18,0.0,3.25,0.0,2.77,0.0,0.0,100.0
10/15/2021,38.3,29.92,16.38,4.2,0.0,0.0,0.0,0.0,5.18,0.0,3.25,0.0,2.77,0.0,0.0,100.0
10/18/2021,39.01,30.36,17.49,0.0,0.0,0.0,0.0,0.0,7.33,0.0,3.58,0.0,2.22,0.0,0.0,99.99
10/19/2021,39.03,30.42,17.46,0.0,0.0,0.0,0.0,0.0,7.33,0.0,3.54,0.0,2.21,0.0,0.0,99.99
10/20/2021,39.03,30.42,17.46,0.0,0.0,0.0,0.0,0.0,7.33,0.0,3.54,0.0,2.21,0.0,0.0,99.99
10/21/2021,39.1,30.43,17.45,0.0,0.0,0.0,0.0,0.0,7.3,0.0,3.52,0.0,2.2,0.0,0.0,100.0
10/22/2021,39.08,30.49,17.45,0.0,0.0,0.0,0.0,0.0,7.29,0.0,3.5,0.0,2.18,0.0,0.0,99.99
10/25/2021,39.14,30.42,17.43,0.0,0.0,0.0,0.0,0.0,7.32,0.0,3.52,0.0,2.17,0.0,0.0,100.0
10/26/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
10/27/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
10/28/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
10/29/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
11/01/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
11/02/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
11/03/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
