,GAZP.ME,SBER.ME,LKOH.ME,GMKN.ME,NVTK.L,TCS.L,YNDX,TATN.ME,ROSN.ME,PLZL.ME,POLY.L,5M71.,MBT,SNGSP,ALRS.ME,FIVE.L,NLMK.ME,CHMF.ME,MOEX.ME,SNGS.ME,PHOR.L,IRAO.ME,MAIL.L,OZON,VTBR.ME,RUB,XTSLA,USD,HBCFT,MESU1,MESZ1,SUM
07/09/2021,14.77,12.79,11.73,5.44,5.07,4.7,4.68,4.11,3.3,3.02,2.88,2.43,2.34,2.34,2.33,2.28,2.23,2.2,1.98,1.85,1.82,1.45,1.38,0.98,0.92,0.6,0.28,0.07,0.06,0.0,0.0,100.03
07/12/2021,14.68,12.86,11.5,5.47,5.03,4.68,4.84,3.97,3.35,3.11,2.91,2.48,2.11,2.32,2.47,2.23,2.28,2.26,2.0,1.81,1.81,1.47,1.37,0.97,0.9,0.69,0.31,0.04,0.06,0.0,0.0,99.98000000000002
07/13/2021,14.68,12.86,11.5,5.47,5.03,4.68,4.84,3.97,3.35,3.11,2.91,2.48,2.11,2.32,2.47,2.23,2.28,2.26,2.0,1.81,1.81,1.47,1.37,0.97,0.9,0.69,0.31,0.04,0.06,0.0,0.0,99.98000000000002
07/14/2021,14.83,12.91,11.45,5.53,4.94,4.65,4.72,3.94,3.33,3.02,2.89,2.46,2.13,2.35,2.54,2.21,2.35,2.35,1.98,1.8,1.8,1.48,1.36,0.98,0.91,0.66,0.26,0.12,0.07,0.0,0.0,100.02
07/15/2021,14.83,12.91,11.45,5.53,4.94,4.65,4.72,3.94,3.33,3.02,2.89,2.46,2.13,2.35,2.54,2.21,2.35,2.35,1.98,1.8,1.8,1.48,1.36,0.98,0.91,0.66,0.26,0.12,0.07,0.0,0.0,100.02
07/16/2021,14.77,12.85,11.35,5.72,4.92,4.52,4.75,3.95,3.32,3.06,2.9,2.5,2.13,2.32,2.64,2.2,2.41,2.42,1.98,1.79,1.78,1.47,1.37,0.94,0.9,0.65,0.09,0.28,0.07,0.0,0.0,100.05
07/19/2021,14.22,12.96,11.2,5.79,4.83,4.51,4.75,3.86,3.3,3.1,2.99,2.47,2.16,2.3,2.6,2.18,2.45,2.45,1.99,1.75,1.8,1.46,1.34,0.95,0.89,1.2,0.13,0.28,0.11,0.0,0.0,100.02
07/20/2021,14.22,12.96,11.2,5.79,4.83,4.51,4.75,3.86,3.3,3.1,2.99,2.47,2.16,2.3,2.6,2.18,2.45,2.45,1.99,1.75,1.8,1.46,1.34,0.95,0.89,1.2,0.13,0.28,0.11,0.0,0.0,100.02
07/22/2021,14.34,12.8,11.13,5.82,4.83,4.63,4.8,3.82,3.27,3.11,3.0,2.44,2.18,1.97,2.56,2.19,2.44,2.5,1.97,1.73,1.81,1.43,1.33,0.97,0.89,1.57,0.01,0.35,0.11,0.0,0.0,100.0
07/23/2021,14.29,12.97,11.2,5.77,4.82,4.68,4.78,3.77,3.25,3.05,2.93,2.43,2.18,1.93,2.55,2.18,2.49,2.55,2.0,1.7,1.81,1.43,1.32,0.98,0.89,1.57,0.16,0.18,0.13,0.0,0.0,99.99
07/27/2021,14.58,12.92,11.37,5.74,4.86,4.68,4.79,3.83,3.28,3.01,2.85,2.42,2.16,1.92,2.59,2.12,2.55,2.58,2.01,1.7,1.77,1.42,1.33,0.96,0.89,1.55,0.16,0.0,0.11,0.0,0.0,100.15
