,PKO.WA,KGH.WA,ALE.WA,PZU.WA,PKN.WA,LPP.WA,PEO.WA,DNP.WA,CDR.WA,PGN.WA,SPL.WA,CPS.WA,PGE.WA,KRU.WA,LTS.WA,MBK.WA,ACP.WA,OPL.WA,CCC.WA,TPE.WA,BDX.WA,MIL.WA,XTSLA,JSW.WA,EAT.WA,NEU.WA,ENA.WA,TEN.WA,BHW.WA,CIE.WA,ATT.WA,GPW.WA,EUR.WA,LVC.WA,PLN,MRC.WA,PLW.WA,ALR.WA,XTB.WA,CLN,JPFFT,EUR,MESU1,CLN.WA,XTB,HUGE,HUGE.WA,MESZ1,USD,SUM
07/09/2021,10.27,8.19,7.45,6.65,6.26,5.3,4.83,4.66,4.32,4.23,3.55,3.46,2.97,2.2,2.14,2.1,1.95,1.92,1.83,1.64,1.4,1.37,1.11,1.04,1.02,0.97,0.95,0.86,0.82,0.78,0.76,0.69,0.61,0.59,0.42,0.39,0.24,0.23,0.2,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.59
07/14/2021,10.22,8.17,7.56,6.67,6.11,5.59,4.83,4.53,4.3,4.25,3.55,3.55,2.99,2.29,2.09,2.11,1.98,1.97,1.86,1.61,1.4,1.39,1.03,1.02,0.97,0.96,0.95,0.84,0.82,0.8,0.78,0.69,0.6,0.58,0.23,0.38,0.24,0.23,0.19,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.54
07/15/2021,10.22,8.17,7.56,6.67,6.11,5.59,4.83,4.53,4.3,4.25,3.55,3.55,2.99,2.29,2.09,2.11,1.98,1.97,1.86,1.61,1.4,1.39,1.03,1.02,0.97,0.96,0.95,0.84,0.82,0.8,0.78,0.69,0.6,0.58,0.23,0.38,0.24,0.23,0.19,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.54
07/16/2021,10.04,8.12,7.65,6.63,6.08,5.65,4.74,4.7,4.63,4.18,3.37,3.67,2.94,2.37,2.09,1.99,1.96,2.01,1.92,1.58,1.4,1.32,1.01,0.97,1.02,0.96,0.95,0.86,0.81,0.79,0.78,0.69,0.61,0.6,0.23,0.36,0.23,0.22,0.19,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.52
07/19/2021,10.15,8.23,7.7,6.75,6.06,5.56,4.75,4.64,4.45,4.2,3.39,3.56,2.92,2.4,2.06,1.99,1.99,2.0,1.95,1.56,1.4,1.33,1.01,0.98,1.05,0.97,0.94,0.85,0.81,0.79,0.78,0.69,0.58,0.61,0.23,0.36,0.23,0.23,0.19,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.54
07/20/2021,10.15,8.23,7.7,6.75,6.06,5.56,4.75,4.64,4.45,4.2,3.39,3.56,2.92,2.4,2.06,1.99,1.99,2.0,1.95,1.56,1.4,1.33,1.01,0.98,1.05,0.97,0.94,0.85,0.81,0.79,0.78,0.69,0.58,0.61,0.23,0.36,0.23,0.23,0.19,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.54
07/22/2021,10.24,8.07,7.88,6.73,6.01,5.54,4.81,4.76,4.35,4.07,3.34,3.7,2.84,2.44,2.01,1.93,2.02,2.06,1.92,1.56,1.42,1.29,1.06,0.93,1.04,1.01,0.93,0.89,0.8,0.77,0.75,0.7,0.57,0.61,0.36,0.34,0.24,0.22,0.19,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6
07/23/2021,10.22,8.02,7.94,6.67,6.05,5.69,4.79,4.9,4.36,4.03,3.37,3.71,2.82,2.48,2.01,1.98,1.99,2.02,1.9,1.53,1.41,1.27,1.02,0.95,1.02,1.03,0.88,0.88,0.8,0.74,0.73,0.7,0.57,0.58,0.36,0.33,0.23,0.23,0.19,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.61
07/27/2021,10.27,8.13,7.84,6.67,5.67,5.57,4.81,4.66,4.28,4.02,3.39,3.77,2.86,2.4,2.02,2.02,2.03,2.1,1.96,1.55,1.41,1.36,1.01,0.93,1.0,1.08,0.93,0.91,0.8,0.76,0.76,0.65,0.53,0.58,0.55,0.33,0.24,0.23,0.0,0.0,0.05,0.0,0.0,0.22,0.2,0.0,0.0,0.0,0.0,100.55
07/29/2021,10.22,8.46,7.72,6.65,5.78,5.54,4.82,4.66,4.22,4.0,3.41,3.69,2.86,2.38,2.04,2.01,1.99,2.09,1.95,1.58,1.45,1.39,0.99,0.94,1.0,1.05,0.93,0.9,0.79,0.77,0.71,0.65,0.53,0.56,0.55,0.33,0.24,0.24,0.0,0.0,0.07,0.0,0.0,0.22,0.19,0.0,0.0,0.0,0.0,100.57
07/30/2021,10.17,8.56,7.61,6.7,5.75,5.53,4.82,4.65,4.23,4.06,3.41,3.76,2.84,2.37,2.06,2.04,2.01,2.1,1.92,1.57,1.43,1.39,0.97,0.93,1.01,1.06,0.93,0.9,0.79,0.76,0.7,0.65,0.52,0.56,0.55,0.33,0.24,0.24,0.0,0.0,0.07,0.0,0.0,0.23,0.19,0.0,0.0,0.0,0.0,100.61
08/02/2021,10.22,8.63,7.08,6.67,5.88,5.64,4.88,4.69,4.16,4.08,3.59,3.67,2.93,2.42,2.06,2.07,1.98,2.05,1.88,1.59,1.46,1.39,0.95,0.97,1.0,1.03,0.96,0.9,0.79,0.76,0.71,0.62,0.53,0.56,0.54,0.27,0.23,0.24,0.0,0.0,0.07,0.0,0.0,0.22,0.15,0.0,0.0,0.0,0.0,100.51999999999998
08/03/2021,10.26,8.42,6.94,6.72,5.94,5.64,4.89,4.76,4.2,4.06,3.57,3.82,2.85,2.38,2.09,2.09,1.99,2.08,1.88,1.56,1.5,1.43,0.99,0.97,0.98,1.05,0.94,0.92,0.79,0.76,0.7,0.62,0.52,0.56,0.56,0.28,0.23,0.25,0.0,0.0,0.07,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,100.64
08/04/2021,10.26,8.42,6.94,6.72,5.94,5.64,4.89,4.76,4.2,4.06,3.57,3.82,2.85,2.38,2.09,2.09,1.99,2.08,1.88,1.56,1.5,1.43,0.99,0.97,0.98,1.05,0.94,0.92,0.79,0.76,0.7,0.62,0.52,0.56,0.56,0.28,0.23,0.25,0.0,0.0,0.07,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,100.64
08/05/2021,10.26,8.42,6.94,6.72,5.94,5.64,4.89,4.76,4.2,4.06,3.57,3.82,2.85,2.38,2.09,2.09,1.99,2.08,1.88,1.56,1.5,1.43,0.99,0.97,0.98,1.05,0.94,0.92,0.79,0.76,0.7,0.62,0.52,0.56,0.56,0.28,0.23,0.25,0.0,0.0,0.07,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,100.64
08/06/2021,10.19,8.48,7.04,6.66,5.99,5.93,4.94,4.83,3.98,4.06,3.52,3.7,2.89,2.41,2.07,1.99,1.95,2.05,1.84,1.57,1.49,1.48,0.95,0.93,1.0,1.06,0.96,0.91,0.8,0.76,0.69,0.62,0.52,0.54,0.56,0.28,0.23,0.26,0.0,0.0,0.07,0.0,0.0,0.23,0.14,0.0,0.0,0.0,0.0,100.57
08/10/2021,10.41,8.32,6.63,6.75,5.96,5.79,5.11,4.7,3.91,4.05,3.66,3.71,2.96,2.33,2.06,2.06,2.02,2.06,1.9,1.59,1.5,1.49,0.96,0.94,1.09,1.04,0.97,0.91,0.8,0.75,0.68,0.64,0.53,0.55,0.56,0.27,0.23,0.27,0.0,0.0,0.07,0.0,0.0,0.22,0.15,0.0,0.0,0.0,0.0,100.6
08/11/2021,10.41,8.32,6.63,6.75,5.96,5.79,5.11,4.7,3.91,4.05,3.66,3.71,2.96,2.33,2.06,2.06,2.02,2.06,1.9,1.59,1.5,1.49,0.96,0.94,1.09,1.04,0.97,0.91,0.8,0.75,0.68,0.64,0.53,0.55,0.56,0.27,0.23,0.27,0.0,0.0,0.07,0.0,0.0,0.22,0.15,0.0,0.0,0.0,0.0,100.6
08/13/2021,10.52,8.24,6.54,6.86,5.96,5.72,5.32,4.76,3.73,4.03,3.74,3.78,2.91,2.38,2.09,2.03,2.01,2.06,1.9,1.57,1.53,1.53,0.98,0.94,1.06,1.05,0.99,0.89,0.82,0.74,0.72,0.64,0.53,0.54,0.27,0.27,0.23,0.27,0.0,0.0,0.05,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,100.58
08/16/2021,10.56,8.15,6.44,7.0,6.04,5.59,5.26,4.87,3.72,3.99,3.74,3.75,2.94,2.27,2.19,2.06,2.0,2.1,1.87,1.57,1.52,1.58,0.92,1.02,1.08,1.05,0.98,0.87,0.81,0.73,0.69,0.62,0.53,0.53,0.27,0.26,0.26,0.27,0.0,0.0,0.05,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,100.53
08/17/2021,10.53,8.13,6.56,6.99,5.99,5.59,5.33,4.85,3.76,3.98,3.74,3.76,2.87,2.3,2.22,2.08,1.98,2.07,1.87,1.54,1.51,1.64,0.91,0.99,1.08,1.04,0.98,0.88,0.81,0.72,0.69,0.61,0.54,0.53,0.27,0.25,0.25,0.27,0.0,0.0,0.04,0.0,0.0,0.23,0.16,0.0,0.0,0.0,0.0,100.54
08/19/2021,10.57,8.0,6.42,7.01,5.94,5.48,5.34,5.03,3.69,4.0,3.75,3.79,2.89,2.3,2.21,2.13,1.97,2.08,1.85,1.57,1.52,1.67,0.91,1.02,1.08,1.06,0.99,0.86,0.83,0.75,0.69,0.62,0.55,0.53,0.27,0.24,0.24,0.28,0.0,0.0,0.04,0.0,0.0,0.23,0.16,0.0,0.0,0.0,0.0,100.56
08/20/2021,10.64,7.89,6.53,7.01,5.93,5.52,5.32,5.14,3.81,3.98,3.73,3.79,2.86,2.24,2.2,2.1,1.96,2.11,1.79,1.55,1.55,1.65,0.91,0.98,1.05,1.07,0.97,0.87,0.81,0.74,0.67,0.61,0.55,0.54,0.27,0.24,0.25,0.28,0.0,0.0,0.04,0.0,0.0,0.23,0.15,0.0,0.0,0.0,0.0,100.53000000000002
08/23/2021,10.53,7.45,6.81,7.13,5.75,5.43,5.31,5.2,3.81,4.03,3.74,3.93,2.9,2.24,2.2,2.11,1.99,2.2,1.78,1.6,1.53,1.64,0.93,0.94,1.06,1.07,0.99,0.88,0.81,0.73,0.67,0.63,0.53,0.54,0.27,0.25,0.24,0.28,0.0,0.0,0.04,0.0,0.0,0.23,0.16,0.0,0.0,0.0,0.0,100.56
08/24/2021,10.5,7.44,6.81,7.11,5.81,5.45,5.3,4.93,3.75,4.05,3.76,3.95,3.03,2.25,2.24,2.14,1.99,2.21,1.76,1.66,1.53,1.64,0.92,0.95,1.05,1.07,1.01,0.89,0.78,0.73,0.68,0.62,0.53,0.54,0.27,0.25,0.24,0.27,0.0,0.0,0.04,0.0,0.0,0.23,0.16,0.0,0.0,0.0,0.0,100.54
08/25/2021,10.5,7.44,6.81,7.11,5.81,5.45,5.3,4.93,3.75,4.05,3.76,3.95,3.03,2.25,2.24,2.14,1.99,2.21,1.76,1.66,1.53,1.64,0.92,0.95,1.05,1.07,1.01,0.89,0.78,0.73,0.68,0.62,0.53,0.54,0.27,0.25,0.24,0.27,0.0,0.0,0.04,0.0,0.0,0.23,0.16,0.0,0.0,0.0,0.0,100.54
08/26/2021,10.65,7.54,6.72,7.07,5.82,5.43,5.25,4.97,3.69,3.96,3.76,3.88,3.16,2.21,2.25,2.15,1.97,2.16,1.8,1.72,1.5,1.66,0.9,0.98,1.06,1.05,1.06,0.86,0.76,0.71,0.69,0.62,0.52,0.53,0.27,0.25,0.24,0.28,0.0,0.0,0.04,0.0,0.0,0.23,0.16,0.0,0.0,0.0,0.0,100.53000000000002
08/30/2021,10.64,7.45,6.93,6.96,5.76,5.36,5.25,4.89,3.71,3.92,3.76,4.03,3.06,2.19,2.2,2.25,1.94,2.15,1.83,1.69,1.49,1.81,0.83,0.97,1.17,1.11,1.03,0.87,0.75,0.7,0.7,0.6,0.49,0.52,0.3,0.24,0.23,0.28,0.16,0.0,0.04,0.0,0.0,0.22,0.0,0.05,0.0,0.0,0.0,100.53
08/31/2021,10.69,7.57,6.85,7.0,5.8,5.38,5.26,4.77,3.68,3.93,3.8,3.97,3.05,2.2,2.22,2.26,1.94,2.18,1.81,1.68,1.48,1.84,0.82,0.98,1.17,1.09,1.03,0.88,0.75,0.7,0.69,0.59,0.48,0.51,0.08,0.24,0.23,0.28,0.0,0.0,0.02,0.0,0.0,0.22,0.16,0.0,0.26,0.0,0.0,100.54
09/01/2021,10.69,7.57,6.85,7.0,5.8,5.38,5.26,4.77,3.68,3.93,3.8,3.97,3.05,2.2,2.22,2.26,1.94,2.18,1.81,1.68,1.48,1.84,0.82,0.98,1.17,1.09,1.03,0.88,0.75,0.7,0.69,0.59,0.48,0.51,0.08,0.24,0.23,0.28,0.0,0.0,0.02,0.0,0.0,0.22,0.16,0.0,0.26,0.0,0.0,100.54
09/02/2021,10.64,7.48,6.97,6.93,5.77,5.54,5.26,4.77,3.64,3.91,3.83,4.05,3.1,2.18,2.21,2.24,1.93,2.19,1.81,1.67,1.5,1.78,0.83,1.04,1.15,1.08,1.03,0.84,0.75,0.69,0.65,0.59,0.48,0.49,0.08,0.24,0.21,0.28,0.0,0.0,0.02,0.0,0.0,0.22,0.15,0.0,0.26,0.0,0.0,100.48
09/03/2021,11.0,7.32,7.31,7.09,6.32,4.68,5.5,4.09,3.7,3.86,3.99,3.88,3.14,2.28,2.18,2.29,1.97,2.13,1.79,1.66,1.45,1.82,0.81,1.06,1.11,1.06,1.04,0.82,0.75,0.7,0.65,0.59,0.48,0.52,-0.11,0.23,0.21,0.42,0.0,0.0,0.02,0.0,0.0,0.23,0.18,0.0,0.29,0.0,0.0,100.51
09/07/2021,11.16,7.23,7.11,7.11,6.3,4.56,5.52,4.12,4.07,3.79,4.01,3.84,2.99,2.2,2.15,2.37,2.01,2.08,1.75,1.57,1.5,1.85,0.68,1.2,1.07,1.05,0.96,0.86,0.74,0.74,0.64,0.58,0.48,0.52,0.26,0.24,0.22,0.43,0.0,0.0,0.02,0.0,0.0,0.23,0.18,0.0,0.3,0.0,0.0,100.69
09/08/2021,11.16,7.23,7.11,7.11,6.3,4.56,5.52,4.12,4.07,3.79,4.01,3.84,2.99,2.2,2.15,2.37,2.01,2.08,1.75,1.57,1.5,1.85,0.68,1.2,1.07,1.05,0.96,0.86,0.74,0.74,0.64,0.58,0.48,0.52,0.26,0.24,0.22,0.43,0.18,0.0,0.02,0.0,0.0,0.23,0.0,0.0,0.3,0.0,0.0,100.69
09/13/2021,11.23,7.21,6.68,7.14,6.34,4.47,5.33,4.29,3.94,3.78,3.96,3.7,3.06,2.35,2.18,2.35,1.99,2.03,1.69,1.62,1.47,1.86,0.99,1.37,1.07,1.07,1.0,0.88,0.78,0.77,0.65,0.59,0.48,0.54,0.26,0.23,0.21,0.44,0.18,0.0,0.02,0.0,0.0,0.23,0.0,0.0,0.3,0.0,0.0,100.73
09/14/2021,11.23,7.38,6.52,7.09,6.33,4.63,5.34,4.28,3.96,3.81,3.92,3.71,3.03,2.38,2.14,2.33,1.98,1.99,1.74,1.61,1.48,1.82,0.98,1.37,1.08,1.06,1.01,0.89,0.77,0.77,0.65,0.59,0.47,0.53,0.26,0.22,0.21,0.43,0.18,0.0,0.02,0.0,0.0,0.23,0.0,0.0,0.3,0.0,0.0,100.72
09/15/2021,11.23,7.38,6.52,7.09,6.33,4.63,5.34,4.28,3.96,3.81,3.92,3.71,3.03,2.38,2.14,2.33,1.98,1.99,1.74,1.61,1.48,1.82,0.98,1.37,1.08,1.06,1.01,0.89,0.77,0.77,0.65,0.59,0.47,0.53,0.26,0.22,0.21,0.43,0.18,0.0,0.02,0.0,0.0,0.23,0.0,0.0,0.3,0.0,0.0,100.72
09/16/2021,11.3,7.23,6.46,7.1,6.47,4.55,5.44,4.2,4.06,3.82,3.88,3.72,3.11,2.31,2.17,2.34,1.99,2.02,1.71,1.65,1.5,1.81,0.86,1.41,1.07,1.04,1.03,0.88,0.76,0.74,0.66,0.58,0.49,0.53,0.25,0.2,0.21,0.44,0.17,0.23,0.03,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,100.72
09/17/2021,11.24,7.04,6.29,6.61,6.73,4.51,5.4,4.2,4.06,3.84,3.94,3.61,3.12,2.38,2.2,2.4,1.95,2.06,1.71,1.65,1.49,1.82,0.86,1.39,1.06,1.02,1.02,0.87,0.74,0.74,0.67,0.58,0.48,0.53,0.86,0.19,0.21,0.43,0.17,0.0,0.03,0.0,0.0,0.22,0.0,0.0,0.3,0.0,0.0,100.62
09/20/2021,11.2,6.94,6.39,6.58,6.49,4.6,5.36,4.17,4.24,3.82,3.83,3.58,3.06,2.41,2.22,2.42,2.02,2.01,1.73,1.72,1.52,1.78,0.89,1.38,1.08,1.05,1.06,0.87,0.75,0.74,0.65,0.58,0.48,0.52,0.86,0.22,0.21,0.44,0.17,0.0,0.06,0.0,0.0,0.22,0.0,0.0,0.31,0.0,0.0,100.63
09/21/2021,11.06,6.87,6.61,6.58,6.47,4.6,5.3,4.18,4.26,3.8,3.88,3.53,3.03,2.43,2.2,2.45,2.06,2.0,1.74,1.72,1.5,1.81,0.92,1.43,1.07,1.03,1.03,0.88,0.76,0.73,0.65,0.58,0.49,0.51,0.9,0.22,0.22,0.43,0.18,0.0,0.07,0.0,0.0,0.22,0.0,0.0,0.32,0.0,0.0,100.72
09/22/2021,11.06,6.87,6.61,6.58,6.47,4.6,5.3,4.18,4.26,3.8,3.88,3.53,3.03,2.43,2.2,2.45,2.06,2.0,1.74,1.72,1.5,1.81,0.92,1.43,1.07,1.03,1.03,0.88,0.76,0.73,0.65,0.58,0.49,0.51,0.9,0.22,0.22,0.43,0.18,0.0,0.07,0.0,0.0,0.22,0.0,0.0,0.32,0.0,0.0,100.72
09/24/2021,11.07,6.55,6.59,6.56,6.54,4.76,5.3,4.44,4.14,3.83,3.89,3.7,2.92,2.44,2.25,2.41,2.05,2.11,1.75,1.66,1.53,1.79,0.94,1.32,1.08,1.04,1.0,0.88,0.74,0.72,0.64,0.58,0.46,0.52,0.86,0.21,0.23,0.42,0.19,0.0,0.07,0.0,0.0,0.22,0.0,0.0,0.32,0.0,0.0,100.72
