,SKOR,MBSD,MBB,IGSB,IGIB,TLT,IGLB,LKOR,IEF,IEI,FlexShares Ready Access Variable Inc ETF,Cash,RAVI,United States Treasury Bills 0%,n/a,B 0 01/20/22,B 0 01.20.22,XIB 0 01.20.22,SUM
07/09/2021,29.87,11.94,11.93,9.94,8.99,7.93,6.59,5.08,4.15,2.83,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,29.81,11.89,11.89,9.9,8.99,8.05,6.63,5.11,4.16,2.83,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,29.81,11.89,11.89,9.9,8.99,8.05,6.63,5.11,4.16,2.83,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,29.96,11.76,11.72,9.99,8.98,7.98,6.49,5.0,4.5,2.85,0.45,0.33,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,29.96,11.75,11.73,9.99,8.98,7.97,6.49,5.0,4.5,2.85,0.45,0.33,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,29.99,11.79,11.75,10.0,8.98,7.93,6.46,4.98,4.5,2.85,0.45,0.32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,29.95,11.74,11.74,9.97,8.99,8.08,6.51,5.03,4.52,2.85,0.45,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,29.95,11.74,11.74,9.97,8.99,8.08,6.51,5.03,4.52,2.85,0.45,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,29.95,11.76,11.73,9.97,8.99,8.06,6.5,5.01,4.52,2.85,0.45,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,29.95,11.76,11.73,9.97,8.99,8.06,6.5,5.01,4.52,2.85,0.45,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,29.87,11.7,11.69,9.94,8.99,8.2,6.55,5.05,4.53,2.85,0.45,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,29.92,11.73,11.71,9.96,8.99,8.11,6.54,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,100.0
07/27/2021,29.92,11.73,11.71,9.96,8.99,8.11,6.54,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,100.0
07/28/2021,29.94,11.74,11.72,9.97,9.0,8.06,6.53,5.04,4.51,2.85,0.0,0.08,0.32,0.23,0.0,0.0,0.0,0.0,99.99
07/29/2021,29.96,11.75,11.73,9.97,9.0,8.04,6.52,5.03,4.52,2.85,0.0,0.08,0.32,0.23,0.0,0.0,0.0,0.0,100.0
07/30/2021,29.92,11.73,11.7,9.95,8.99,8.11,6.55,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,99.98999999999998
08/02/2021,29.92,11.72,11.7,9.95,9.0,8.1,6.55,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,99.98
08/03/2021,29.92,11.72,11.7,9.95,9.0,8.1,6.55,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,99.98
08/04/2021,29.92,11.72,11.7,9.95,9.0,8.1,6.55,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,99.98
08/05/2021,29.92,11.72,11.7,9.95,9.0,8.1,6.55,5.05,4.52,2.85,0.0,0.07,0.32,0.23,0.0,0.0,0.0,0.0,99.98
08/06/2021,29.9,11.72,11.69,9.93,8.99,8.15,6.56,5.05,4.53,2.85,0.0,0.08,0.32,0.23,0.0,0.0,0.0,0.0,100.0
