,SPY,FGXXX,FXFXX,B 0 09/09/21,B 0 01/27/22,ESM1 INDEX,n/a,ESU1 INDEX,B 0 08/11/22,ESZ1 INDEX,SUM
07/09/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/12/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/13/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/14/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/15/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/16/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/19/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/20/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/21/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/22/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/23/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/26/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/27/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/28/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/29/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
07/30/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/02/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/03/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/04/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/05/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/06/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/09/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/10/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/11/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/13/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/16/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/17/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/18/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/19/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/20/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/23/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/24/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/25/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/26/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/27/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/30/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
08/31/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
09/01/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
09/02/2021,55.02,15.61,15.61,7.24,3.9,0.0,0.0,0.0,0.0,0.0,97.38
09/03/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/06/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/07/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/08/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/09/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/10/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/13/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/14/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/15/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/16/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/17/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/20/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/21/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/22/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/23/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/24/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/27/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
