,NESN.SW,ASML.AS,ROG.SW,MC.PA,NOVN.SW,AZN.L,SAP.DE,ULVR.L,NOVO B.CO,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,ALV.DE,GSK.L,RIO.L,BATS.L,BP.L,SU.PA,RDSA.AS,AI.PA,ENEL.MI,AIR.PA,RYDBF,DAI.DE,BAS.DE,ADYEN.AS,IBE.MC,ADS.DE,DTE.DE,DPW.DE,BNP.PA,SAN.MC,—,KER.PA,RITN.,BHP.L,BAYN.DE,ABI.BR,ZURN.SW,ABBN.SW,RKT.L,DG.PA,EL.PA,LONN.SW,REL.L,IFX.DE,GLEN.L,UBSG.SW,INGA.AS,PRU.L,CS.PA,SAF.PA,AAL.L,DSV.CO,SIKA.SW,LLOY.L,VOD.L,NG.L,RMS.PA,ISP.MI,RI.PA,BN.PA,VOW3.DE,GIVN.SW,PHIA.AS,INVE B.ST,BBVA.MC,LSEG.L,PRX.AS,VWS.CO,BARC.L,STLA.MI,ERIC B.ST,CPG.L,ATCO A.ST,CRH.L,NDA SE.ST,MUV2.DE,CLNX.MC,VNA.DE,VOLV B.ST,ITX.MC,EXPN.L,PGHN.SW,DSYA.,AHT.L,BMW.DE,KNEBV.HE,SGO.PA,DB1.DE,ALC.SW,DSM.AS,ENI.MI,NOKIA.HE,FLTR.L,FERG.L,CAP.PA,AD.AS,AMS.MC,HOLN.SW,HEIA.AS,ML.PA,ASSA B.ST,LR.PA,EVO.ST,ORSTED.CO,SAND.ST,SREN.SW,HEXA B.ST,G.MI,DHER.DE,WKL.AS,NESTE.HE,DBK.DE,GEBN.SW,RACE.MI,VIV.PA,MRK.DE,EOAN.DE,GMAB.CO,UCG.MI,TSCO.L,TEP.PA,RWE.DE,CSGN.SW,WLN.PA,SAMPO.HE,STM.PA,AV.L,BA.L,BT.A.L,DNB.OL,AKZA.AS,TEF.MC,GLE.PA,ENGI.PA,DWNI.DE,SSE.L,LGEN.L,ORA.PA,COLO B.CO,LISP.SW,KRZ.IR,EQNR.OL,SOON.SW,KBC.BR,UPM.HE,MT.AS,ESSITY B.ST,HM B.ST,IMB.L,FRE.DE,ATCOB.ST,SN.L,ZAL.DE,HEN3.DE,CARL B.CO,SWED A.ST,LOGN.SW,SY1.DE,SGSN.SW,SEB A.ST,SGRO.L,TKWY.AS,SHB A.ST,SHL.DE,KNIN.SW,MAERSK B.CO,ARGX.BR,PAH3.DE,REP.MC,STAN.L,EDP.LS,CON.DE,SLHN.SW,STMN.SW,VIE.PA,ACA.PA,ASM.AS,FME.DE,CNHI.MI,III.L,WPP.L,HLMA.L,SCMN.SW,FER.MC,HFG.DE,NZYM B.CO,ENT.L,EDEN.PA,BNR.DE,KRX.IR,PUB.PA,MONC.MI,NWG.L,MTX.DE,NXT.L,EPI A.ST,CRDA.L,ERF.PA,ALO.PA,BAER.SW,MNDI.L,SPX.L,SRT3.,NN.AS,SK3.IR,DWN.,DWNEUR,RTO.L,NIBE B.ST,CFR.SW,DSY.PA,DIM.PA,SUM
07/09/2021,3.07,2.38,2.32,1.7,1.7,1.39,1.38,1.35,1.2,1.03,1.03,0.98,0.97,0.95,0.92,0.9,0.86,0.77,0.77,0.75,0.74,0.73,0.71,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.62,0.6,0.59,0.58,0.56,0.56,0.55,0.54,0.54,0.52,0.51,0.51,0.51,0.49,0.47,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.99
07/12/2021,3.14,2.35,2.37,1.67,1.72,1.37,1.43,1.36,1.23,1.03,1.02,0.97,0.96,0.94,0.91,0.89,0.85,0.77,0.77,0.74,0.73,0.73,0.71,0.64,0.63,0.64,0.62,0.63,0.63,0.61,0.63,0.6,0.59,0.56,0.55,0.6,0.55,0.54,0.55,0.52,0.51,0.52,0.52,0.5,0.47,0.47,0.47,0.45,0.44,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.42,0.39,0.4,0.4,0.4,0.39,0.39,0.37,0.38,0.39,0.37,0.38,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.33,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.28,0.28,0.28,0.28,0.29,0.28,0.26,0.27,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.23,0.25,0.24,0.23,0.24,0.22,0.24,0.24,0.23,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.2,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.12,0.0,0.12,0.0,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1
07/13/2021,3.14,2.35,2.37,1.67,1.72,1.37,1.43,1.36,1.23,1.03,1.02,0.97,0.96,0.94,0.91,0.89,0.85,0.77,0.77,0.74,0.73,0.73,0.71,0.64,0.63,0.64,0.62,0.63,0.63,0.61,0.63,0.6,0.59,0.56,0.55,0.6,0.55,0.54,0.55,0.52,0.51,0.52,0.52,0.5,0.47,0.47,0.47,0.45,0.44,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.42,0.39,0.4,0.4,0.4,0.39,0.39,0.37,0.38,0.39,0.37,0.38,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.33,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.28,0.28,0.28,0.28,0.29,0.28,0.26,0.27,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.23,0.25,0.24,0.23,0.24,0.22,0.24,0.24,0.23,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.2,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.12,0.0,0.12,0.0,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1
07/14/2021,3.08,2.38,2.33,1.71,1.71,1.37,1.43,1.35,1.22,1.03,1.02,0.98,0.95,0.94,0.92,0.9,0.85,0.8,0.76,0.74,0.74,0.73,0.71,0.64,0.65,0.64,0.63,0.64,0.63,0.61,0.63,0.6,0.59,0.57,0.55,0.59,0.55,0.54,0.57,0.52,0.51,0.52,0.53,0.49,0.47,0.47,0.46,0.45,0.45,0.46,0.43,0.44,0.43,0.43,0.43,0.44,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.37,0.4,0.38,0.36,0.38,0.36,0.34,0.34,0.34,0.35,0.34,0.34,0.33,0.35,0.34,0.34,0.33,0.34,0.34,0.32,0.32,0.32,0.3,0.29,0.3,0.29,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.28,0.27,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.13,0.13,0.14,0.15,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.12,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00999999999999
07/15/2021,3.08,2.4,2.33,1.7,1.71,1.38,1.43,1.35,1.21,1.02,1.01,0.99,0.95,0.93,0.92,0.89,0.85,0.8,0.76,0.74,0.75,0.72,0.71,0.64,0.64,0.63,0.63,0.64,0.64,0.61,0.63,0.61,0.59,0.57,0.55,0.59,0.55,0.54,0.56,0.51,0.5,0.52,0.52,0.49,0.47,0.47,0.46,0.45,0.44,0.46,0.43,0.43,0.43,0.43,0.42,0.44,0.42,0.41,0.4,0.4,0.4,0.41,0.39,0.39,0.37,0.41,0.38,0.37,0.38,0.36,0.35,0.34,0.35,0.35,0.34,0.34,0.32,0.35,0.34,0.34,0.33,0.34,0.34,0.32,0.32,0.32,0.31,0.29,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.27,0.25,0.28,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.23,0.25,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.24,0.22,0.21,0.22,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.19,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.17,0.17,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.08
07/16/2021,3.09,2.43,2.33,1.71,1.7,1.38,1.45,1.36,1.21,1.03,1.01,0.99,0.96,0.92,0.92,0.89,0.86,0.79,0.76,0.73,0.75,0.71,0.72,0.64,0.63,0.63,0.63,0.64,0.64,0.61,0.63,0.61,0.59,0.56,0.54,0.59,0.56,0.54,0.56,0.51,0.5,0.52,0.52,0.49,0.46,0.48,0.46,0.46,0.44,0.45,0.43,0.43,0.43,0.43,0.41,0.44,0.42,0.41,0.39,0.4,0.4,0.41,0.39,0.39,0.37,0.4,0.39,0.36,0.38,0.35,0.34,0.35,0.34,0.35,0.34,0.35,0.32,0.35,0.34,0.34,0.33,0.34,0.34,0.32,0.32,0.33,0.31,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.27,0.26,0.29,0.25,0.28,0.27,0.26,0.24,0.26,0.25,0.25,0.25,0.26,0.23,0.25,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.19,0.21,0.2,0.19,0.21,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.14,0.15,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.13
07/19/2021,3.09,2.46,2.35,1.71,1.69,1.33,1.44,1.36,1.24,1.01,1.01,0.98,0.97,0.92,0.93,0.9,0.84,0.81,0.78,0.71,0.74,0.7,0.72,0.64,0.63,0.62,0.64,0.64,0.65,0.61,0.63,0.61,0.59,0.57,0.55,0.6,0.56,0.55,0.57,0.51,0.5,0.52,0.53,0.49,0.45,0.47,0.46,0.46,0.44,0.47,0.43,0.43,0.43,0.43,0.41,0.44,0.43,0.42,0.4,0.39,0.4,0.42,0.39,0.39,0.37,0.4,0.39,0.37,0.38,0.36,0.33,0.36,0.32,0.35,0.33,0.35,0.31,0.35,0.34,0.35,0.33,0.34,0.34,0.32,0.3,0.34,0.31,0.3,0.3,0.29,0.28,0.29,0.27,0.28,0.28,0.26,0.28,0.24,0.28,0.27,0.26,0.24,0.26,0.25,0.25,0.25,0.26,0.23,0.24,0.25,0.23,0.24,0.22,0.24,0.24,0.23,0.22,0.25,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.19,0.21,0.2,0.19,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.17,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.16,0.22,0.16,0.16,0.17,0.15,0.16,0.17,0.17,0.17,0.13,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.15,0.13,0.14,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.22999999999999
07/22/2021,3.19,2.43,2.43,1.7,1.72,1.34,1.45,1.4,1.28,1.0,0.98,1.0,0.97,0.9,0.95,0.88,0.86,0.77,0.77,0.68,0.74,0.68,0.73,0.63,0.61,0.6,0.62,0.63,0.66,0.62,0.62,0.6,0.59,0.55,0.53,0.63,0.55,0.54,0.55,0.52,0.5,0.52,0.52,0.5,0.45,0.47,0.47,0.46,0.43,0.44,0.43,0.42,0.42,0.43,0.4,0.42,0.42,0.43,0.38,0.39,0.41,0.41,0.38,0.4,0.37,0.39,0.4,0.37,0.38,0.35,0.34,0.37,0.33,0.33,0.32,0.32,0.31,0.36,0.33,0.35,0.32,0.35,0.35,0.32,0.31,0.34,0.31,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.29,0.25,0.29,0.24,0.27,0.28,0.27,0.24,0.26,0.25,0.25,0.25,0.26,0.23,0.24,0.24,0.23,0.24,0.22,0.24,0.25,0.23,0.22,0.25,0.22,0.22,0.23,0.23,0.23,0.21,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.21,0.19,0.18,0.21,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.21,0.2,0.2,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.18,0.16,0.22,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.13,0.15,0.16,0.15,0.15,0.14,0.14,0.0,0.13,0.13,0.13,0.14,0.16,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.15
07/23/2021,3.19,2.43,2.43,1.7,1.72,1.34,1.45,1.4,1.28,1.0,0.98,1.0,0.97,0.9,0.95,0.88,0.86,0.77,0.77,0.68,0.74,0.68,0.73,0.63,0.61,0.6,0.62,0.63,0.66,0.62,0.62,0.6,0.59,0.55,0.53,0.63,0.55,0.54,0.55,0.52,0.5,0.52,0.52,0.5,0.45,0.47,0.47,0.46,0.43,0.44,0.43,0.42,0.42,0.43,0.4,0.42,0.42,0.43,0.38,0.39,0.41,0.41,0.38,0.4,0.37,0.39,0.4,0.37,0.38,0.35,0.34,0.37,0.33,0.33,0.32,0.32,0.31,0.36,0.33,0.35,0.32,0.35,0.35,0.32,0.31,0.34,0.31,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.29,0.25,0.29,0.24,0.27,0.28,0.27,0.24,0.26,0.25,0.25,0.25,0.26,0.23,0.24,0.24,0.23,0.24,0.22,0.24,0.25,0.23,0.22,0.25,0.22,0.22,0.23,0.23,0.23,0.21,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.21,0.19,0.18,0.21,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.21,0.2,0.2,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.18,0.16,0.22,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.13,0.15,0.16,0.15,0.15,0.14,0.14,0.0,0.13,0.13,0.13,0.14,0.16,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.15
07/26/2021,3.07,2.55,2.27,1.71,1.7,1.58,1.37,1.28,1.26,1.04,0.99,0.98,0.96,0.9,0.94,0.89,0.84,0.77,0.75,0.68,0.75,0.68,0.72,0.64,0.63,0.6,0.62,0.63,0.68,0.62,0.62,0.59,0.59,0.56,0.55,0.4,0.55,0.55,0.56,0.52,0.5,0.52,0.53,0.47,0.45,0.47,0.47,0.46,0.43,0.45,0.45,0.42,0.43,0.43,0.41,0.43,0.42,0.42,0.38,0.39,0.39,0.41,0.39,0.4,0.36,0.38,0.39,0.37,0.39,0.36,0.33,0.36,0.35,0.34,0.33,0.31,0.32,0.37,0.33,0.36,0.33,0.34,0.35,0.32,0.31,0.34,0.32,0.3,0.31,0.28,0.29,0.29,0.28,0.28,0.29,0.25,0.29,0.26,0.28,0.28,0.26,0.25,0.26,0.24,0.25,0.26,0.26,0.23,0.25,0.25,0.23,0.25,0.22,0.25,0.26,0.24,0.22,0.25,0.22,0.22,0.23,0.23,0.23,0.21,0.21,0.21,0.19,0.21,0.21,0.21,0.21,0.18,0.21,0.19,0.18,0.2,0.19,0.19,0.19,0.0,0.19,0.19,0.19,0.21,0.19,0.2,0.17,0.18,0.19,0.19,0.19,0.17,0.17,0.18,0.19,0.19,0.16,0.22,0.15,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.13,0.14,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.16,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,79.02
