,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust C 3.55,US Dollar,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust P 355.33,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust P 319.80,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust C 404.08,SUM
07/09/2021,105.95,2.83,0.89,-0.5,-9.17,100.0
07/12/2021,108.96,0.57,0.93,-0.53,-9.93,100.0
