,TREASURY NOTE,TREASURY NOTE (2OLD),TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY NOTE (OTR),TREASURY NOTE.5,TREASURY NOTE.6,TREASURY NOTE (OLD),BLK CSH FND TREASURY SL AGENCY,TREASURY NOTE.7,TREASURY NOTE (OLD).1,TREASURY NOTE.8,T 0.625 08/15/30,T 0.875 11/15/30,T 3.125 11/15/28,T 2.625 02/15/29,T 2.375 05/15/29,T 1.5 02/15/30,T 1.625 05/15/31,T 0.625 05/15/30,T 1.125 02/15/31,T 2.875 08/15/28,XTSLA,T 1.625 08/15/29,T 1.25 05/31/28,United States Treasury Notes 1.75%,1117.HK,T 0.625 08.15.30,XIT 1.25 08.15.31,T 2.625 02.15.29,T 1.625 05.15.31,T 1.5 02.15.30,T 2.375 05.15.29,T 3.125 11.15.28,T 0.875 11.15.30,T 0.625 05.15.30,T 1.25 09.30.28,T 1.125 08.31.28,n/a,SUM
07/09/2021,24.26,15.68,14.92,12.54,10.07,9.24,6.48,2.48,2.31,2.0,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,15.69,14.91,12.53,10.06,9.24,5.77,2.77,2.0,1.5,0.11,0.02,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,13.99,14.91,12.54,10.06,9.24,7.97,2.77,1.96,0.7,0.41,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,25.33,15.69,12.46,11.99,9.2,8.81,5.11,4.71,2.77,2.34,1.48,-0.07,99.99000000000001
