,AMGN,GILD,MRNA,ILMN,REGN,BIIB,VRTX,IQV,ALXN,BNTX,MTD,SGEN,WAT,ALNY,GMAB,CRL,INCY,TECH,BGNE,NVCR,NVAX,BMRN,TXG,ARGX,GH,ZLAB,RGEN,NTRA,CRSP,NBIX,NTLA,UTHR,MRTX,BRKR,FATE,BBIO,XLRN,NVTA,XTSLA,DNLI,HALO,PACB,ARWR,RARE,BHVN,EXEL,SRPT,TWST,ADPT,IONS,MEDP,BEAM,BPMC,ASND,CDNA,APLS,ARNA,ALKS,IMAB,ACAD,KOD,RETA,LEGN,IOVA,AGIO,TPTX,GLPG,GRFS,EDIT,NKTR,SWTX,INSM,ITCI,EBS,PTCT,ARVN,ALLK,BCRX,NSTG,SAGE,RCKT,VCYT,VIR,KRTX,DRNA,AMRS,MYGN,PRTA,FOLD,ALEC,BLI,RVNC,FGEN,BLUE,LGND,GBT,XNCR,IRWD,AXSM,RLAY,MOR,TBIO,QTRX,FLGT,PTGX,RVMD,ALLO,INO,ZNTL,MGNX,LMNX,OPK,ZYME,CSTL,SUPN,SGMO,CYTK,RGNX,DCPH,CDXS,MCRB,IGMS,ATRA,RCUS,CNST,MNKD,KURA,IMGN,ALXO,GBIO,YMAB,VNDA,KRYS,AMTI,MDGL,QURE,CERS,IBRX,OMER,TVTX,CHRS,ADCT,VIVO,REPL,RUBY,FMTX,AFMD,RPTX,CCXI,RIGL,CRTX,SRRK,ENTA,RDUS,MRSN,RYTM,ARQT,PSNL,ISEE,CRNX,ARDX,STOK,KDMN,CGEN,STRO,PLRX,MRNS,KPTI,ANAB,EPZM,RNA,VSTM,ITOS,TBPH,MESO,ARCT,MYOV,NRIX,XENE,GTHX,SNDX,DTIL,CLLS,TCRR,ZIOP,AKRO,NKTX,EGRX,ICPT,ORIC,AKBA,MGTX,NGM,RLMD,KROS,ESPR,IDYA,SPPI,CARA,CLVS,RAPT,PGEN,ANNX,USD,GERN,ANSGR.IS,KALV,CTMX,ADAP,IMVT,PRVB,KDNY,GOSS,KNSA,APLT,SPRO,PASG,FLDM,CVM,ALT,FULC,PSTX,SELB,KZR,ABUS,FIXX,n/a,URGN,FLXN,SIGA,SYNH,MRVI,ABCM,ROIV,ABCL,AUPH,CVAC,KYMR,RXRX,OLK,NUVB,CTKB,AVXL,SANA,CCCC,VERV,MORF,INBX,ERAS,MRUS,BCYC,TIL,ATAI,NUVL,MXCT.L,STVN,SEER,RXDX,CRBU,TNYA,PCVX,ACRS,PMVP,GRTS,CMPS,OMGA,ICVX,BNR,BCAB,ABSI,GLUE,BLU.TO,AVIR,CGEM,PRAX,FDMT,SUM
07/09/2021,7.69,6.34,5.9,5.11,4.35,3.83,3.82,3.52,3.01,2.79,2.41,2.03,1.63,1.5,1.49,1.38,1.34,1.29,1.28,1.22,1.17,1.13,1.08,0.86,0.83,0.81,0.77,0.7,0.69,0.67,0.66,0.6,0.59,0.59,0.57,0.5,0.5,0.48,0.48,0.48,0.48,0.46,0.45,0.43,0.42,0.42,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.34,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.92
07/12/2021,7.76,6.31,5.92,5.12,4.32,4.13,3.8,3.51,3.01,2.73,2.42,1.99,1.67,1.49,1.53,1.4,1.32,1.32,1.28,1.26,1.04,1.12,1.06,0.87,0.81,0.82,0.78,0.7,0.68,0.69,0.68,0.6,0.59,0.6,0.57,0.5,0.47,0.46,0.12,0.46,0.47,0.44,0.47,0.44,0.49,0.41,0.41,0.4,0.39,0.39,0.39,0.33,0.37,0.35,0.33,0.3,0.3,0.3,0.3,0.28,0.3,0.3,0.28,0.27,0.26,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.21,0.23,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58
07/13/2021,7.76,6.31,5.92,5.12,4.32,4.13,3.8,3.51,3.01,2.73,2.42,1.99,1.67,1.49,1.53,1.4,1.32,1.32,1.28,1.26,1.04,1.12,1.06,0.87,0.81,0.82,0.78,0.7,0.68,0.69,0.68,0.6,0.59,0.6,0.57,0.5,0.47,0.46,0.12,0.46,0.47,0.44,0.47,0.44,0.49,0.41,0.41,0.4,0.39,0.39,0.39,0.33,0.37,0.35,0.33,0.3,0.3,0.3,0.3,0.28,0.3,0.3,0.28,0.27,0.26,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.21,0.23,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58
07/14/2021,7.71,6.3,5.87,5.11,4.32,3.97,3.77,3.51,2.99,2.83,2.42,1.97,1.67,1.51,1.53,1.4,1.32,1.32,1.3,1.27,1.02,1.12,1.06,0.86,0.83,0.83,0.77,0.72,0.67,0.68,0.68,0.61,0.6,0.6,0.59,0.49,0.47,0.46,0.12,0.44,0.47,0.45,0.48,0.43,0.49,0.41,0.41,0.4,0.4,0.38,0.39,0.34,0.37,0.35,0.33,0.31,0.3,0.3,0.32,0.28,0.3,0.31,0.28,0.28,0.26,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58
07/15/2021,7.71,6.3,5.87,5.11,4.32,3.97,3.77,3.51,2.99,2.83,2.42,1.97,1.67,1.51,1.53,1.4,1.32,1.32,1.3,1.27,1.02,1.12,1.06,0.86,0.83,0.83,0.77,0.72,0.67,0.68,0.68,0.61,0.6,0.6,0.59,0.49,0.47,0.46,0.12,0.44,0.47,0.45,0.48,0.43,0.49,0.41,0.41,0.4,0.4,0.38,0.39,0.34,0.37,0.35,0.33,0.31,0.3,0.3,0.32,0.28,0.3,0.31,0.28,0.28,0.26,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.12,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.11,0.09,0.1,0.1,0.1,0.1,0.11,0.1,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58
07/16/2021,7.83,6.38,6.02,5.27,4.37,3.96,3.84,3.55,3.07,2.75,2.47,1.94,1.69,1.53,1.56,1.42,1.32,1.3,1.32,1.25,1.01,1.11,1.03,0.86,0.82,0.85,0.77,0.7,0.64,0.68,0.64,0.6,0.62,0.61,0.54,0.49,0.46,0.44,0.12,0.42,0.47,0.42,0.46,0.41,0.52,0.41,0.39,0.38,0.38,0.37,0.4,0.31,0.36,0.35,0.32,0.3,0.3,0.29,0.31,0.29,0.3,0.29,0.29,0.26,0.26,0.25,0.24,0.23,0.22,0.23,0.22,0.23,0.21,0.21,0.22,0.22,0.2,0.21,0.2,0.2,0.21,0.19,0.17,0.19,0.19,0.17,0.18,0.17,0.18,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.12,0.11,0.11,0.11,0.11,0.09,0.09,0.1,0.1,0.1,0.11,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58
07/19/2021,7.98,6.49,6.73,5.1,4.51,3.74,3.92,3.54,3.01,2.96,2.49,1.96,1.73,1.52,1.57,1.43,1.32,1.31,1.35,1.23,1.0,1.09,0.98,0.85,0.78,0.86,0.76,0.69,0.6,0.66,0.63,0.61,0.59,0.61,0.51,0.47,0.47,0.42,0.12,0.41,0.46,0.39,0.46,0.41,0.52,0.4,0.39,0.37,0.37,0.36,0.4,0.3,0.36,0.35,0.3,0.3,0.29,0.28,0.3,0.28,0.28,0.29,0.28,0.24,0.26,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.2,0.19,0.17,0.18,0.19,0.16,0.18,0.17,0.18,0.14,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.13,0.13,0.12,0.14,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.11,0.0,0.11,0.12,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.08,0.09,0.0,0.08,0.09,0.09,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.75
07/20/2021,7.98,6.49,6.73,5.1,4.51,3.74,3.92,3.54,3.01,2.96,2.49,1.96,1.73,1.52,1.57,1.43,1.32,1.31,1.35,1.23,1.0,1.09,0.98,0.85,0.78,0.86,0.76,0.69,0.6,0.66,0.63,0.61,0.59,0.61,0.51,0.47,0.47,0.42,0.12,0.41,0.46,0.39,0.46,0.41,0.52,0.4,0.39,0.37,0.37,0.36,0.4,0.3,0.36,0.35,0.3,0.3,0.29,0.28,0.3,0.28,0.28,0.29,0.28,0.24,0.26,0.23,0.21,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.2,0.19,0.17,0.18,0.19,0.16,0.18,0.17,0.18,0.14,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.13,0.13,0.12,0.14,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.11,0.0,0.11,0.12,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.08,0.09,0.0,0.08,0.09,0.09,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.75
07/21/2021,7.93,6.45,7.34,5.08,4.42,3.66,3.92,3.52,2.97,3.07,2.49,1.97,1.7,1.55,1.56,1.43,1.28,1.32,1.31,1.21,1.03,1.07,0.97,0.86,0.8,0.78,0.76,0.68,0.59,0.66,0.61,0.61,0.6,0.6,0.52,0.46,0.47,0.42,0.1,0.4,0.44,0.38,0.46,0.4,0.54,0.39,0.38,0.36,0.38,0.37,0.4,0.3,0.36,0.34,0.3,0.29,0.29,0.28,0.31,0.28,0.28,0.28,0.29,0.24,0.26,0.23,0.22,0.22,0.21,0.22,0.21,0.22,0.2,0.23,0.22,0.21,0.21,0.21,0.19,0.18,0.2,0.19,0.17,0.18,0.19,0.15,0.17,0.17,0.18,0.14,0.15,0.14,0.09,0.13,0.13,0.15,0.14,0.15,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.13,0.12,0.13,0.13,0.11,0.0,0.11,0.12,0.11,0.1,0.09,0.1,0.1,0.1,0.09,0.11,0.09,0.08,0.09,0.0,0.08,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.06,0.05,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.75
07/22/2021,7.85,6.37,7.99,5.09,4.41,3.63,3.84,3.42,2.95,3.2,2.46,1.93,1.66,1.52,1.55,1.39,1.26,1.3,1.28,1.21,1.15,1.06,0.98,0.87,0.79,0.76,0.76,0.64,0.59,0.65,0.62,0.6,0.6,0.59,0.53,0.45,0.47,0.42,0.19,0.4,0.43,0.38,0.47,0.4,0.52,0.37,0.37,0.37,0.38,0.36,0.38,0.31,0.36,0.34,0.3,0.3,0.28,0.28,0.31,0.28,0.27,0.27,0.31,0.24,0.26,0.23,0.21,0.22,0.22,0.22,0.21,0.21,0.19,0.23,0.21,0.21,0.2,0.2,0.19,0.18,0.2,0.18,0.18,0.18,0.19,0.17,0.17,0.16,0.18,0.13,0.15,0.14,0.09,0.13,0.14,0.14,0.14,0.15,0.12,0.13,0.12,0.14,0.12,0.12,0.13,0.12,0.12,0.14,0.13,0.11,0.0,0.11,0.12,0.1,0.1,0.09,0.13,0.1,0.1,0.09,0.1,0.09,0.08,0.09,0.0,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.07,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.04,0.05,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.77
