,NVDA,SHOP,Bny Mellon Cash Reserve Usd,LLY,NKE,FTNT,INTU,TGT,AMD,FB,UPS,IDXX,BX,XLNX,YNDX,ADBE,ANET,ILMN,TROW,EXPD,EPAM,APTV,Cheniere Energy Partners LP,WST,VEEV,SNPS,BLK,SCHW,GOOGL,MXIM,NDAQ,KKR,ALXN,ZBRA,PYPL,PAYX,A,CPRT,CTAS,ORLY,EFX,ISRG,LULU,VIAC,DHR,MSFT,MTD,QCOM,TMO,AAPL,CMG,GRMN,PLD,AMZN,CBRE,KEYS,DXCM,ACN,LH,AMAT,ABBV,SWKS,BIO,APH,TXN,ADP,ADSK,AMP,UNH,UHS,TYL,ODFL,SSNC,LRCX,AFL,GD,ANTM,FAST,DG,HUM,ALGN,DOX,AME,LIN,LEN,ATVI,NOW,HD,SWK,MLM,TFC,TSCO,DGX,TTWO,WLTW,ICE,STE,CDNS,PAYC,SQ,BBY,FOXA,FNF,CDW,MET,JBHT,WAB,DHI,LOW,ANSS,KLAC,ABT,CHD,CHRW,TSLA,CI,CAG,HIG,MNST,CMI,ABMD,MKTX,HOLX,CSGP,FFIV,CTSH,Cash,4338.SR,CQP,MRNA,NUE,TTD,ARES,EW,COO,ROK,COST,BURL,KMX,ZM,RF,CINF,LBRDK,ACGL,MMC,VMC,IR,ALL,ULTA,TRV,ZTS,HSY,PFG,BRK.B,IEX,WY,ROST,PSA,IBKR,PTON,MCO,ROKU,SIVB,FDX,Z,EBAY,ETSY,YUMC,n/a,ADI,4340.SR,BEN,TJX,EL,AVGO,SPGI,CSCO,PFE,CB,CE,APO,TSN,RMD,ADM,PXD,SUI,LBTYK,LYB,BRO,PINS,SUM
07/09/2021,1.04,1.0,0.99,0.94,0.93,0.93,0.92,0.9,0.9,0.9,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.68,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,1.01,1.01,0.0,0.96,0.94,0.95,0.94,0.91,0.86,0.88,0.9,0.91,0.9,0.82,0.89,0.9,0.9,0.88,0.86,0.87,0.87,0.82,0.0,0.88,0.87,0.85,0.83,0.79,0.84,0.8,0.82,0.82,0.83,0.84,0.85,0.85,0.84,0.84,0.84,0.83,0.84,0.84,0.83,0.77,0.83,0.82,0.83,0.79,0.81,0.82,0.81,0.8,0.81,0.85,0.78,0.8,0.82,0.81,0.79,0.76,0.8,0.77,0.79,0.77,0.77,0.78,0.77,0.75,0.78,0.78,0.79,0.77,0.77,0.75,0.75,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.77,0.75,0.75,0.76,0.72,0.75,0.76,0.72,0.73,0.75,0.75,0.74,0.74,0.73,0.69,0.71,0.71,0.74,0.69,0.72,0.72,0.71,0.72,0.73,0.71,0.73,0.73,0.7,0.69,0.69,0.72,0.68,0.7,0.69,0.72,0.69,0.71,0.7,0.68,0.65,0.0,1.02,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/13/2021,1.01,1.01,0.0,0.96,0.94,0.95,0.94,0.91,0.86,0.88,0.9,0.91,0.9,0.82,0.89,0.9,0.9,0.88,0.86,0.87,0.87,0.82,0.0,0.88,0.87,0.85,0.83,0.79,0.84,0.8,0.82,0.82,0.83,0.84,0.85,0.85,0.84,0.84,0.84,0.83,0.84,0.84,0.83,0.77,0.83,0.82,0.83,0.79,0.81,0.82,0.81,0.8,0.81,0.85,0.78,0.8,0.82,0.81,0.79,0.76,0.8,0.77,0.79,0.77,0.77,0.78,0.77,0.75,0.78,0.78,0.79,0.77,0.77,0.75,0.75,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.77,0.75,0.75,0.76,0.72,0.75,0.76,0.72,0.73,0.75,0.75,0.74,0.74,0.73,0.69,0.71,0.71,0.74,0.69,0.72,0.72,0.71,0.72,0.73,0.71,0.73,0.73,0.7,0.69,0.69,0.72,0.68,0.7,0.69,0.72,0.69,0.71,0.7,0.68,0.65,0.0,1.02,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/14/2021,1.01,1.02,0.0,0.94,0.93,0.95,0.93,0.9,0.86,0.88,0.9,0.91,0.9,0.82,0.87,0.89,0.9,0.87,0.88,0.87,0.88,0.84,0.0,0.87,0.86,0.85,0.85,0.81,0.84,0.8,0.82,0.82,0.82,0.84,0.86,0.85,0.83,0.84,0.83,0.84,0.84,0.83,0.83,0.79,0.82,0.81,0.83,0.8,0.8,0.82,0.81,0.8,0.82,0.84,0.79,0.8,0.8,0.81,0.79,0.77,0.79,0.77,0.79,0.78,0.77,0.78,0.77,0.77,0.78,0.79,0.79,0.78,0.77,0.75,0.75,0.77,0.76,0.78,0.77,0.77,0.76,0.77,0.76,0.76,0.73,0.74,0.77,0.75,0.75,0.77,0.74,0.74,0.76,0.71,0.73,0.74,0.74,0.74,0.74,0.74,0.7,0.71,0.74,0.74,0.71,0.73,0.74,0.71,0.73,0.73,0.71,0.72,0.73,0.7,0.68,0.7,0.71,0.69,0.69,0.7,0.71,0.68,0.69,0.71,0.68,0.65,0.0,1.01,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/15/2021,1.03,1.02,0.0,0.94,0.93,0.95,0.93,0.91,0.86,0.89,0.9,0.9,0.92,0.82,0.87,0.88,0.88,0.88,0.9,0.87,0.89,0.85,0.0,0.87,0.86,0.84,0.86,0.82,0.85,0.81,0.84,0.84,0.83,0.84,0.86,0.85,0.83,0.84,0.84,0.83,0.83,0.83,0.81,0.79,0.82,0.8,0.82,0.8,0.79,0.82,0.81,0.8,0.83,0.83,0.78,0.81,0.81,0.8,0.79,0.77,0.8,0.78,0.78,0.78,0.77,0.78,0.76,0.77,0.78,0.79,0.79,0.77,0.76,0.76,0.76,0.76,0.78,0.78,0.76,0.77,0.78,0.76,0.76,0.75,0.73,0.74,0.76,0.75,0.75,0.76,0.74,0.74,0.76,0.72,0.72,0.74,0.74,0.73,0.72,0.74,0.7,0.72,0.75,0.73,0.72,0.73,0.74,0.7,0.72,0.72,0.72,0.72,0.72,0.7,0.71,0.69,0.7,0.71,0.7,0.69,0.7,0.68,0.69,0.7,0.66,0.65,0.0,1.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,1.03,1.02,0.0,0.94,0.93,0.95,0.93,0.91,0.86,0.89,0.9,0.9,0.92,0.82,0.87,0.88,0.88,0.88,0.9,0.87,0.89,0.85,0.0,0.87,0.86,0.84,0.86,0.82,0.85,0.81,0.84,0.84,0.83,0.84,0.86,0.85,0.83,0.84,0.84,0.83,0.83,0.83,0.81,0.79,0.82,0.8,0.82,0.8,0.79,0.82,0.81,0.8,0.83,0.83,0.78,0.81,0.81,0.8,0.79,0.77,0.8,0.78,0.78,0.78,0.77,0.78,0.76,0.77,0.78,0.79,0.79,0.77,0.76,0.76,0.76,0.76,0.78,0.78,0.76,0.77,0.78,0.76,0.76,0.75,0.73,0.74,0.76,0.75,0.75,0.76,0.74,0.74,0.76,0.72,0.72,0.74,0.74,0.73,0.72,0.74,0.7,0.72,0.75,0.73,0.72,0.73,0.74,0.7,0.72,0.72,0.72,0.72,0.72,0.7,0.71,0.69,0.7,0.71,0.7,0.69,0.7,0.68,0.69,0.7,0.66,0.65,0.0,1.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/19/2021,0.96,0.99,0.0,0.93,0.94,0.96,0.93,0.93,0.83,0.87,0.9,0.91,0.93,0.79,0.86,0.9,0.89,0.85,0.88,0.87,0.9,0.83,0.0,0.87,0.84,0.84,0.83,0.82,0.85,0.8,0.84,0.82,0.81,0.81,0.85,0.86,0.83,0.85,0.8,0.85,0.85,0.84,0.84,0.76,0.84,0.82,0.83,0.8,0.8,0.85,0.81,0.81,0.83,0.82,0.77,0.81,0.81,0.82,0.79,0.76,0.8,0.78,0.78,0.77,0.76,0.8,0.77,0.77,0.8,0.79,0.79,0.78,0.78,0.75,0.76,0.77,0.79,0.78,0.78,0.79,0.76,0.76,0.77,0.76,0.72,0.73,0.77,0.76,0.75,0.77,0.75,0.76,0.76,0.71,0.72,0.74,0.73,0.74,0.71,0.72,0.71,0.71,0.74,0.73,0.71,0.74,0.74,0.69,0.73,0.73,0.7,0.71,0.73,0.71,0.68,0.7,0.68,0.71,0.72,0.69,0.68,0.68,0.69,0.72,0.67,0.66,0.0,1.02,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94000000000004
07/20/2021,0.92,0.99,0.0,0.94,0.94,0.97,0.93,0.92,0.82,0.87,0.9,0.92,0.93,0.79,0.86,0.9,0.88,0.86,0.88,0.87,0.89,0.81,0.0,0.88,0.85,0.84,0.83,0.8,0.86,0.79,0.85,0.82,0.81,0.8,0.85,0.86,0.84,0.86,0.84,0.86,0.87,0.84,0.83,0.75,0.85,0.83,0.84,0.79,0.81,0.84,0.8,0.81,0.84,0.81,0.77,0.8,0.83,0.81,0.79,0.74,0.81,0.78,0.8,0.76,0.76,0.8,0.77,0.77,0.8,0.78,0.79,0.77,0.78,0.72,0.76,0.78,0.78,0.78,0.78,0.8,0.76,0.77,0.77,0.76,0.72,0.74,0.77,0.76,0.74,0.76,0.74,0.76,0.76,0.72,0.72,0.74,0.74,0.74,0.72,0.73,0.71,0.7,0.74,0.73,0.7,0.74,0.74,0.69,0.74,0.72,0.68,0.72,0.74,0.71,0.68,0.7,0.69,0.72,0.72,0.69,0.7,0.69,0.7,0.72,0.67,0.65,0.0,1.02,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/21/2021,0.92,0.99,0.0,0.94,0.94,0.97,0.93,0.92,0.82,0.87,0.9,0.92,0.93,0.79,0.86,0.9,0.88,0.86,0.88,0.87,0.89,0.81,0.0,0.88,0.85,0.84,0.83,0.8,0.86,0.79,0.85,0.82,0.81,0.8,0.85,0.86,0.84,0.86,0.84,0.86,0.87,0.84,0.83,0.75,0.85,0.83,0.84,0.79,0.81,0.84,0.8,0.81,0.84,0.81,0.77,0.8,0.83,0.81,0.79,0.74,0.81,0.78,0.8,0.76,0.76,0.8,0.77,0.77,0.8,0.78,0.79,0.77,0.78,0.72,0.76,0.78,0.78,0.78,0.78,0.8,0.76,0.77,0.77,0.76,0.72,0.74,0.77,0.76,0.74,0.76,0.74,0.76,0.76,0.72,0.72,0.74,0.74,0.74,0.72,0.73,0.71,0.7,0.74,0.73,0.7,0.74,0.74,0.69,0.74,0.72,0.68,0.72,0.74,0.71,0.68,0.7,0.69,0.72,0.72,0.69,0.7,0.69,0.7,0.72,0.67,0.65,0.0,1.02,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/22/2021,0.92,0.99,0.0,0.94,0.94,0.97,0.93,0.92,0.82,0.87,0.9,0.92,0.93,0.79,0.86,0.9,0.88,0.86,0.88,0.87,0.89,0.81,0.0,0.88,0.85,0.84,0.83,0.8,0.86,0.79,0.85,0.82,0.81,0.8,0.85,0.86,0.84,0.86,0.84,0.86,0.87,0.84,0.83,0.75,0.85,0.83,0.84,0.79,0.81,0.84,0.8,0.81,0.84,0.81,0.77,0.8,0.83,0.81,0.79,0.74,0.81,0.78,0.8,0.76,0.76,0.8,0.77,0.77,0.8,0.78,0.79,0.77,0.78,0.72,0.76,0.78,0.78,0.78,0.78,0.8,0.76,0.77,0.77,0.76,0.72,0.74,0.77,0.76,0.74,0.76,0.74,0.76,0.76,0.72,0.72,0.74,0.74,0.74,0.72,0.73,0.71,0.7,0.74,0.73,0.7,0.74,0.74,0.69,0.74,0.72,0.68,0.72,0.74,0.71,0.68,0.7,0.69,0.72,0.72,0.69,0.7,0.69,0.7,0.72,0.67,0.65,0.0,1.02,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
