,354.HK,3800.HK,336.HK,1368.HK,1302.HK,JKS,460.HK,2400.HK,189.HK,HKD,819.HK,9966.HK,1316.HK,3913.HK,LX,1448.HK,410.HK,2186.HK,1458.HK,81.HK,2616.HK,FINV,NIU,512.HK,2386.HK,1515.HK,405.HK,EH,1610.HK,2666.HK,1789.HK,327.HK,535.HK,6855.HK,1083.HK,1478.HK,1873.HK,9996.HK,3899.HK,357.HK,1908.HK,1798.HK,900948.SS,1966.HK,CAN,1117.HK,ICLK,1385.HK,FANH,3377.HK,363.HK,1896.HK,777.HK,855.HK,9909.HK,6878.HK,3339.HK,3983.HK,1052.HK,272.HK,1811.HK,639.HK,1860.HK,1765.HK,6826.HK,2001.HK,SOHU,2768.HK,SOS,2038.HK,2048.HK,697.HK,1666.HK,119.HK,1628.HK,1477.HK,3818.HK,1070.HK,2362.HK,9997.HK,9928.HK,861.HK,3813.HK,302.HK,1357.HK,1911.HK,1668.HK,6055.HK,546.HK,9993.HK,1361.HK,1773.HK,200771.SZ,520.HK,863.HK,1829.HK,900936.SZ,826.HK,751.HK,1797.HK,1176.HK,QD,934.HK,6100.HK,3613.HK,182.HK,1333.HK,EBON,6069.HK,1317.HK,308.HK,3836.HK,2552.HK,297.HK,743.HK,120.HK,1108.HK,2858.HK,2019.HK,3316.HK,581.HK,468.HK,9911.HK,2877.HK,1931.HK,3301.HK,SOL,1996.HK,1119.HK,579.HK,564.HK,GTH,59.HK,2233.HK,506.HK,1622.HK,2868.HK,BEST,6998.HK,451.HK,1234.HK,6989.HK,818.HK,1600.HK,2198.HK,1282.HK,305.HK,1381.HK,1098.HK,9979.HK,6968.HK,9983.HK,995.HK,3700.HK,1675.HK,1061.HK,382.HK,811.HK,1981.HK,3306.HK,3798.HK,2006.HK,9982.HK,906.HK,1890.HK,1589.HK,1681.HK,ZEPP,1866.HK,1558.HK,1257.HK,658.HK,2156.HK,3718.HK,95.HK,38.HK,6999.HK,686.HK,1566.HK,BTBT,CYD,1899.HK,6988.HK,6978.HK,1503.HK,2126.HK,337.HK,1763.HK,YI,2168.HK,BYSI,3877.HK,832.HK,SY,1905.HK,900908.SZ,1858.HK,698.HK,9968.HK,6068.HK,1839.HK,1817.HK,1848.HK,2163.HK,6111.HK,XTSLA,2100.HK,688006.SS,TIAN.SI,603613.SS,596.HK,900920.SZ,517.HK,6900.HK,BTCM,2231.HK,1133.HK,951.HK,1862.HK,1330.HK,1122.HK,DOYU,2117.HK,107.HK,1970.HK,U9E.SI,2798.HK,811,995,900908,1902.HK,200016.SZ,900917.SZ,T14,n/a,1569.HK,563.HK,SUM
07/09/2021,3.85,2.54,2.06,1.96,1.9,1.62,1.2,1.14,1.1,1.02,1.02,1.01,0.99,0.92,0.92,0.92,0.91,0.9,0.84,0.82,0.81,0.77,0.77,0.75,0.74,0.74,0.71,0.71,0.7,0.69,0.69,0.68,0.68,0.68,0.63,0.63,0.63,0.61,0.59,0.59,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.45,0.44,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.08
07/12/2021,3.83,2.88,1.96,2.13,1.92,1.78,1.12,1.11,1.23,1.02,1.08,0.98,0.97,0.92,0.79,0.92,0.95,0.86,0.78,0.84,0.76,0.72,0.77,0.76,0.72,0.72,0.71,0.62,0.68,0.69,0.66,0.71,0.68,0.66,0.61,0.63,0.69,0.61,0.62,0.56,0.6,0.56,0.58,0.56,0.49,0.5,0.42,0.59,0.54,0.53,0.53,0.52,0.51,0.52,0.49,0.5,0.5,0.53,0.49,0.48,0.41,0.46,0.47,0.46,0.51,0.46,0.47,0.48,0.43,0.42,0.41,0.43,0.44,0.43,0.44,0.42,0.41,0.4,0.4,0.37,0.38,0.39,0.41,0.4,0.38,0.35,0.39,0.39,0.41,0.36,0.37,0.36,0.37,0.37,0.33,0.35,0.33,0.34,0.35,0.32,0.32,0.3,0.32,0.33,0.31,0.31,0.31,0.29,0.32,0.3,0.3,0.3,0.29,0.3,0.28,0.27,0.31,0.28,0.28,0.29,0.27,0.27,0.28,0.25,0.27,0.27,0.26,0.27,0.31,0.26,0.25,0.27,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.25,0.26,0.24,0.26,0.25,0.24,0.27,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.24,0.21,0.23,0.23,0.24,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.22,0.2,0.19,0.18,0.18,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.09
07/13/2021,3.83,2.88,1.96,2.13,1.92,1.78,1.12,1.11,1.23,1.02,1.08,0.98,0.97,0.92,0.79,0.92,0.95,0.86,0.78,0.84,0.76,0.72,0.77,0.76,0.72,0.72,0.71,0.62,0.68,0.69,0.66,0.71,0.68,0.66,0.61,0.63,0.69,0.61,0.62,0.56,0.6,0.56,0.58,0.56,0.49,0.5,0.42,0.59,0.54,0.53,0.53,0.52,0.51,0.52,0.49,0.5,0.5,0.53,0.49,0.48,0.41,0.46,0.47,0.46,0.51,0.46,0.47,0.48,0.43,0.42,0.41,0.43,0.44,0.43,0.44,0.42,0.41,0.4,0.4,0.37,0.38,0.39,0.41,0.4,0.38,0.35,0.39,0.39,0.41,0.36,0.37,0.36,0.37,0.37,0.33,0.35,0.33,0.34,0.35,0.32,0.32,0.3,0.32,0.33,0.31,0.31,0.31,0.29,0.32,0.3,0.3,0.3,0.29,0.3,0.28,0.27,0.31,0.28,0.28,0.29,0.27,0.27,0.28,0.25,0.27,0.27,0.26,0.27,0.31,0.26,0.25,0.27,0.26,0.26,0.26,0.25,0.26,0.24,0.25,0.25,0.26,0.24,0.26,0.25,0.24,0.27,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.24,0.21,0.23,0.23,0.24,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.22,0.2,0.19,0.18,0.18,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.0,0.0,0.18,0.0,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.09
07/14/2021,3.75,2.83,2.01,2.16,1.96,1.71,1.18,1.15,1.24,1.04,1.07,1.01,0.99,0.92,0.79,0.93,0.96,0.85,0.79,0.84,0.76,0.71,0.85,0.75,0.71,0.73,0.7,0.62,0.67,0.7,0.7,0.72,0.67,0.66,0.6,0.64,0.65,0.61,0.6,0.55,0.59,0.54,0.58,0.55,0.5,0.51,0.43,0.61,0.55,0.53,0.52,0.51,0.51,0.53,0.48,0.51,0.5,0.52,0.49,0.48,0.41,0.43,0.44,0.47,0.46,0.47,0.45,0.46,0.43,0.43,0.4,0.42,0.43,0.43,0.43,0.41,0.4,0.4,0.4,0.37,0.38,0.38,0.41,0.4,0.38,0.36,0.38,0.38,0.41,0.37,0.37,0.35,0.39,0.39,0.32,0.34,0.34,0.34,0.35,0.31,0.31,0.3,0.32,0.32,0.3,0.31,0.31,0.29,0.31,0.3,0.3,0.31,0.29,0.3,0.28,0.27,0.31,0.32,0.28,0.28,0.28,0.28,0.3,0.25,0.27,0.27,0.26,0.27,0.33,0.26,0.25,0.28,0.26,0.26,0.26,0.27,0.26,0.22,0.25,0.25,0.25,0.24,0.28,0.25,0.23,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.24,0.21,0.23,0.24,0.24,0.19,0.22,0.23,0.22,0.22,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.0,0.17,0.2,0.0,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.0,0.17,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.13
07/15/2021,3.75,2.83,2.01,2.16,1.96,1.71,1.18,1.15,1.24,1.04,1.07,1.01,0.99,0.92,0.79,0.93,0.96,0.85,0.79,0.84,0.76,0.71,0.85,0.75,0.71,0.73,0.7,0.62,0.67,0.7,0.7,0.72,0.67,0.66,0.6,0.64,0.65,0.61,0.6,0.55,0.59,0.54,0.58,0.55,0.5,0.51,0.43,0.61,0.55,0.53,0.52,0.51,0.51,0.53,0.48,0.51,0.5,0.52,0.49,0.48,0.41,0.43,0.44,0.47,0.46,0.47,0.45,0.46,0.43,0.43,0.4,0.42,0.43,0.43,0.43,0.41,0.4,0.4,0.4,0.37,0.38,0.38,0.41,0.4,0.38,0.36,0.38,0.38,0.41,0.37,0.37,0.35,0.39,0.39,0.32,0.34,0.34,0.34,0.35,0.31,0.31,0.3,0.32,0.32,0.3,0.31,0.31,0.29,0.31,0.3,0.3,0.31,0.29,0.3,0.28,0.27,0.31,0.32,0.28,0.28,0.28,0.28,0.3,0.25,0.27,0.27,0.26,0.27,0.33,0.26,0.25,0.28,0.26,0.26,0.26,0.27,0.26,0.22,0.25,0.25,0.25,0.24,0.28,0.25,0.23,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.24,0.21,0.23,0.24,0.24,0.19,0.22,0.23,0.22,0.22,0.21,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.0,0.0,0.17,0.2,0.0,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.0,0.17,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.13
07/16/2021,3.94,2.59,2.03,1.92,1.91,1.83,1.1,1.2,1.23,0.86,1.02,1.06,1.0,0.91,0.8,0.91,0.92,0.83,0.78,0.84,0.83,0.68,0.79,0.78,0.71,0.7,0.7,0.59,0.66,0.67,0.67,0.81,0.65,0.71,0.61,0.71,0.62,0.61,0.62,0.55,0.57,0.55,0.58,0.56,0.46,0.53,0.43,0.75,0.54,0.55,0.51,0.53,0.52,0.51,0.48,0.5,0.49,0.56,0.47,0.49,0.46,0.44,0.45,0.44,0.45,0.45,0.57,0.46,0.39,0.41,0.38,0.43,0.42,0.44,0.44,0.4,0.38,0.41,0.4,0.38,0.38,0.37,0.4,0.41,0.38,0.37,0.39,0.38,0.41,0.36,0.35,0.35,0.39,0.39,0.32,0.34,0.35,0.44,0.36,0.3,0.31,0.3,0.31,0.3,0.29,0.32,0.3,0.26,0.34,0.3,0.3,0.33,0.3,0.34,0.28,0.28,0.38,0.3,0.27,0.3,0.28,0.29,0.29,0.27,0.27,0.27,0.24,0.27,0.36,0.26,0.24,0.28,0.25,0.27,0.26,0.27,0.37,0.23,0.24,0.3,0.23,0.24,0.28,0.26,0.26,0.3,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.24,0.2,0.22,0.25,0.24,0.2,0.22,0.22,0.21,0.21,0.22,0.22,0.2,0.21,0.23,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.0,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.17,0.18,0.19,0.0,0.18,0.18,0.18,0.19,0.2,0.19,0.17,0.17,0.0,0.17,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.28
07/19/2021,3.86,2.5,1.94,1.94,2.13,1.79,1.21,1.15,1.41,0.67,0.98,1.09,0.98,0.9,0.85,0.93,0.91,0.85,0.77,0.88,0.85,0.7,0.71,0.78,0.71,0.7,0.69,0.56,0.65,0.67,0.71,0.79,0.65,0.76,0.6,0.73,0.59,0.59,0.62,0.57,0.58,0.55,0.6,0.57,0.46,0.5,0.39,0.8,0.54,0.55,0.51,0.51,0.52,0.51,0.46,0.49,0.47,0.56,0.47,0.49,0.43,0.43,0.44,0.44,0.48,0.45,0.59,0.47,0.37,0.38,0.37,0.42,0.42,0.44,0.44,0.43,0.39,0.4,0.4,0.43,0.37,0.37,0.39,0.48,0.37,0.36,0.38,0.38,0.4,0.36,0.35,0.35,0.39,0.4,0.32,0.34,0.36,0.44,0.37,0.3,0.31,0.3,0.31,0.32,0.29,0.32,0.3,0.25,0.37,0.29,0.3,0.33,0.31,0.32,0.28,0.29,0.37,0.3,0.27,0.29,0.28,0.29,0.28,0.3,0.26,0.27,0.23,0.26,0.37,0.26,0.22,0.28,0.26,0.27,0.26,0.26,0.37,0.22,0.24,0.3,0.23,0.23,0.27,0.26,0.25,0.32,0.24,0.24,0.25,0.25,0.23,0.24,0.23,0.22,0.22,0.24,0.22,0.24,0.2,0.22,0.23,0.24,0.2,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.21,0.21,0.21,0.2,0.22,0.2,0.19,0.18,0.17,0.0,0.17,0.19,0.18,0.2,0.19,0.2,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.18,0.17,0.19,0.2,0.18,0.17,0.0,0.0,0.18,0.0,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.24
07/20/2021,3.86,2.5,1.94,1.94,2.13,1.79,1.21,1.15,1.41,0.67,0.98,1.09,0.98,0.9,0.85,0.93,0.91,0.85,0.77,0.88,0.85,0.7,0.71,0.78,0.71,0.7,0.69,0.56,0.65,0.67,0.71,0.79,0.65,0.76,0.6,0.73,0.59,0.59,0.62,0.57,0.58,0.55,0.6,0.57,0.46,0.5,0.39,0.8,0.54,0.55,0.51,0.51,0.52,0.51,0.46,0.49,0.47,0.56,0.47,0.49,0.43,0.43,0.44,0.44,0.48,0.45,0.59,0.47,0.37,0.38,0.37,0.42,0.42,0.44,0.44,0.43,0.39,0.4,0.4,0.43,0.37,0.37,0.39,0.48,0.37,0.36,0.38,0.38,0.4,0.36,0.35,0.35,0.39,0.4,0.32,0.34,0.36,0.44,0.37,0.3,0.31,0.3,0.31,0.32,0.29,0.32,0.3,0.25,0.37,0.29,0.3,0.33,0.31,0.32,0.28,0.29,0.37,0.3,0.27,0.29,0.28,0.29,0.28,0.3,0.26,0.27,0.23,0.26,0.37,0.26,0.22,0.28,0.26,0.27,0.26,0.26,0.37,0.22,0.24,0.3,0.23,0.23,0.27,0.26,0.25,0.32,0.24,0.24,0.25,0.25,0.23,0.24,0.23,0.22,0.22,0.24,0.22,0.24,0.2,0.22,0.23,0.24,0.2,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.21,0.21,0.21,0.2,0.22,0.2,0.19,0.18,0.17,0.0,0.17,0.19,0.18,0.2,0.19,0.2,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.18,0.17,0.19,0.2,0.18,0.17,0.0,0.0,0.18,0.0,0.0,0.0,0.22,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.24
07/21/2021,3.84,2.52,1.96,1.96,2.14,1.73,1.17,1.21,1.39,0.0,1.0,1.09,0.97,0.93,0.82,0.92,0.92,0.84,0.79,0.9,0.9,0.68,0.7,0.77,0.71,0.69,0.7,0.53,0.64,0.68,0.68,0.79,0.67,0.7,0.6,0.71,0.6,0.58,0.62,0.56,0.59,0.54,0.6,0.59,0.42,0.49,0.4,0.74,0.55,0.55,0.52,0.52,0.51,0.51,0.47,0.52,0.48,0.54,0.47,0.5,0.4,0.44,0.45,0.45,0.46,0.44,0.57,0.46,0.36,0.38,0.36,0.42,0.42,0.44,0.46,0.43,0.38,0.41,0.4,0.43,0.37,0.38,0.4,0.48,0.36,0.39,0.38,0.38,0.39,0.36,0.34,0.35,0.39,0.39,0.31,0.34,0.36,0.44,0.37,0.29,0.31,0.29,0.31,0.32,0.29,0.32,0.31,0.24,0.39,0.29,0.3,0.33,0.31,0.31,0.28,0.29,0.39,0.3,0.27,0.29,0.29,0.28,0.27,0.31,0.25,0.28,0.22,0.27,0.36,0.26,0.22,0.28,0.26,0.27,0.26,0.26,0.37,0.22,0.23,0.3,0.23,0.24,0.27,0.27,0.25,0.3,0.24,0.24,0.25,0.25,0.23,0.23,0.23,0.22,0.22,0.25,0.22,0.24,0.21,0.28,0.2,0.24,0.2,0.23,0.21,0.22,0.22,0.21,0.2,0.19,0.21,0.21,0.21,0.2,0.22,0.22,0.19,0.19,0.18,0.0,0.17,0.2,0.19,0.21,0.19,0.22,0.19,0.17,0.0,0.18,0.18,0.17,0.17,0.18,0.18,0.2,0.2,0.18,0.17,0.0,0.0,0.18,0.0,0.17,0.0,0.29,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.24
07/22/2021,3.77,2.65,1.92,1.89,2.23,1.64,1.22,1.25,1.52,0.7,1.0,1.07,0.95,0.9,0.82,0.92,0.91,0.84,0.75,0.9,0.9,0.67,0.69,0.78,0.71,0.7,0.7,0.54,0.63,0.69,0.72,0.77,0.67,0.7,0.61,0.62,0.63,0.59,0.62,0.55,0.59,0.54,0.6,0.59,0.42,0.48,0.4,0.76,0.55,0.58,0.54,0.52,0.51,0.51,0.46,0.51,0.47,0.55,0.47,0.49,0.41,0.44,0.46,0.43,0.47,0.42,0.58,0.47,0.36,0.38,0.35,0.42,0.44,0.44,0.46,0.41,0.36,0.4,0.39,0.44,0.36,0.36,0.4,0.5,0.35,0.37,0.39,0.38,0.39,0.35,0.32,0.34,0.39,0.38,0.32,0.34,0.36,0.43,0.36,0.28,0.31,0.29,0.32,0.3,0.31,0.34,0.31,0.24,0.43,0.28,0.3,0.33,0.31,0.3,0.28,0.27,0.4,0.29,0.27,0.29,0.29,0.28,0.27,0.32,0.26,0.27,0.22,0.26,0.38,0.27,0.22,0.27,0.26,0.27,0.26,0.26,0.37,0.21,0.24,0.3,0.23,0.22,0.26,0.26,0.25,0.3,0.23,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.28,0.22,0.24,0.21,0.28,0.0,0.24,0.19,0.23,0.21,0.23,0.24,0.21,0.2,0.19,0.21,0.21,0.21,0.21,0.22,0.22,0.19,0.19,0.18,0.0,0.17,0.19,0.19,0.2,0.19,0.22,0.19,0.17,0.0,0.18,0.19,0.0,0.17,0.17,0.18,0.19,0.21,0.18,0.17,0.0,0.0,0.18,0.17,0.0,0.17,0.3,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.23000000000002
