,ASM.AS,MB.MI,COV.PA,A2A.MI,IG.MI,ASRNL.AS,PROX.BR,ENG.MC,VALMT.HE,B4B.DE,COFB.BR,NELES.HE,EURN.BR,TIAJF,ORNBV.HE,WDP.BR,RUI.PA,TIT.MI,NXI.PA,NK.PA,AZM.MI,HER.MI,MF.PA,ENX.PA,TNET.BR,BB.PA,BESI.AS,POST.VI,CAI.VI,CIE.MC,ANA.MC,ENAV.MI,AED.BR,IRE.MI,COL.MC,ERG.MI,Siltronic Ag Tend Common Stock,GL9.IR,KOJAMO.HE,TYRES.HE,METSB.HE,AOX.DE,AALB.AS,HUH1V.HE,KCR.HE,RHM.DE,SBMO.AS,DIE.BR,TEG.DE,ACE.MI,ELI.BR,VIS.MC,NDA.DE,LXS.DE,CGCBV.HE,DMP.DE,TWEKA.AS,WIE.VI,GTT.PA,POM.PA,ALTR.LS,LOG.MC,TRI.PA,ANIM.MI,IMCD.AS,UPONOR.HE,TIETO.HE,G1A.DE,GCO.MC,PRY.MI,UQA.VI,SON.LS,KEMIRA.HE,BC8.DE,ANDR.VI,DIC.DE,MELE.BR,DUE.DE,HHFA.DE,VCT.PA,YIT.HE,SOW.DE,VIG.VI,PIA.MI,DBG.PA,BAR.BR,PSG.MC,ALM.MC,NEM.DE,EKT.MC,EBRO.MC,VOE.VI,KOF.PA,ECV.DE,RWAY.MI,CASH.MC,FAE.MC,VBK.DE,RENE.LS,REY.MI,ZOT.MC,SZU.DE,GLJ.DE,VLK.AS,HAB,BEKB.BR,IP.MI,HBH.DE,WCH.DE,GXI.DE,OBEL.BR,CRBN.AS,HBRN.IR,SAA1V.HE,BZU.MI,CE2.DE,KRN.DE,DAL.MI,HBM.DE,TOKMAN.HE,IGD.MI,IPS.PA,SBO.VI,FPE.,CEM.MI,T7O.IR,MOCORP.HE,PAT.DE,COK.DE,TTALO.HE,SOL.MI,QDT.PA,ABIO.PA,INH.DE,TKA.VI,INTO.BR,ASC.MI,VERK.HE,CMPUY,FFARM.AS,FKR.MI,ATS.VI,REG1V.HE,ZAGG,REC.BR,EUZ.DE,ELG.DE,COR.LS,MCM.MC,GFT.DE,FM.MI,RAIVV.HE,ZV.MI,WUW.DE,CRI.PA,DOM.MC,CRL.MI,XIOR.BR,LAT1V.HE,SBS.DE,ROVIO.HE,KAMUX.HE,ALTIA.HE,MLP.DE,1U1.DE,OKDBV.HE,DANR.,IR5B.IR,DAN.MI,TNOM.HE,ABCA.PA,ECR.MC,PHM.MC,LD.MI,GBF.DE,JEN.DE,FAGR.BR,FNTN.DE,BG.VI,MAP.MC,LI.PA,LIGHT.AS,PNL.AS,HOT.DE,ICAD.PA,RXL.PA,UNI.MI,ACX.MC,BKT.MC,ETL.PA,COLR.BR,PSM.DE,BFF.MI,VPK.AS,EO.PA,VRLA.PA,SAX.DE,NVG.LS,FIE.DE,TFI.PA,PIRC.MI,EVN.VI,ACKB.BR,SPIE.PA,BAMI.MI,ROTH.PA,BRE.MI,COFA.PA,FR.PA,DLG.MI,VAR1.DE,LDA.MC,ARCAD.AS,G24.DE,BOKA.AS,CE.MI,BEFB.BR,AEDAS.MC,HABA.DE,SCYR.MC,AKTIA.HE,BPE.MI,ANORA.HE,WBD.MI,NEX.PA,UNIR.MI,SPI.VI,MT.MI,SCF.MI,ORDI.AS,BPSO.MI,HOME.MC,PBB.DE,ATE.PA,SOP.PA,ROVI.MC,WAC.DE,SEM.VI,TGYM.MI,AR4.DE,HEIJM.AS,IF.MI,ECONB.BR,PRT.MI,ECMPA.AS,MUX.DE,ARL.DE,FNAC.PA,UNI.MC,KORI.PA,TINC.BR,COP.DE,MOL.MI,WHA.AS,APPS.MC,MARR.MI,BRNL.AS,NOEJ.DE,ARN.MI,GVS.MI,DOV.MI,SUM
07/09/2021,3.22,2.98,2.77,2.33,2.12,2.07,1.98,1.88,1.88,1.85,1.46,1.45,1.45,1.44,1.38,1.38,1.36,1.31,1.28,1.23,1.21,1.15,1.13,1.12,1.1,1.01,0.96,0.95,0.94,0.92,0.91,0.9,0.89,0.89,0.88,0.88,0.86,0.85,0.85,0.85,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.8,0.78,0.77,0.75,0.74,0.72,0.68,0.65,0.65,0.64,0.64,0.63,0.62,0.61,0.61,0.61,0.61,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.51,0.5,0.5,0.5,0.49,0.44,0.43,0.43,0.41,0.41,0.41,0.4,0.4,0.38,0.38,0.37,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
02/07/2022,0.0,0.0,1.63,1.62,1.72,1.43,2.1,2.03,0.96,0.82,1.16,0.16,0.0,0.0,0.76,1.05,0.94,0.92,0.77,0.5,0.99,1.22,0.78,0.0,0.94,0.59,1.01,0.75,0.68,0.34,1.48,0.0,0.6,0.88,0.56,0.47,0.0,0.52,0.48,1.12,0.46,0.55,0.56,0.46,0.33,0.47,0.69,0.38,0.55,0.53,0.68,0.56,0.37,0.37,0.29,0.28,0.21,0.52,0.0,0.32,0.26,1.14,0.53,0.56,0.0,0.25,0.74,1.14,0.17,0.58,0.27,0.52,0.41,0.22,0.75,0.27,0.4,0.1,0.16,0.29,0.13,0.2,0.33,0.25,0.0,0.0,0.24,0.15,0.0,0.0,0.39,0.6,0.19,0.16,0.29,0.0,0.29,0.0,0.48,0.13,0.67,0.18,0.0,0.0,0.0,0.48,0.18,0.19,0.0,0.18,0.0,0.14,0.18,0.15,0.21,0.16,0.0,0.0,0.17,0.31,0.0,0.29,0.0,0.0,0.14,0.0,0.89,0.12,0.13,0.12,0.14,0.0,0.12,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.41,0.0,0.0,1.53,2.01,1.67,1.59,1.4,1.39,1.33,1.25,1.17,0.98,0.93,0.9,0.88,0.83,0.8,0.7,0.64,0.61,0.5,0.5,0.5,0.49,0.46,0.45,0.44,0.44,0.44,0.41,0.4,0.37,0.37,0.36,0.36,0.36,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.27,0.26,0.25,0.25,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,96.59
