,2SPY  220630C00003440,2SPY  220630P00428070,Cash&Other,2SPY  220630C00479430,2SPY  220630P00389530,SUM
07/09/2021,98.26,6.95,0.81,-1.68,-4.35,99.99
07/12/2021,98.73,6.7,0.77,-1.95,-4.26,99.99
07/13/2021,98.73,6.7,0.77,-1.95,-4.26,99.99
07/14/2021,98.73,6.7,0.77,-1.95,-4.26,99.99
07/15/2021,98.63,6.66,0.8,-1.98,-4.11,100.0
07/16/2021,98.74,6.81,0.8,-1.99,-4.36,100.0
07/19/2021,98.62,6.95,0.82,-1.92,-4.47,100.0
07/20/2021,98.32,7.35,0.82,-1.75,-4.74,100.0
07/21/2021,98.32,7.35,0.82,-1.75,-4.74,100.0
07/22/2021,97.82,8.14,0.83,-1.5,-5.28,100.01
07/23/2021,98.09,7.48,0.77,-1.65,-4.69,100.0
07/26/2021,98.63,6.85,0.76,-1.86,-4.4,99.98
07/27/2021,99.16,6.44,0.77,-2.24,-4.13,100.0
07/28/2021,99.16,6.44,0.77,-2.24,-4.13,100.0
07/29/2021,99.33,6.36,0.77,-2.37,-4.09,100.0
07/30/2021,99.03,6.67,0.77,-2.17,-4.3,100.0
08/02/2021,99.17,6.34,0.73,-2.2,-4.05,99.99
08/03/2021,99.07,6.5,0.73,-2.16,-4.15,99.99
08/04/2021,99.07,6.5,0.73,-2.16,-4.15,99.99
08/05/2021,98.94,6.64,0.73,-2.06,-4.25,100.0
08/06/2021,99.2,6.3,0.72,-2.21,-4.02,99.99
08/10/2021,99.34,5.97,0.71,-2.25,-3.78,99.99
08/11/2021,99.34,5.97,0.71,-2.25,-3.78,99.99
