,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,KO,T,PEP,ABBV,TMO,NKE,CVX,MRK,WMT,ACN,AVGO,LLY,WFC,DHR,COST,TXN,MCD,MDT,QCOM,ORCL,PM,LIN,HON,UPS,UNP,BMY,NEE,C,AMGN,LOW,INTU,SBUX,MS,RTX,GS,BA,AMAT,BLK,IBM,TGT,AMT,CAT,AMD,MMM,GE,ISRG,AXP,DE,NOW,SCHW,CVS,CHTR,SPGI,ANTM,LMT,ZTS,PLD,MU,BKNG,FIS,LRCX,MDLZ,MO,SYK,ADP,CCI,GILD,TMUS,TJX,CI,COP,PNC,USB,CME,CSX,DUK,TFC,ATVI,CB,EQIX,GM,MMC,BDX,EL,COF,FDX,ILMN,CL,NSC,SHW,EW,ICE,SO,ADSK,ITW,APD,BSX,ADI,FISV,REGN,MCO,ETN,D,HUM,PGR,EMR,NOC,HCA,F,IDXX,GPN,WM,NXPI,TWTR,AON,DG,BIIB,FCX,ECL,VRTX,NEM,ROP,JCI,EOG,KLAC,IQV,PSA,TROW,DOW,KMB,MSCI,A,EBAY,ROST,TEL,TT,LHX,EXC,ALGN,GD,MET,SLB,CMG,CNC,SNPS,INFO,AEP,APTV,DD,DLR,DXCM,EA,APH,BAX,SPG,ALXN,BK,AIG,ALL,ORLY,PPG,PRU,PH,CARR,STZ,MCHP,CDNS,SRE,SYY,MPC,TRV,STATE STREET INSTITUTIONAL LIQ STATE STR,MSI,DFS,SSIXX,4970.T,WELL,State Street Instl Liquid Reserves Prem,MRNA,RMD,MAR,CTSH,YUM,GEN.,FTNT,n/a,GE.,SBAC,LWB.WA,MTCH,SUM
07/09/2021,5.55,5.21,3.93,2.11,1.89,1.84,1.31,1.28,1.27,1.16,1.1,1.01,0.96,0.86,0.85,0.84,0.82,0.79,0.76,0.71,0.66,0.65,0.6,0.58,0.57,0.57,0.56,0.55,0.53,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.45,0.44,0.44,0.44,0.43,0.43,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.55000000000001
07/12/2021,5.63,5.24,4.01,2.08,1.89,1.84,1.31,1.24,1.26,1.15,1.11,1.0,0.97,0.87,0.86,0.85,0.81,0.79,0.74,0.73,0.67,0.64,0.59,0.58,0.57,0.56,0.57,0.55,0.53,0.53,0.5,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.47,0.44,0.44,0.45,0.43,0.44,0.43,0.39,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.29,0.27,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.09,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.80000000000001
07/13/2021,5.63,5.24,4.01,2.08,1.89,1.84,1.31,1.24,1.26,1.15,1.11,1.0,0.97,0.87,0.86,0.85,0.81,0.79,0.74,0.73,0.67,0.64,0.59,0.58,0.57,0.56,0.57,0.55,0.53,0.53,0.5,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.47,0.44,0.44,0.45,0.43,0.44,0.43,0.39,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.29,0.27,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.09,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.80000000000001
07/14/2021,5.64,5.18,3.95,2.08,1.87,1.83,1.32,1.23,1.25,1.17,1.1,1.0,0.96,0.87,0.86,0.84,0.81,0.8,0.75,0.71,0.66,0.64,0.59,0.58,0.56,0.56,0.56,0.55,0.53,0.52,0.5,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.49,0.48,0.46,0.45,0.44,0.45,0.43,0.44,0.43,0.4,0.41,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.27,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.0,0.1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.57000000000001
07/15/2021,5.59,5.15,3.94,2.09,1.88,1.83,1.31,1.26,1.3,1.19,1.1,0.99,0.97,0.88,0.85,0.83,0.81,0.83,0.76,0.71,0.66,0.64,0.59,0.57,0.55,0.57,0.56,0.55,0.52,0.52,0.5,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.49,0.49,0.46,0.45,0.43,0.44,0.44,0.43,0.43,0.4,0.4,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.56
07/16/2021,5.66,5.25,3.91,2.09,1.9,1.85,1.32,1.24,1.28,1.17,1.1,1.02,0.98,0.88,0.84,0.84,0.83,0.83,0.75,0.72,0.66,0.64,0.59,0.58,0.55,0.57,0.56,0.55,0.52,0.53,0.5,0.53,0.52,0.5,0.5,0.5,0.49,0.48,0.49,0.49,0.46,0.44,0.43,0.45,0.44,0.44,0.43,0.4,0.4,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.34,0.35,0.35,0.32,0.32,0.3,0.31,0.32,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.0,0.0,0.1,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.81
07/19/2021,5.79,5.26,3.87,2.05,1.9,1.86,1.32,1.17,1.25,1.18,1.1,1.04,0.98,0.87,0.86,0.85,0.85,0.83,0.73,0.72,0.66,0.62,0.6,0.58,0.54,0.56,0.56,0.56,0.52,0.54,0.5,0.53,0.52,0.5,0.51,0.49,0.49,0.49,0.5,0.48,0.46,0.46,0.44,0.45,0.43,0.44,0.42,0.4,0.4,0.39,0.38,0.4,0.38,0.37,0.37,0.38,0.36,0.35,0.34,0.34,0.35,0.35,0.32,0.32,0.3,0.3,0.31,0.31,0.31,0.31,0.28,0.26,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.24,0.23,0.24,0.23,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.15,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.93
07/20/2021,5.75,5.29,3.84,2.05,1.91,1.88,1.32,1.13,1.24,1.16,1.1,1.05,0.99,0.87,0.86,0.87,0.85,0.81,0.72,0.72,0.66,0.61,0.59,0.59,0.55,0.56,0.57,0.56,0.52,0.55,0.51,0.54,0.52,0.51,0.5,0.48,0.5,0.49,0.5,0.48,0.46,0.46,0.45,0.45,0.43,0.44,0.42,0.4,0.41,0.39,0.38,0.4,0.38,0.37,0.37,0.38,0.35,0.36,0.35,0.34,0.35,0.34,0.32,0.32,0.29,0.29,0.31,0.31,0.31,0.31,0.28,0.26,0.29,0.27,0.28,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.24,0.23,0.24,0.24,0.21,0.22,0.23,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9
07/21/2021,5.75,5.29,3.84,2.05,1.91,1.88,1.32,1.13,1.24,1.16,1.1,1.05,0.99,0.87,0.86,0.87,0.85,0.81,0.72,0.72,0.66,0.61,0.59,0.59,0.55,0.56,0.57,0.56,0.52,0.55,0.51,0.54,0.52,0.51,0.5,0.48,0.5,0.49,0.5,0.48,0.46,0.46,0.45,0.45,0.43,0.44,0.42,0.4,0.41,0.39,0.38,0.4,0.38,0.37,0.37,0.38,0.35,0.36,0.35,0.34,0.35,0.34,0.32,0.32,0.29,0.29,0.31,0.31,0.31,0.31,0.28,0.26,0.29,0.27,0.28,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.24,0.23,0.24,0.24,0.21,0.22,0.23,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9
07/22/2021,5.75,5.29,3.84,2.05,1.91,1.88,1.32,1.13,1.24,1.16,1.1,1.05,0.99,0.87,0.86,0.87,0.85,0.81,0.72,0.72,0.66,0.61,0.59,0.59,0.55,0.56,0.57,0.56,0.52,0.55,0.51,0.54,0.52,0.51,0.5,0.48,0.5,0.49,0.5,0.48,0.46,0.46,0.45,0.45,0.43,0.44,0.42,0.4,0.41,0.39,0.38,0.4,0.38,0.37,0.37,0.38,0.35,0.36,0.35,0.34,0.35,0.34,0.32,0.32,0.29,0.29,0.31,0.31,0.31,0.31,0.28,0.26,0.29,0.27,0.28,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.24,0.23,0.24,0.24,0.21,0.22,0.23,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.09,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9
