,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust C 3.89,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust P 370.53,US Dollar,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust P 273.02,2022-02-18 SPDRu00ae S&P 500u00ae ETF Trust C 424.55,SUM
07/09/2021,104.11,2.18,0.76,-0.51,-6.53,100.01
07/12/2021,104.75,2.03,0.76,-0.49,-7.04,100.01
07/13/2021,104.75,2.03,0.76,-0.49,-7.04,100.01
07/22/2021,103.06,2.72,0.77,-0.67,-5.88,100.0
08/03/2021,105.39,2.0,0.76,-0.53,-7.62,100.0
08/04/2021,105.39,2.0,0.76,-0.53,-7.62,100.0
