,NTLA,CRSP,NVTA,MRNA,MRK.DE,FATE,GMAB.CO,REGN,SRPT,SGEN,EVT.DE,TWST,SAN.PA,4502.T,BNTX,6160,GILD,BPMC,EXEL,BCRX,SWTX,EDIT,VIR,NSTG,INO,MGNX,LGND,FGEN,BLUE,CNST,ALLO,AGEN,IBRX,PSNL,SGMO,VLA.PA,VXRT,RAPT,CTMX,MTEM,DTIL,SYRS,ALGS,ARCT,TCRR,XTSLA,ADAP,ISEE,ZIOP,JPY,HBCFT,HKD,DKK,ALT,GBP,CHF,IXCU1,EUR,EUR.1,USD,6160.HK,IXCZ1,BISXX,n/a,SUM
07/09/2021,6.14,5.03,4.51,4.42,4.24,4.15,3.94,3.9,3.87,3.75,3.71,3.7,3.64,3.62,3.58,3.54,3.47,3.14,2.81,2.12,2.12,1.87,1.81,1.61,1.46,1.41,1.13,1.09,1.05,1.0,0.88,0.77,0.77,0.72,0.65,0.61,0.59,0.53,0.46,0.39,0.39,0.3,0.26,0.2,0.17,0.16,0.14,0.1,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/12/2021,6.36,4.98,4.27,4.47,4.4,4.2,4.05,3.91,3.91,3.71,3.74,3.71,3.65,3.66,3.54,3.4,3.48,3.17,2.77,2.15,2.1,1.82,1.72,1.61,1.41,1.38,1.14,1.16,1.04,1.01,0.85,0.8,0.76,0.68,0.62,0.6,0.59,0.58,0.46,0.41,0.38,0.3,0.25,0.19,0.04,0.07,0.13,0.11,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.0,0.0,0.0,99.98
07/13/2021,6.36,4.98,4.27,4.47,4.4,4.2,4.05,3.91,3.91,3.71,3.74,3.71,3.65,3.66,3.54,3.4,3.48,3.17,2.77,2.15,2.1,1.82,1.72,1.61,1.41,1.38,1.14,1.16,1.04,1.01,0.85,0.8,0.76,0.68,0.62,0.6,0.59,0.58,0.46,0.41,0.38,0.3,0.25,0.19,0.04,0.07,0.13,0.11,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.0,0.0,0.0,99.98
07/14/2021,6.3,4.91,4.34,4.42,4.37,4.31,4.05,3.9,3.87,3.66,3.68,3.73,3.67,3.59,3.66,3.43,3.47,3.16,2.76,2.14,2.12,1.89,1.71,1.61,1.39,1.39,1.14,1.15,1.03,1.0,0.86,0.81,0.77,0.7,0.62,0.6,0.59,0.57,0.46,0.41,0.38,0.3,0.24,0.19,0.04,0.16,0.13,0.11,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,99.98
07/15/2021,6.3,4.91,4.34,4.42,4.37,4.31,4.05,3.9,3.87,3.66,3.68,3.73,3.67,3.59,3.66,3.43,3.47,3.16,2.76,2.14,2.12,1.89,1.71,1.61,1.39,1.39,1.14,1.15,1.03,1.0,0.86,0.81,0.77,0.7,0.62,0.6,0.59,0.57,0.46,0.41,0.38,0.3,0.24,0.19,0.04,0.16,0.13,0.11,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,99.98
07/16/2021,6.11,4.77,4.2,4.62,4.55,4.01,4.26,4.01,3.8,3.67,3.87,3.61,3.85,3.79,3.61,3.62,3.58,3.14,2.81,2.14,2.12,1.76,1.64,1.56,1.38,1.3,1.11,1.11,1.01,1.03,0.84,0.83,0.72,0.68,0.61,0.6,0.56,0.55,0.47,0.38,0.37,0.3,0.23,0.18,0.04,0.17,0.13,0.11,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,99.99
07/19/2021,5.95,4.52,4.0,5.16,4.59,3.82,4.28,4.14,3.79,3.71,3.88,3.43,3.83,3.88,3.89,3.71,3.64,3.12,2.79,2.16,2.07,1.71,1.66,1.51,1.4,1.28,1.06,1.13,0.97,0.0,0.83,0.81,0.69,0.65,0.6,0.59,0.59,0.53,0.47,0.37,0.37,0.27,0.24,0.17,0.04,0.17,0.13,0.12,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.06,0.0,0.0,0.0,0.0,99.95
07/20/2021,5.95,4.52,4.0,5.16,4.59,3.82,4.28,4.14,3.79,3.71,3.88,3.43,3.83,3.88,3.89,3.71,3.64,3.12,2.79,2.16,2.07,1.71,1.66,1.51,1.4,1.28,1.06,1.13,0.97,0.0,0.83,0.81,0.69,0.65,0.6,0.59,0.59,0.53,0.47,0.37,0.37,0.27,0.24,0.17,0.04,0.17,0.13,0.12,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.06,0.0,0.0,0.0,0.0,99.95
07/21/2021,5.95,4.52,4.0,5.16,4.59,3.82,4.28,4.14,3.79,3.71,3.88,3.43,3.83,3.88,3.89,3.71,3.64,3.12,2.79,2.16,2.07,1.71,1.66,1.51,1.4,1.28,1.06,1.13,0.97,0.0,0.83,0.81,0.69,0.65,0.6,0.59,0.59,0.53,0.47,0.37,0.37,0.27,0.24,0.17,0.04,0.17,0.13,0.12,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.06,0.0,0.0,0.0,0.0,99.95
07/22/2021,5.92,4.43,4.05,6.16,4.49,3.97,4.22,4.07,3.62,3.68,3.57,3.46,3.76,3.84,4.23,3.58,3.59,3.22,2.59,2.08,1.99,1.76,1.76,1.54,1.55,1.28,1.1,0.62,0.93,0.0,0.82,0.81,0.67,0.64,0.59,0.61,0.65,0.58,0.45,0.38,0.36,0.28,0.23,0.19,0.04,1.16,0.13,0.11,0.07,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,6.15,4.15,3.88,5.96,4.39,4.37,4.16,4.31,3.44,3.66,3.5,3.6,3.71,3.79,4.21,3.48,3.87,3.35,2.87,2.17,2.12,1.73,1.71,1.85,1.47,1.03,1.34,0.64,0.94,0.0,1.13,0.81,0.69,0.52,0.75,0.6,0.65,0.38,0.1,0.38,0.37,0.14,0.06,0.19,0.04,1.13,0.37,0.51,0.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.98
07/29/2021,5.68,4.02,3.69,6.56,4.51,4.35,4.3,4.27,3.33,3.63,3.62,3.44,3.78,3.78,4.96,3.31,3.88,3.21,2.83,2.31,2.21,1.6,1.67,1.89,1.42,1.02,1.34,0.59,0.91,0.0,1.05,0.78,0.66,0.5,0.8,0.65,0.67,0.36,0.1,0.38,0.35,0.13,0.06,0.19,0.04,0.06,0.33,0.48,0.3,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/30/2021,5.7,4.02,3.68,6.52,4.6,4.26,4.3,4.36,3.36,3.72,3.59,3.38,3.82,3.85,4.99,2.85,3.95,3.25,2.9,2.28,2.23,1.6,1.67,1.88,1.44,1.03,1.35,0.59,0.91,0.0,1.07,0.74,0.66,0.5,0.8,0.63,0.68,0.36,0.1,0.38,0.34,0.13,0.06,0.19,0.04,0.06,0.34,0.49,0.31,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.01
