,OPEN,ZG,RKT,REA.AX,EXPI,ABNB,BEKE,CSGP,BKI,RMV.L,G24.DE,ANGI,909.HK,MTTR,RDFN,COMP,APPF,RDN,HYQ.DE,LMND,TCN.TO,SMRT,DHG.AX,HIPO,AIF.TO,DOMA,PXA.AX,PRCH,LDI,MOL.MI,HEM.ST,OPAD,2980.T,FGXXX,FTHM,3491.T,WE,SUM
11/03/2021,5.79,5.73,5.01,4.98,4.84,4.81,4.74,4.65,4.58,3.86,3.79,3.68,3.52,3.48,3.45,3.31,2.92,2.84,2.56,2.45,1.97,1.63,1.59,1.52,1.5,1.35,1.31,1.3,1.3,1.25,1.23,1.11,1.11,0.4,0.24,0.17,0.0,99.97
11/04/2021,5.79,5.73,5.01,4.98,4.84,4.81,4.74,4.65,4.58,3.86,3.79,3.68,3.52,3.48,3.45,3.31,2.92,2.84,2.56,2.45,1.97,1.63,1.59,1.52,1.5,1.35,1.31,1.3,1.3,1.25,1.23,1.11,1.11,0.4,0.24,0.17,0.0,99.97
11/05/2021,5.2,4.66,5.32,5.1,4.83,4.91,4.89,4.64,4.59,3.91,3.87,3.49,3.42,3.73,3.45,3.36,2.96,2.92,2.54,2.72,1.95,1.75,1.62,1.57,1.49,1.36,1.32,1.41,1.42,1.26,1.26,1.12,1.17,0.4,0.25,0.17,0.0,100.03000000000002
11/08/2021,5.96,3.78,5.53,5.22,4.34,5.13,4.86,4.64,4.65,3.94,4.06,3.53,3.36,3.21,3.52,3.31,3.09,2.68,2.7,2.87,1.99,1.66,1.63,1.56,1.5,1.38,1.37,1.45,1.3,1.33,1.28,1.13,1.25,0.38,0.26,0.18,0.0,100.03
11/09/2021,5.96,3.78,5.53,5.22,4.34,5.13,4.86,4.64,4.65,3.94,4.06,3.53,3.36,3.21,3.52,3.31,3.09,2.68,2.7,2.87,1.99,1.66,1.63,1.56,1.5,1.38,1.37,1.45,1.3,1.33,1.28,1.13,1.25,0.38,0.26,0.18,0.0,100.03
11/10/2021,5.59,3.67,5.36,5.54,4.13,5.82,4.8,4.61,4.7,3.96,4.07,3.27,3.21,3.5,3.43,3.21,3.07,2.78,2.69,2.81,1.98,1.72,1.67,1.53,1.49,1.4,1.33,1.46,1.3,1.31,1.33,1.14,1.28,0.39,0.27,0.18,0.0,100.0
11/11/2021,5.59,3.67,5.36,5.54,4.13,5.82,4.8,4.61,4.7,3.96,4.07,3.27,3.21,3.5,3.43,3.21,3.07,2.78,2.69,2.81,1.98,1.72,1.67,1.53,1.49,1.4,1.33,1.46,1.3,1.31,1.33,1.14,1.28,0.39,0.27,0.18,0.0,100.0
11/12/2021,5.47,3.77,5.22,5.37,4.28,5.76,4.75,4.58,4.98,3.97,4.06,3.25,3.19,3.57,3.56,3.21,3.03,2.78,2.72,2.84,1.96,1.66,1.56,1.53,1.52,1.42,1.32,1.45,1.41,1.31,1.32,1.1,1.25,0.39,0.26,0.18,0.0,100.0
11/15/2021,5.63,3.51,5.06,5.07,4.19,5.52,6.2,4.51,5.2,3.95,4.0,3.25,3.83,3.52,3.28,2.96,2.96,2.73,2.58,2.65,1.98,1.29,1.49,1.5,1.5,1.59,1.33,1.49,1.44,1.27,1.29,1.12,1.28,0.39,0.28,0.18,0.0,100.02000000000002
11/16/2021,5.63,3.51,5.06,5.07,4.19,5.52,6.2,4.51,5.2,3.95,4.0,3.25,3.83,3.52,3.28,2.96,2.96,2.73,2.58,2.65,1.98,1.29,1.49,1.5,1.5,1.59,1.33,1.49,1.44,1.27,1.29,1.12,1.28,0.39,0.28,0.18,0.0,100.02000000000002
