,VCSH,CWB,BKLN,SRLN,SPSB,ICVT,VBK,IWO,PFF,IJT,PGX,HYG,JNK,Drey Inst Pref Gov Mm Inst 6546,Xtrackers USD High Yield Corp Bd ETF,Cash,1117.HK,n/a,HYLB,SUM
07/09/2021,33.15,18.54,13.78,10.93,6.43,4.89,3.75,2.88,2.41,1.49,0.9,0.38,0.19,0.15,0.11,0.03,0.0,0.0,0.0,100.01000000000002
07/12/2021,33.21,18.53,13.77,10.93,6.45,4.89,3.74,2.85,2.41,1.48,0.9,0.38,0.19,0.0,0.11,0.0,0.15,0.0,0.0,99.99
07/13/2021,33.21,18.53,13.77,10.93,6.45,4.89,3.74,2.85,2.41,1.48,0.9,0.38,0.19,0.0,0.11,0.0,0.15,0.0,0.0,99.99
07/14/2021,33.21,18.53,13.77,10.93,6.45,4.89,3.74,2.85,2.41,1.48,0.9,0.38,0.19,0.0,0.11,0.0,0.15,0.0,0.0,99.99
11/24/2021,34.06,17.85,11.66,13.35,6.28,4.68,3.82,2.81,2.29,1.44,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,99.97000000000004
11/25/2021,34.06,17.85,11.66,13.35,6.28,4.68,3.82,2.81,2.29,1.44,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,99.97000000000004
11/26/2021,34.17,17.72,11.68,13.42,6.31,4.64,3.79,2.79,2.29,1.46,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,100.00000000000004
11/29/2021,34.16,17.73,11.67,13.42,6.31,4.65,3.78,2.79,2.3,1.45,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,99.99000000000002
11/30/2021,34.42,17.68,11.68,13.42,6.35,4.59,3.72,2.71,2.29,1.41,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,100.0
12/01/2021,34.42,17.68,11.68,13.42,6.35,4.59,3.72,2.71,2.29,1.41,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,100.0
12/02/2021,34.41,17.64,11.68,13.43,6.35,4.61,3.73,2.7,2.3,1.41,0.84,0.42,0.18,0.0,0.0,0.0,0.0,0.15,0.14,99.99
12/06/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/07/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/08/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/09/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/10/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/13/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/14/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/15/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.0
12/16/2021,34.74,17.33,11.84,13.52,6.42,4.24,3.68,2.69,2.33,1.41,0.86,0.43,0.18,0.0,0.0,0.0,0.0,0.19,0.14,100.00000000000001
