,NEM,ABX.TO,FNV.TO,WPM.TO,NCM.AX,AEM.TO,KL.TO,NST.AX,EDG.,K.TO,AU,2899.HK,RGLD,PAAS.TO,EVN.AX,EDV.TO,BTO.TO,YRI.TO,HL,FR.TO,SSRM,AGI.TO,1818.HK,HAM.,OR.TO,CG.TO,CDE,BVN.,EQX,ELD.TO,PVG.TO,CEY.L,KNT.TO,SSL.TO,RRL.AX,IMG.TO,PRU.AX,OGC.NE,WDO.TO,NGD.TO,SLR.AX,DPM.TO,RMS.AX,EDR.TO,FVI.TO,TXG.TO,SBM.AX,SVM.TO,VGCX.TO,DRD,GOR.AX,AR.TO,GGD.TO,WGX.AX,Us Dollar,RSG.AX,Pound Sterling,Canadian Dollar,GVMXX,SUM
07/09/2021,15.28,11.13,8.5,6.07,4.89,4.34,3.53,3.0,2.77,2.76,2.71,2.65,2.61,2.06,2.0,1.91,1.5,1.42,1.36,1.34,1.19,1.04,0.86,0.81,0.8,0.78,0.78,0.77,0.71,0.63,0.62,0.56,0.56,0.53,0.49,0.49,0.47,0.46,0.45,0.41,0.39,0.38,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.26,0.23,0.22,0.16,0.15,0.0,0.0,0.0,100.03
08/31/2021,15.5,11.22,8.46,6.05,4.92,4.31,3.55,2.95,2.72,2.76,2.67,2.65,2.58,2.07,1.99,1.87,1.53,1.4,1.37,1.37,1.18,1.03,0.85,0.79,0.79,0.78,0.79,0.79,0.72,0.62,0.62,0.56,0.55,0.53,0.46,0.48,0.46,0.46,0.46,0.42,0.38,0.38,0.36,0.35,0.35,0.34,0.31,0.33,0.32,0.32,0.29,0.26,0.24,0.21,0.0,0.14,0.0,0.0,1.18,101.04
09/01/2021,15.5,11.22,8.46,6.05,4.92,4.31,3.55,2.95,2.72,2.76,2.67,2.65,2.58,2.07,1.99,1.87,1.53,1.4,1.37,1.37,1.18,1.03,0.85,0.79,0.79,0.78,0.79,0.79,0.72,0.62,0.62,0.56,0.55,0.53,0.46,0.48,0.46,0.46,0.46,0.42,0.38,0.38,0.36,0.35,0.35,0.34,0.31,0.33,0.32,0.32,0.29,0.26,0.24,0.21,0.0,0.14,0.0,0.0,1.18,101.04
09/02/2021,15.5,11.22,8.46,6.05,4.92,4.31,3.55,2.95,2.72,2.76,2.67,2.65,2.58,2.07,1.99,1.87,1.53,1.4,1.37,1.37,1.18,1.03,0.85,0.79,0.79,0.78,0.79,0.79,0.72,0.62,0.62,0.56,0.55,0.53,0.46,0.48,0.46,0.46,0.46,0.42,0.38,0.38,0.36,0.35,0.35,0.34,0.31,0.33,0.32,0.32,0.29,0.26,0.24,0.21,0.0,0.14,0.0,0.0,1.18,101.04
