,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,B 0 11/04/21,B 0 02/24/22,B 0 04/21/22,688202.SS.7,B 0 07/01/21,B 0 07/15/21,B 0 07/29/21,B 0 08/05/21,B 0 10/21/21,B 0 12/02/21,B 0 12/23/21,B 0 05/19/22,B 0 06/16/22,XIB 0 10/07/21,B 0 07/08/21,B 0 10/14/21,B 0 12/30/21,B 0 01/27/22,United States Treasury Bills,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,688202.SS.14,688202.SS.15,688202.SS.16,688202.SS.17,Nasdaq 100 Index Swap Bnp Paribas - Cash Offset,Nasdaq 100 Index Swap Jp Morgan Securities - Cash Offset,Nasdaq 100 Index Swap Citibank Na - Cash Offset,Nasdaq 100 Index Swap Ubs Ag - Cash Offset,Nasdaq 100 Index Swap Goldman Sachs International - Cash Offset,Nasdaq 100 09/17/21 (Nqu1) - Cash Offset,Nasdaq 100 Index Swap Bank Of America Na - Cash Offset,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc - Cash Offset,B 0 10/07/21,Nasdaq 100 Index Swap Societe Generale - Cash Offset,Nasdaq 100 Index Swap Societe Generale,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc,Nasdaq 100 Index Swap Bank Of America Na,E-mini Nasdaq 100 Future Sept 21,Nasdaq 100 Index Swap Goldman Sachs International,Nasdaq 100 Index Swap Ubs Ag,Nasdaq 100 Index Swap Citibank Na,Nasdaq 100 Index Swap Jp Morgan Securities,Nasdaq 100 Index Swap Bnp Paribas,SUM
07/09/2021,55.53,11.2,10.17,7.39,6.49,5.61,5.32,5.07,5.0,5.0,5.0,3.93,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,1.0,1.0,1.0,1.0,1.0,0.35,-0.35,-3.93,-5.07,-5.32,-5.61,-6.49,-7.39,-10.17,-11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,55.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,10.17,7.39,6.49,5.61,5.32,5.07,3.93,2.0,0.35,-0.35,-3.93,-5.07,-5.32,-5.61,-6.49,-7.39,-10.17,-11.2,100.02999999999999
