,2QQQ  210930C00000700,2QQQ  210930C00354450,Cash&Other,2QQQ  210930C00367920,2QQQ  211231C00000710,2QQQ  211231C00357960,2QQQ  211231C00373240,SUM
07/09/2021,100.17,4.68,0.24,-5.1,0.0,0.0,0.0,99.99
07/12/2021,100.2,4.79,0.23,-5.23,0.0,0.0,0.0,99.99
07/13/2021,100.2,4.79,0.23,-5.23,0.0,0.0,0.0,99.99
07/14/2021,100.2,4.79,0.23,-5.23,0.0,0.0,0.0,99.99
07/15/2021,100.28,5.01,0.22,-5.52,0.0,0.0,0.0,99.99
07/16/2021,100.32,5.06,0.22,-5.61,0.0,0.0,0.0,99.99
07/19/2021,100.0,4.54,0.21,-4.77,0.0,0.0,0.0,99.98
07/20/2021,99.83,4.16,0.21,-4.21,0.0,0.0,0.0,99.99
07/21/2021,99.83,4.16,0.21,-4.21,0.0,0.0,0.0,99.99
07/22/2021,99.74,3.85,0.21,-3.8,0.0,0.0,0.0,100.0
07/23/2021,99.84,4.31,0.21,-4.36,0.0,0.0,0.0,100.0
07/26/2021,100.06,5.09,0.2,-5.35,0.0,0.0,0.0,100.0
07/27/2021,100.45,5.72,0.19,-6.36,0.0,0.0,0.0,100.0
07/28/2021,100.45,5.72,0.19,-6.36,0.0,0.0,0.0,100.0
07/29/2021,100.55,5.81,0.19,-6.55,0.0,0.0,0.0,100.0
07/30/2021,100.12,4.93,0.19,-5.25,0.0,0.0,0.0,99.99
08/02/2021,99.99,5.02,0.18,-5.2,0.0,0.0,0.0,99.99
08/03/2021,99.99,5.01,0.18,-5.18,0.0,0.0,0.0,100.0
08/04/2021,99.99,5.01,0.18,-5.18,0.0,0.0,0.0,100.0
08/05/2021,99.96,4.93,0.18,-5.07,0.0,0.0,0.0,100.0
08/06/2021,99.95,5.16,0.17,-5.3,0.0,0.0,0.0,99.98
08/10/2021,99.88,5.21,0.16,-5.26,0.0,0.0,0.0,99.98999999999998
08/11/2021,99.88,5.21,0.16,-5.26,0.0,0.0,0.0,99.98999999999998
08/13/2021,99.8,4.93,0.16,-4.89,0.0,0.0,0.0,100.0
08/16/2021,99.67,4.96,0.15,-4.79,0.0,0.0,0.0,99.99
08/17/2021,99.69,5.12,0.15,-4.96,0.0,0.0,0.0,100.0
08/18/2021,99.69,5.12,0.15,-4.96,0.0,0.0,0.0,100.0
08/19/2021,99.67,5.15,0.14,-4.97,0.0,0.0,0.0,99.99
08/20/2021,99.4,4.49,0.14,-4.04,0.0,0.0,0.0,99.99
08/23/2021,99.45,4.46,0.14,-4.05,0.0,0.0,0.0,100.0
08/24/2021,99.48,4.97,0.13,-4.58,0.0,0.0,0.0,100.0
08/25/2021,99.48,4.97,0.13,-4.58,0.0,0.0,0.0,100.0
08/26/2021,99.94,5.88,0.04,-5.87,0.0,0.0,0.0,99.99
08/27/2021,100.07,6.1,0.04,-6.21,0.0,0.0,0.0,100.0
08/30/2021,99.84,5.7,0.03,-5.59,0.0,0.0,0.0,99.98
08/31/2021,100.07,6.32,0.03,-6.42,0.0,0.0,0.0,100.0
09/01/2021,100.07,6.32,0.03,-6.42,0.0,0.0,0.0,100.0
09/02/2021,100.85,7.35,0.03,-8.24,0.0,0.0,0.0,99.99
09/03/2021,100.83,7.3,0.03,-8.16,0.0,0.0,0.0,100.0
09/06/2021,100.78,7.21,0.02,-8.02,0.0,0.0,0.0,99.99
09/07/2021,101.05,7.59,0.01,-8.65,0.0,0.0,0.0,100.0
09/08/2021,101.05,7.59,0.01,-8.65,0.0,0.0,0.0,100.0
09/09/2021,101.05,7.59,0.01,-8.65,0.0,0.0,0.0,100.0
