,AAPL,MSFT,AVGO,INTC,IBM,ORCL,QCOM,TXN,ADI,HPQ,AMAT,CSCO,VZ,BCE.TO,T,T.TO,LUMN,RCI.B.TO,INTU,LRCX,MSI,HPE,STX,KLAC,SJR.B.TO,CTSH,NTAP,NXPI,VOD,MCHP,SWKS,JNPR,NLOK,ROP,CDW,INFY,OTEX.TO,XRX,LDOS,CTXS,DOX,CCOI,LOGN.SW,NATI,SSNC,MPWR,SAP,SAIC,ERIC,US Dollar,TDS,CDK,GILT,YY,CCMP,ATHM,IDI.,SIMO,PBI,CHT,KLIC,CSGS,PHI,PRGS,BRKS,POWI,SSTK,SWCH,SHEN,ADTN,UMC,AMSWA,ABST.TO,ATNI,AUDC,CMTL,EBIX,Silicon Motion Technology Corp ADR,IDCC,Us Dollars,Chunghwa Telecom Co Ltd ADR,PLDT Inc ADR,n/a,TSM,CMCSA,GLW,TEL,APH,MBT,AMX,VIV,UI,KT,AVT,SKM,ORAN,CABO,KBR,DLB,JBL,VSH,MCFE,PTI.,HIMX,BHE,SPNS,MEI,HCKT,SLP,FUO.,KD WI,SUM
07/09/2021,8.93,8.71,7.85,7.69,7.56,4.13,4.11,3.94,2.38,2.36,1.97,1.96,1.95,1.94,1.93,1.93,1.9,1.83,1.77,1.71,1.45,1.39,1.34,1.32,1.21,1.13,1.12,1.1,1.09,0.94,0.89,0.79,0.72,0.59,0.58,0.57,0.55,0.48,0.47,0.44,0.43,0.4,0.37,0.36,0.36,0.27,0.23,0.21,0.21,0.2,0.19,0.17,0.17,0.15,0.12,0.11,0.11,0.11,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,9.05,8.65,7.9,7.61,7.65,4.33,4.08,3.89,2.33,2.33,1.93,1.97,1.93,1.95,1.88,1.93,1.9,1.82,1.77,1.67,1.45,1.4,1.36,1.3,1.22,1.13,1.12,1.08,1.08,0.92,0.88,0.8,0.71,0.59,0.58,0.57,0.55,0.48,0.48,0.44,0.44,0.4,0.37,0.36,0.35,0.26,0.24,0.21,0.21,0.21,0.19,0.17,0.17,0.15,0.12,0.12,0.11,0.12,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,9.05,8.65,7.9,7.61,7.65,4.33,4.08,3.89,2.33,2.33,1.93,1.97,1.93,1.95,1.88,1.93,1.9,1.82,1.77,1.67,1.45,1.4,1.36,1.3,1.22,1.13,1.12,1.08,1.08,0.92,0.88,0.8,0.71,0.59,0.58,0.57,0.55,0.48,0.48,0.44,0.44,0.4,0.37,0.36,0.35,0.26,0.24,0.21,0.21,0.21,0.19,0.17,0.17,0.15,0.12,0.12,0.11,0.12,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,9.06,8.66,7.91,7.62,7.66,4.33,4.09,3.9,2.34,2.33,1.93,1.98,1.93,1.95,1.88,1.94,1.9,1.82,1.77,1.67,1.45,1.4,1.36,1.3,1.22,1.13,1.12,1.08,1.08,0.92,0.88,0.8,0.71,0.59,0.58,0.57,0.55,0.49,0.48,0.44,0.44,0.4,0.37,0.36,0.35,0.26,0.24,0.21,0.21,0.0,0.19,0.17,0.17,0.15,0.12,0.12,0.0,0.0,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.12,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,9.01,8.63,7.99,7.71,7.61,4.29,4.11,3.93,2.35,2.26,1.96,1.95,1.93,1.95,1.88,1.93,1.89,1.81,1.77,1.7,1.44,1.39,1.38,1.32,1.23,1.13,1.11,1.1,1.09,0.93,0.88,0.79,0.7,0.6,0.57,0.56,0.55,0.48,0.48,0.43,0.44,0.41,0.37,0.35,0.35,0.27,0.24,0.21,0.21,0.0,0.19,0.17,0.16,0.14,0.12,0.11,0.0,0.12,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.11,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,9.1,8.76,7.98,7.75,7.6,4.3,4.09,3.92,2.35,2.19,1.95,1.96,1.93,1.95,1.87,1.94,1.87,1.82,1.78,1.7,1.44,1.33,1.37,1.32,1.21,1.12,1.09,1.1,1.08,0.92,0.88,0.79,0.7,0.6,0.57,0.56,0.54,0.47,0.48,0.43,0.43,0.41,0.36,0.35,0.35,0.27,0.24,0.21,0.22,0.0,0.19,0.17,0.16,0.15,0.12,0.12,0.0,0.0,0.09,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.12,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,9.34,8.82,7.92,7.66,7.66,4.29,4.12,3.89,2.32,2.2,1.92,1.99,1.96,1.95,1.89,1.93,1.87,1.81,1.78,1.68,1.45,1.36,1.35,1.29,1.21,1.13,1.08,1.06,1.06,0.89,0.89,0.82,0.67,0.61,0.57,0.57,0.55,0.47,0.49,0.44,0.44,0.41,0.35,0.35,0.36,0.26,0.24,0.21,0.22,0.0,0.18,0.17,0.15,0.15,0.12,0.12,0.0,0.12,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.1,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,9.3,8.91,7.85,7.62,7.65,4.4,4.11,3.88,2.29,2.17,1.87,2.01,1.98,1.97,1.91,1.94,1.82,1.85,1.8,1.63,1.45,1.36,1.33,1.26,1.23,1.13,1.07,1.05,1.08,0.87,0.89,0.81,0.68,0.61,0.58,0.57,0.55,0.46,0.5,0.45,0.44,0.41,0.35,0.35,0.36,0.27,0.24,0.21,0.2,0.0,0.19,0.17,0.15,0.15,0.12,0.12,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,9.3,8.91,7.85,7.62,7.65,4.4,4.11,3.88,2.29,2.17,1.87,2.01,1.98,1.97,1.91,1.94,1.82,1.85,1.8,1.63,1.45,1.36,1.33,1.26,1.23,1.13,1.07,1.05,1.08,0.87,0.89,0.81,0.68,0.61,0.58,0.57,0.55,0.46,0.5,0.45,0.44,0.41,0.35,0.35,0.36,0.27,0.24,0.21,0.2,0.0,0.19,0.17,0.15,0.15,0.12,0.12,0.0,0.11,0.09,0.0,0.08,0.08,0.0,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.08,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,9.3,8.91,7.85,7.62,7.65,4.4,4.11,3.88,2.29,2.17,1.87,2.01,1.98,1.97,1.91,1.94,1.82,1.85,1.8,1.63,1.45,1.36,1.33,1.26,1.23,1.13,1.07,1.05,1.08,0.87,0.89,0.81,0.68,0.61,0.58,0.57,0.55,0.46,0.5,0.45,0.44,0.41,0.35,0.35,0.36,0.27,0.24,0.21,0.2,0.0,0.19,0.17,0.15,0.15,0.12,0.12,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
