,MORGAN STANLEY LIQ GOVT INST 8302,B 0 05/06/21,WTI CRUDE FUTURE Jun21,WTI CRUDE FUTURE May21,WTI CRUDE FUTURE Jul21,WTI CRUDE FUTURE Aug21,WTI CRUDE FUTURE Sep21,WTI CRUDE FUTURE Oct21,WTI CRUDE FUTURE Nov21,WTI CRUDE FUTURE Dec21,WTI CRUDE FUTURE Jan22,WTI CRUDE FUTURE Feb22,WTI CRUDE FUTURE Mar22,WTI CRUDE FUTURE Apr22,RBC US GOVTT 1 1465,BNY CASH RESERVE,GOLDMAN FS GOVT INST 465,FIDELITY INVESTMENT MM GOV 1 57,CASH,SUM
07/09/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/12/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/13/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/14/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/15/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/16/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/19/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/20/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/21/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/22/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/23/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
07/26/2021,71.57,15.12,8.59,8.56,8.54,8.52,8.45,8.38,8.32,8.25,8.19,8.13,8.05,8.03,4.61,3.6,0.1,0.0,-17.71,177.29999999999998
