,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,Dj U.S. Financials Index Swap Ubs Ag - Cash Offset,Dj U.S. Financials Index Swap Bank Of America Na - Cash Offset,Dj U.S. Financials Index Swap Goldman Sachs International - Cash Offset,Dj U.S. Financials Index Swap Societe Generale - Cash Offset,Dj U.S. Financials Index Swap Citibank Na - Cash Offset,Dj U.S. Financials Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Financials Index Swap Bnp Paribas - Cash Offset,Dj U.S. Financials Index Swap Bnp Paribas,Dj U.S. Financials Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Financials Index Swap Citibank Na,Dj U.S. Financials Index Swap Societe Generale,Dj U.S. Financials Index Swap Goldman Sachs International,Dj U.S. Financials Index Swap Bank Of America Na,Dj U.S. Financials Index Swap Ubs Ag,SUM
07/09/2021,100.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999996
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/26/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/28/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/29/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
07/30/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
08/02/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.75,16.16,14.57,12.73,12.52,10.52,3.59,-3.59,-10.52,-12.52,-12.73,-14.57,-16.16,-29.75,99.99999999999996
