,SLYG,SLYV,Us Dollars,BRK.B,SPYG,SPDR® Portfolio Emerging Markets ETF,JPM,DIS,BAC,XOM,JNJ,VZ,INTC,CSCO,PFE,T,CVX,WFC,WMT,UNH,PG,V,PM,HON,CMCSA,C,KO,BA,RTX,MS,IBM,GS,PEP,MMM,GE,AXP,SCHW,CVS,MA,MCD,MRK,ANTM,HD,FIS,PLD,MDLZ,MO,COP,GILD,MU,ABT,TJX,NEE,USB,PNC,CI,CME,COST,TXN,UNP,DUK,TFC,GM,NKE,BDX,AMGN,COF,LLY,BMY,ORCL,SO,CAT,BSX,D,AMT,F,AVGO,BKNG,HCA,SBUX,GPN,DHR,NOC,ABBV,EOG,LMT,CSX,ROST,SYK,EXC,SRE,ADP,CNC,MET,UPS,GD,DLR,SPG,PSX,TGT,ALL,PXD,DFS,DD,BAX,AEP,AIG,PRU,MPC,PPG,TRV,LOW,BK,SYY,STZ,ISRG,MAR,KMI,WELL,HPQ,NSC,XEL,APD,WM,EMR,MMC,AFL,IFF,SWK,ZBH,CL,CTVA,ILMN,ADM,ITW,VLO,CCI,BLK,ADI,EQIX,GIS,WBA,STT,WMB,LUV,AMP,PEG,ICE,MCK,KR,PCAR,EL,ATVI,CBRE,AVB,CBI.MI,n/a,SPEM,MRNA,EW,ECL,NUE,SUM
07/09/2021,37.25,34.25,1.84,1.03,1.0,0.98,0.92,0.65,0.62,0.54,0.53,0.47,0.45,0.45,0.44,0.41,0.41,0.37,0.37,0.37,0.34,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09999999999998
07/12/2021,37.39,33.86,1.84,1.04,1.03,0.97,0.91,0.65,0.6,0.53,0.54,0.47,0.45,0.46,0.45,0.41,0.41,0.36,0.38,0.38,0.35,0.33,0.31,0.3,0.3,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/13/2021,37.39,33.86,1.84,1.04,1.03,0.97,0.91,0.65,0.6,0.53,0.54,0.47,0.45,0.46,0.45,0.41,0.41,0.36,0.38,0.38,0.35,0.33,0.31,0.3,0.3,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/14/2021,37.41,34.06,1.81,1.04,1.02,0.97,0.92,0.65,0.6,0.53,0.53,0.47,0.45,0.45,0.44,0.4,0.4,0.36,0.37,0.38,0.34,0.32,0.31,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,37.35,34.13,1.8,1.03,1.02,0.96,0.93,0.67,0.61,0.53,0.53,0.46,0.45,0.45,0.44,0.4,0.4,0.37,0.37,0.38,0.34,0.32,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.23,0.23,0.22,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/16/2021,37.29,33.92,1.81,1.05,1.03,0.98,0.93,0.68,0.61,0.53,0.54,0.47,0.46,0.45,0.45,0.4,0.41,0.36,0.38,0.39,0.35,0.33,0.31,0.31,0.29,0.28,0.28,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/19/2021,37.02,33.84,1.83,1.06,1.04,0.99,0.94,0.69,0.6,0.52,0.54,0.48,0.46,0.46,0.46,0.41,0.4,0.38,0.39,0.39,0.36,0.34,0.31,0.32,0.3,0.29,0.29,0.25,0.26,0.27,0.25,0.25,0.24,0.24,0.22,0.23,0.22,0.22,0.23,0.22,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,37.12,33.62,1.86,1.07,1.04,1.0,0.93,0.68,0.59,0.51,0.55,0.49,0.46,0.47,0.47,0.41,0.4,0.38,0.39,0.4,0.36,0.35,0.32,0.32,0.3,0.28,0.29,0.25,0.26,0.27,0.25,0.25,0.25,0.24,0.22,0.23,0.21,0.22,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.1,0.1,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,37.12,33.62,1.86,1.07,1.04,1.0,0.93,0.68,0.59,0.51,0.55,0.49,0.46,0.47,0.47,0.41,0.4,0.38,0.39,0.4,0.36,0.35,0.32,0.32,0.3,0.28,0.29,0.25,0.26,0.27,0.25,0.25,0.25,0.24,0.22,0.23,0.21,0.22,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.1,0.1,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,37.12,33.62,1.86,1.07,1.04,1.0,0.93,0.68,0.59,0.51,0.55,0.49,0.46,0.47,0.47,0.41,0.4,0.38,0.39,0.4,0.36,0.35,0.32,0.32,0.3,0.28,0.29,0.25,0.26,0.27,0.25,0.25,0.25,0.24,0.22,0.23,0.21,0.22,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.1,0.1,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
