,BRENT CRUDE FUTR Jun21,MORGAN STANLEY LIQ GOVT INST 8302,B 0 05/06/21,RBC US GOVTT 1 1465,BNY CASH RESERVE,CASH,GOLDMAN FS GOVT INST 465,FIDELITY INVESTMENT MM GOV 1 57,SUM
07/09/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/12/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/13/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/14/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/15/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/16/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/19/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/20/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/21/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/22/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/23/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/26/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
07/27/2021,100.0,60.4,15.1,9.1,8.92,8.15,1.57,0.0,203.24
