,NPN.JO,SAFCOM.,ATW.,IAM.,AAL.L,CBKD.L,JMIA,GTCO.,MTNN.NL,IVN.TO,ZENITHBANK.NL,FM.TO,EQBNK.,BCP.,EDV.TO,Cosumar,ABX.TO,NESTLE.NL,IMG.TO,BOA.,D7N.,FSR.JO,EABL.,SBK.JO,IMP.JO,MTN.JO,CEY.L,MMYT,AMS.JO,SBSW,SSL,SLM.JO,EDG.,AU,ABG.JO,E5H.SI,SHP.JO,BID.JO,CPI.JO,REM.JO,VOD.JO,DSY.JO,BVT.JO,RCL,NHM.JO,APN.JO,NED.JO,GRT.JO,MRP.JO,CLS.JO,KIO.JO,OMU.JO,SCATC.OL,WHL.JO,MCG.JO,INVP.L,EXX.JO,TFG.JO,TBS.JO,HAM.,SPP.JO,BTO.TO,Us Dollar,MDC.L,LHC.JO,RMI.JO,AVI.JO,PIK.JO,NTC.JO,RES.JO,MTM.JO,CML.JO,Nigerian Naira,DLTA,TBLD.L,Egyptian Pound,Zimbabwe Dollar,GTCO.NL,CSR.,GVMXX,CSZL,SUM
07/09/2021,7.94,6.7,5.38,4.58,4.35,4.14,4.11,4.05,4.03,3.42,3.37,2.52,2.51,2.5,2.43,2.11,2.1,2.09,1.95,1.9,1.58,1.35,1.32,1.31,1.27,1.25,1.15,1.01,0.96,0.95,0.9,0.88,0.83,0.82,0.78,0.66,0.59,0.58,0.49,0.48,0.44,0.43,0.42,0.41,0.4,0.4,0.39,0.37,0.36,0.35,0.34,0.34,0.34,0.29,0.27,0.27,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.16,0.14,0.14,0.13,0.11,0.1,0.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,8.15,6.77,5.42,4.64,4.28,4.09,4.54,0.0,4.08,3.48,3.38,2.56,2.42,2.54,2.36,0.0,2.1,2.11,1.93,1.88,1.58,1.37,1.33,1.33,1.24,1.25,1.13,1.02,0.96,0.95,0.91,0.9,0.81,0.81,0.81,0.67,0.59,0.58,0.49,0.48,0.45,0.45,0.43,0.41,0.39,0.4,0.4,0.37,0.37,0.35,0.33,0.36,0.33,0.29,0.28,0.27,0.22,0.21,0.21,0.2,0.21,0.2,0.0,0.19,0.19,0.18,0.16,0.14,0.14,0.13,0.11,0.1,0.0,0.02,0.0,0.0,0.0,4.16,2.15,0.68,0.01,101.43
