,PNC,USB,TFC,FRC,SIVB,FITB,HBAN,KEY,CFG,RF,MTB,SBNY,EWBC,CMA,WAL,FHN,ZION,CBSH,PBCT,FFIN,PB,PNFP,SNV,CFR,BPOP,FCNCA,VLY,NYCB,GBCI,OZK,UBSI,WBS,WTFC,UMPQ,UMBF,FNB,HOMB,BOKF,XTSLA,TFSL,USD,WFFUT,SUM
07/09/2021,13.55,12.89,12.42,5.65,4.59,4.35,3.55,3.36,3.28,3.25,3.14,2.4,1.71,1.66,1.65,1.59,1.46,1.33,1.24,1.18,1.13,1.13,1.09,1.06,1.02,0.99,0.91,0.89,0.88,0.86,0.82,0.8,0.71,0.69,0.67,0.66,0.62,0.44,0.2,0.16,0.02,0.02,100.02
07/12/2021,13.51,12.95,12.36,5.69,4.65,4.36,3.56,3.32,3.27,3.22,3.12,2.44,1.73,1.64,1.67,1.57,1.44,1.32,1.21,1.19,1.14,1.14,1.1,1.05,1.02,0.98,0.91,0.9,0.88,0.87,0.81,0.78,0.73,0.69,0.67,0.65,0.62,0.44,0.1,0.16,0.12,0.02,100.0
07/13/2021,13.51,12.95,12.36,5.69,4.65,4.36,3.56,3.32,3.27,3.22,3.12,2.44,1.73,1.64,1.67,1.57,1.44,1.32,1.21,1.19,1.14,1.14,1.1,1.05,1.02,0.98,0.91,0.9,0.88,0.87,0.81,0.78,0.73,0.69,0.67,0.65,0.62,0.44,0.1,0.16,0.12,0.02,100.0
07/14/2021,13.42,12.86,12.37,5.7,4.71,4.36,3.56,3.31,3.27,3.23,3.1,2.49,1.75,1.64,1.71,1.57,1.45,1.32,1.21,1.19,1.13,1.15,1.11,1.04,1.02,0.97,0.91,0.89,0.87,0.87,0.81,0.79,0.73,0.69,0.67,0.66,0.62,0.44,0.09,0.16,0.14,0.01,99.99000000000002
07/16/2021,13.51,12.96,12.36,5.82,4.78,4.33,3.56,3.33,3.26,3.24,3.1,2.49,1.73,1.64,1.7,1.55,1.44,1.31,1.2,1.19,1.12,1.14,1.1,1.04,1.01,0.97,0.9,0.89,0.86,0.85,0.81,0.77,0.72,0.68,0.66,0.64,0.61,0.44,0.06,0.16,0.04,0.01,99.98
07/19/2021,13.38,13.25,12.48,5.84,4.75,4.31,3.55,3.3,3.23,3.2,3.07,2.42,1.7,1.63,1.7,1.54,1.43,1.31,1.2,1.18,1.11,1.14,1.1,1.03,1.0,0.97,0.9,0.9,0.87,0.86,0.81,0.76,0.72,0.68,0.66,0.64,0.6,0.43,0.11,0.16,0.08,0.01,100.01
07/20/2021,13.38,13.25,12.48,5.84,4.75,4.31,3.55,3.3,3.23,3.2,3.07,2.42,1.7,1.63,1.7,1.54,1.43,1.31,1.2,1.18,1.11,1.14,1.1,1.03,1.0,0.97,0.9,0.9,0.87,0.86,0.81,0.76,0.72,0.68,0.66,0.64,0.6,0.43,0.11,0.16,0.08,0.01,100.01
07/22/2021,13.49,13.19,12.53,5.92,4.7,4.25,3.54,3.26,3.18,3.16,3.06,2.38,1.71,1.61,1.69,1.5,1.42,1.36,1.19,1.21,1.13,1.16,1.09,1.03,1.01,0.98,0.91,0.92,0.87,0.85,0.82,0.75,0.72,0.69,0.67,0.63,0.6,0.43,0.11,0.17,0.08,0.01,99.98000000000002
07/23/2021,13.36,13.16,12.59,5.89,4.78,4.28,3.56,3.26,3.2,3.2,3.06,2.39,1.71,1.61,1.72,1.5,1.45,1.34,1.19,1.21,1.12,1.17,1.07,1.03,1.0,0.97,0.91,0.91,0.87,0.84,0.81,0.75,0.72,0.69,0.67,0.64,0.59,0.44,0.1,0.17,0.08,0.01,100.02
07/27/2021,13.36,13.09,12.65,5.93,4.85,4.28,3.57,3.24,3.26,3.21,2.92,2.4,1.81,1.65,1.72,1.49,1.45,1.31,1.15,1.19,1.1,1.16,1.07,1.03,1.03,0.97,0.9,0.9,0.85,0.85,0.8,0.75,0.7,0.7,0.66,0.63,0.57,0.44,0.11,0.16,0.07,0.01,99.99
07/29/2021,13.41,13.03,12.63,5.9,4.76,4.27,3.57,3.26,3.27,3.23,2.96,2.36,1.8,1.64,1.71,1.49,1.47,1.32,1.17,1.19,1.11,1.18,1.06,1.03,1.02,0.98,0.9,0.9,0.85,0.87,0.82,0.76,0.7,0.72,0.67,0.64,0.57,0.44,0.11,0.16,0.07,0.01,100.01
07/30/2021,13.43,13.06,12.68,5.89,4.68,4.29,3.58,3.27,3.29,3.25,3.0,2.31,1.76,1.65,1.69,1.48,1.48,1.33,1.19,1.19,1.11,1.18,1.05,1.03,1.03,0.98,0.9,0.89,0.85,0.86,0.81,0.75,0.7,0.72,0.67,0.64,0.56,0.44,0.11,0.16,0.07,0.01,100.02
08/02/2021,13.33,12.97,12.61,5.92,4.73,4.26,3.65,3.32,3.14,3.23,3.0,2.28,1.77,1.67,1.69,1.49,1.49,1.3,1.17,1.21,1.12,1.2,1.06,1.05,1.02,0.99,0.91,0.95,0.86,0.86,0.81,0.75,0.71,0.72,0.7,0.64,0.56,0.45,0.11,0.16,0.12,0.01,99.99
08/03/2021,13.34,12.96,12.6,5.91,4.66,4.29,3.63,3.34,3.14,3.24,3.01,2.29,1.76,1.68,1.68,1.49,1.49,1.3,1.17,1.22,1.11,1.19,1.06,1.06,1.03,0.99,0.91,0.96,0.86,0.86,0.81,0.76,0.71,0.73,0.71,0.64,0.56,0.45,0.11,0.16,0.13,0.01,100.01
08/04/2021,13.34,12.96,12.6,5.91,4.66,4.29,3.63,3.34,3.14,3.24,3.01,2.29,1.76,1.68,1.68,1.49,1.49,1.3,1.17,1.22,1.11,1.19,1.06,1.06,1.03,0.99,0.91,0.96,0.86,0.86,0.81,0.76,0.71,0.73,0.71,0.64,0.56,0.45,0.11,0.16,0.13,0.01,100.01
08/05/2021,13.34,12.96,12.6,5.91,4.66,4.29,3.63,3.34,3.14,3.24,3.01,2.29,1.76,1.68,1.68,1.49,1.49,1.3,1.17,1.22,1.11,1.19,1.06,1.06,1.03,0.99,0.91,0.96,0.86,0.86,0.81,0.76,0.71,0.73,0.71,0.64,0.56,0.45,0.11,0.16,0.13,0.01,100.01
08/06/2021,13.46,12.88,12.64,5.87,4.59,4.3,3.68,3.35,3.15,3.26,3.03,2.31,1.78,1.67,1.67,1.49,1.49,1.25,1.18,1.19,1.09,1.19,1.07,1.08,1.02,0.99,0.91,0.97,0.86,0.86,0.8,0.76,0.7,0.72,0.7,0.64,0.56,0.45,0.11,0.16,0.13,0.01,100.02
08/10/2021,13.33,12.74,12.55,5.91,4.78,4.27,3.64,3.31,3.14,3.22,2.97,2.39,1.79,1.69,1.74,1.48,1.51,1.25,1.16,1.18,1.09,1.23,1.08,1.1,1.02,1.04,0.91,0.95,0.87,0.87,0.8,0.77,0.71,0.73,0.7,0.63,0.56,0.46,0.14,0.16,0.11,0.01,99.99
08/11/2021,13.33,12.74,12.55,5.91,4.78,4.27,3.64,3.31,3.14,3.22,2.97,2.39,1.79,1.69,1.74,1.48,1.51,1.25,1.16,1.18,1.09,1.23,1.08,1.1,1.02,1.04,0.91,0.95,0.87,0.87,0.8,0.77,0.71,0.73,0.7,0.63,0.56,0.46,0.14,0.16,0.11,0.01,99.99
08/13/2021,13.34,12.8,12.76,5.68,4.68,4.29,3.65,3.32,3.16,3.23,3.0,2.44,1.78,1.7,1.74,1.48,1.51,1.25,1.17,1.18,1.08,1.2,1.08,1.09,1.01,1.04,0.91,0.96,0.86,0.86,0.8,0.78,0.7,0.73,0.68,0.63,0.55,0.45,0.17,0.16,0.09,0.01,100.0
08/16/2021,13.25,12.86,12.69,5.68,4.89,4.31,3.7,3.31,3.16,3.27,2.99,2.44,1.78,1.73,1.71,1.48,1.5,1.23,1.16,1.15,1.08,1.2,1.08,1.08,1.02,1.04,0.89,0.97,0.84,0.86,0.79,0.76,0.7,0.74,0.67,0.62,0.55,0.45,0.18,0.16,0.0,0.0,99.97
08/17/2021,13.2,12.88,12.6,5.71,4.88,4.31,3.71,3.33,3.16,3.27,2.99,2.46,1.79,1.74,1.71,1.49,1.51,1.23,1.16,1.16,1.08,1.21,1.08,1.09,1.03,1.03,0.89,0.97,0.84,0.86,0.8,0.76,0.7,0.74,0.67,0.62,0.56,0.45,0.01,0.16,0.16,0.01,100.01
08/19/2021,13.22,12.8,12.59,5.8,4.9,4.3,3.68,3.32,3.14,3.26,2.98,2.46,1.77,1.73,1.71,1.49,1.5,1.23,1.16,1.16,1.1,1.22,1.08,1.09,1.03,1.02,0.89,0.98,0.85,0.87,0.8,0.76,0.71,0.74,0.68,0.62,0.56,0.44,0.01,0.16,0.16,0.01,99.98
08/20/2021,13.29,12.82,12.59,5.79,4.82,4.31,3.7,3.32,3.12,3.25,3.01,2.4,1.76,1.71,1.68,1.5,1.51,1.24,1.16,1.17,1.11,1.22,1.08,1.1,1.03,1.03,0.9,0.99,0.86,0.86,0.81,0.75,0.71,0.74,0.68,0.62,0.56,0.45,0.05,0.16,0.12,0.01,99.99
08/23/2021,13.35,12.79,12.62,5.83,4.75,4.37,3.74,3.32,3.09,3.27,3.0,2.38,1.72,1.71,1.67,1.49,1.51,1.25,1.16,1.17,1.11,1.21,1.07,1.1,1.04,1.04,0.9,0.97,0.86,0.86,0.82,0.74,0.71,0.73,0.67,0.62,0.56,0.45,0.06,0.16,0.11,0.01,99.99
08/24/2021,13.3,12.72,12.59,5.77,4.77,4.35,3.73,3.31,3.09,3.3,2.99,2.43,1.73,1.7,1.68,1.5,1.51,1.26,1.16,1.18,1.12,1.22,1.08,1.1,1.04,1.05,0.91,0.98,0.87,0.87,0.82,0.75,0.71,0.74,0.67,0.63,0.56,0.46,0.06,0.16,0.11,0.01,99.99000000000002
08/25/2021,13.3,12.72,12.59,5.77,4.77,4.35,3.73,3.31,3.09,3.3,2.99,2.43,1.73,1.7,1.68,1.5,1.51,1.26,1.16,1.18,1.12,1.22,1.08,1.1,1.04,1.05,0.91,0.98,0.87,0.87,0.82,0.75,0.71,0.74,0.67,0.63,0.56,0.46,0.06,0.16,0.11,0.01,99.99000000000002
08/26/2021,13.27,12.7,12.58,5.73,4.78,4.36,3.76,3.32,3.09,3.32,2.99,2.46,1.76,1.72,1.69,1.49,1.52,1.25,1.16,1.17,1.11,1.22,1.08,1.1,1.03,1.05,0.91,0.98,0.87,0.86,0.82,0.75,0.71,0.74,0.67,0.62,0.56,0.45,0.06,0.16,0.11,0.01,99.99
08/27/2021,13.21,12.71,12.58,5.73,4.82,4.36,3.79,3.32,3.11,3.32,2.99,2.49,1.75,1.72,1.7,1.5,1.53,1.24,1.16,1.16,1.1,1.21,1.08,1.09,1.03,1.04,0.9,0.97,0.86,0.86,0.81,0.76,0.7,0.73,0.67,0.62,0.56,0.45,0.06,0.16,0.11,0.01,99.97
08/30/2021,13.37,12.78,12.62,5.75,4.74,4.39,3.8,3.33,3.12,3.31,3.01,2.46,1.73,1.73,1.67,1.51,1.53,1.23,1.17,1.13,1.09,1.19,1.06,1.07,1.03,1.05,0.88,0.96,0.85,0.85,0.81,0.75,0.7,0.72,0.66,0.62,0.55,0.45,0.07,0.16,0.1,0.01,100.01
08/31/2021,13.33,12.74,12.57,5.76,4.76,4.37,3.78,3.32,3.12,3.3,3.0,2.48,1.73,1.73,1.69,1.51,1.57,1.22,1.16,1.14,1.08,1.22,1.07,1.08,1.02,1.06,0.89,0.95,0.85,0.86,0.81,0.76,0.7,0.72,0.66,0.62,0.56,0.44,0.08,0.16,0.09,0.01,99.97
09/01/2021,13.33,12.74,12.57,5.76,4.76,4.37,3.78,3.32,3.12,3.3,3.0,2.48,1.73,1.73,1.69,1.51,1.57,1.22,1.16,1.14,1.08,1.22,1.07,1.08,1.02,1.06,0.89,0.95,0.85,0.86,0.81,0.76,0.7,0.72,0.66,0.62,0.56,0.44,0.08,0.16,0.09,0.01,99.97
09/02/2021,13.35,12.76,12.59,5.75,4.74,4.37,3.8,3.28,3.1,3.28,3.0,2.48,1.72,1.72,1.68,1.51,1.57,1.24,1.17,1.13,1.09,1.22,1.07,1.07,1.03,1.08,0.89,0.97,0.85,0.85,0.81,0.76,0.7,0.72,0.66,0.62,0.56,0.45,0.08,0.16,0.13,0.01,100.02
09/03/2021,13.31,12.75,12.58,5.74,4.71,4.38,3.82,3.29,3.11,3.27,3.0,2.49,1.73,1.72,1.68,1.51,1.58,1.24,1.17,1.13,1.08,1.23,1.07,1.08,1.02,1.08,0.88,0.97,0.85,0.85,0.81,0.76,0.71,0.72,0.66,0.62,0.56,0.45,0.08,0.16,0.15,0.01,100.01
09/06/2021,13.41,12.6,12.54,5.85,4.82,4.38,3.79,3.27,3.1,3.22,3.0,2.53,1.74,1.7,1.69,1.47,1.57,1.25,1.18,1.12,1.08,1.22,1.07,1.08,1.02,1.1,0.88,0.98,0.84,0.85,0.81,0.76,0.69,0.72,0.66,0.61,0.55,0.44,0.19,0.16,0.06,0.01,100.01
09/07/2021,13.45,12.58,12.54,5.88,4.85,4.37,3.78,3.27,3.08,3.18,3.0,2.53,1.74,1.7,1.69,1.47,1.57,1.25,1.17,1.12,1.09,1.22,1.06,1.08,1.01,1.08,0.88,0.98,0.84,0.85,0.81,0.75,0.7,0.72,0.66,0.61,0.56,0.44,0.19,0.16,0.07,0.01,99.99
