,MRW.L,SOF.BR,1113.HK,AD.AS,DPW.DE,KESKOB.HE,EQT.ST,J36.SI,16.HK,83.HK,1.HK,SBRY.L,868.HK,EMP.A.TO,BNR.DE,CA.PA,BT.A.L,688012.SS,MAERSK B.CO,BMW.DE,F34.SI,LOGN.SW,NHY.OL,KGF.L,BSL.AX,RIO.L,BATS.L,PAH3.DE,NN.AS,PSON.L,IMB.L,SGO.PA,AV.L,288.HK,UG,L.TO,VOLV B.ST,WN.TO,WPP.L,SRT3.,OMV.VI,VOW3.DE,VOD.L,1997.HK,669.HK,MG.TO,RBI.VI,EDF.PA,PUB.PA,HEI.DE,EN.PA,FMG.AX,ASM.AS,REP.MC,CNHI.MI,TIT.MI,DAI.DE,BBVA.MC,BAYN.DE,GLEN.L,NWG.L,FUTU,ANTO.L,KNIN.SW,BARC.L,GLE.PA,WSP.TO,UCG.MI,MRK.DE,BNP.PA,PNDORA.CO,ACA.PA,EVO.ST,O39.SI,AAL.L,EVR.L,SAN.MC,INDU A.ST,CARL B.CO,DBK.DE,ATO.PA,MT.AS,SGP.AX,TECK,GMG.AX,H78.SI,SHL.AX,TSCO.L,BMO.TO,9432.T,3382.T,7203.T,4901.T,1038.HK,REH.AX,IBE.MC,9101.T,688012.SS.1,CNP.PA,NIBE B.ST,6702.T,CBK.DE,MC.PA,C31.SI,MCY.NZ,BHC.TO,RNO.PA,DSV.CO,SOL.AX,ALC.SW,AGN.AS,8058.T,LUN.TO,BOL.PA,RITN.,8031.T,EDP.LS,9502.T,NTGY.MC,NPI.TO,FSV.TO,ASML.AS,SU.PA,8001.T,6178.T,TEVA,DEMANT.CO,ERF.PA,101.HK,1821.HK,REI.UN.TO,VER.VI,688012.SS.2,ICL.TA,SWGNF,7459.T,ABF.L,VIE.PA,III.L,2502.T,FORTUM.HE,388.HK,3003.T,SIE.DE,7751.T,8316.T,ENEL.MI,8053.T,8306.T,GN.CO,688012.SS.3,ORSTED.CO,8002.T,7267.T,6501.T,6701.T,SEV.PA,RF.PA,VOE.VI,3635.T,1878.T,3291.T,9503.T,SKF B.ST,CCO.TO,CAP.PA,DIM.PA,BHP.L,5201.T,1803.T,4183.T,19.HK,6370.T,ENR.DE,CTC.A.TO,9062.T,6902.T,8355.T,6201.T,7752.T,8309.T,TEF.MC,CCEP,ALA.TO,HUSQ B.ST,ENI.MI,7911.T,CS.PA,5020.T,1801.T,AHT.L,VWS.CO,DANSKE.CO,FRE.DE,4062.T,4005.T,1812.T,ISP.MI,1802.T,8593.T,FRGXX,MPFXX,STLA.MI,LSPDEUR,CFR.SW,FFH.TO,SJR.B.TO,SUM
07/09/2021,1.23,0.9,0.88,0.88,0.85,0.83,0.82,0.81,0.8,0.76,0.75,0.75,0.73,0.71,0.7,0.7,0.69,0.68,0.66,0.66,0.64,0.61,0.61,0.61,0.61,0.6,0.6,0.58,0.58,0.58,0.57,0.57,0.56,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.52000000000001
08/31/2021,1.27,0.9,0.88,0.87,0.84,0.82,0.77,0.82,0.8,0.75,0.76,0.75,0.75,0.7,0.7,0.69,0.69,0.0,0.66,0.66,0.65,0.61,0.6,0.61,0.6,0.61,0.6,0.58,0.57,0.58,0.57,0.56,0.56,0.56,0.0,0.53,0.54,0.53,0.52,0.52,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.48,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.48,0.47,0.47,0.48,0.47,0.47,0.52,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.43,0.44,0.41,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.41,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.38,0.0,0.37,0.37,0.37,0.37,0.36,0.37,0.35,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.0,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.31,0.32,0.31,0.32,0.31,0.3,0.0,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.0,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.3,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.0,1.45,0.96,0.54,0.36,0.34,0.31,0.3,84.84
09/01/2021,1.27,0.9,0.88,0.87,0.84,0.82,0.77,0.82,0.8,0.75,0.76,0.75,0.75,0.7,0.7,0.69,0.69,0.0,0.66,0.66,0.65,0.61,0.6,0.61,0.6,0.61,0.6,0.58,0.57,0.58,0.57,0.56,0.56,0.56,0.0,0.53,0.54,0.53,0.52,0.52,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.48,0.49,0.51,0.49,0.49,0.5,0.49,0.48,0.48,0.47,0.47,0.48,0.47,0.47,0.52,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.43,0.44,0.41,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.41,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.38,0.0,0.37,0.37,0.37,0.37,0.36,0.37,0.35,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.0,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.31,0.32,0.31,0.32,0.31,0.3,0.0,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.0,0.28,0.29,0.28,0.28,0.29,0.28,0.28,0.28,0.3,0.28,0.28,0.28,0.27,0.28,0.27,0.28,0.28,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.0,1.45,0.96,0.54,0.36,0.34,0.31,0.3,84.84
