,2EFA  220930C00000620,2EFA  220930P00078010,Cash&Other,2EFA  220930C00085810,2EFA  220930P00066310,SUM
10/15/2021,96.41,7.69,0.74,-1.55,-3.29,100.0
10/18/2021,97.59,6.36,0.73,-1.88,-2.81,99.99
10/19/2021,97.68,6.5,0.72,-2.31,-2.59,100.0
10/20/2021,97.68,6.5,0.72,-2.31,-2.59,100.0
10/21/2021,97.69,6.37,0.72,-2.06,-2.71,100.01
10/22/2021,98.01,6.07,0.72,-2.32,-2.47,100.01000000000002
10/25/2021,97.99,6.12,0.71,-2.68,-2.15,99.98999999999998
10/26/2021,98.03,6.01,0.7,-2.65,-2.09,100.0
10/27/2021,98.03,6.01,0.7,-2.65,-2.09,100.0
10/28/2021,97.69,5.78,0.7,-2.52,-1.65,100.0
10/29/2021,98.46,5.72,0.7,-2.43,-2.45,100.0
11/01/2021,99.03,5.28,0.69,-2.84,-2.16,100.0
11/02/2021,98.24,5.5,0.69,-2.39,-2.04,100.0
11/03/2021,98.24,5.5,0.69,-2.39,-2.04,100.0
11/04/2021,98.85,5.34,0.68,-2.66,-2.22,99.99
11/05/2021,98.64,5.5,0.68,-2.61,-2.21,100.0
11/08/2021,99.08,5.21,0.67,-2.8,-2.16,100.0
11/09/2021,99.04,4.87,0.67,-2.43,-2.14,100.01
11/10/2021,99.04,4.87,0.67,-2.43,-2.14,100.01
11/11/2021,99.17,5.19,0.66,-2.83,-2.2,99.99
11/12/2021,99.12,5.24,0.66,-2.83,-2.19,100.0
11/15/2021,98.31,5.52,0.65,-2.57,-1.92,99.99
11/16/2021,98.63,5.1,0.65,-2.43,-1.96,99.99
11/17/2021,98.63,5.1,0.65,-2.43,-1.96,99.99
11/18/2021,99.06,4.87,0.65,-2.35,-2.24,99.99000000000002
11/19/2021,98.44,5.55,0.65,-2.47,-2.17,100.0
11/22/2021,98.57,5.63,0.65,-2.62,-2.23,100.0
11/23/2021,98.57,5.63,0.65,-2.62,-2.23,99.99999999999999
