,IVV,IJH,IJR,IEFA,IYR,IEMG,Us Dollars,iShares US Real Estate ETF,n/a,SUM
07/09/2021,28.46,18.12,15.92,15.89,11.13,9.58,0.89,0.0,0.0,99.99
07/12/2021,28.73,18.0,15.65,15.91,11.44,9.38,0.89,0.0,0.0,100.0
07/13/2021,28.73,18.0,15.65,15.91,11.44,9.38,0.89,0.0,0.0,100.0
07/14/2021,28.55,18.08,15.78,15.93,11.42,9.37,0.88,0.0,0.0,100.01
07/15/2021,28.54,18.06,15.79,15.93,11.46,9.35,0.87,0.0,0.0,100.0
07/16/2021,28.71,17.95,15.64,15.99,11.4,9.44,0.88,0.0,0.0,100.01
07/19/2021,29.14,18.99,16.93,14.51,0.0,9.77,0.88,9.77,0.0,99.99
07/20/2021,29.16,18.9,16.82,14.52,0.0,9.77,0.98,9.85,0.0,100.0
07/21/2021,29.16,18.9,16.82,14.52,0.0,9.77,0.98,9.85,0.0,100.0
07/22/2021,29.16,18.9,16.82,14.52,0.0,9.77,0.98,9.85,0.0,100.0
07/23/2021,29.21,18.89,16.78,14.49,0.0,9.78,0.99,9.85,0.0,99.98999999999998
07/26/2021,29.25,19.03,16.85,14.51,0.0,9.67,0.94,9.75,0.0,100.0
07/27/2021,29.35,19.07,16.87,14.52,0.0,9.48,0.94,9.77,0.0,100.0
07/28/2021,29.35,19.07,16.87,14.52,0.0,9.48,0.94,9.77,0.0,100.0
07/29/2021,29.4,19.07,17.01,14.52,0.0,9.31,0.94,9.75,0.0,100.0
07/30/2021,29.43,19.07,16.94,14.56,0.0,9.18,0.93,9.88,0.0,99.99
08/02/2021,29.2,19.18,17.1,14.55,0.0,9.34,0.92,9.72,0.0,100.01
08/03/2021,29.2,19.18,17.1,14.55,0.0,9.34,0.92,9.72,0.0,100.01
08/04/2021,29.2,19.18,17.1,14.55,0.0,9.34,0.92,9.72,0.0,100.01
08/05/2021,29.2,19.18,17.1,14.55,0.0,9.34,0.92,9.72,0.0,100.01
