,AAPL,MSFT,AMZN,AVGO,ABBV,VZ,HD,MA,PEP,LLY,COST,ACN,UNP,TXN,KO,PG,AMGN,QCOM,UPS,LMT,TGT,IBM,ORCL,NKE,DE,OXY,AMAT,CAT,AXP,LOW,MMM,ADP,NUE,KR,GILD,CTAS,ROST,LYB,TJX,CHTR,MO,LULU,AMP,SPGI,DFS,AON,WM,TSCO,ZTS,MRNA,SHW,GWW,URI,ITW,LRCX,ABC,DAL,DG,ROK,BBY,MTD,CL,MCO,ULTA,K,DOW,HOLX,CDW,ORLY,JBHT,STLD,CAH,IT,SYY,KLAC,PAYX,TER,EL,CCK,STX,POOL,BR,KMB,HCA,ADSK,MAR,WSM,BAH,LPLA,CLF,FDS,HSY,OMC,AMD,FTNT,RHI,AVY,DVA,NVR,DRI,IDXX,NTAP,CHRW,WHR,TEAM,BURL,CLX,NRG,ETSY,SCI,WAT,TTC,ROL,ALLE,SEE,LW,DELL,ACI,SCCO,WMG,CHWY,V,CSX,BMY,UI,ADBE,REGN,DVN,NXPI,BALL,CMG,EXPD,FLT,BX,VFC,FAST,CE,SYF,OVV,BLDR,TPL,ENPH,LUMN,GDDY,COP,JBL,BJ,OLN,JKHY,CLR,EQH,SWN,BKNG,SUM
04/14/2022,4.38,4.35,4.21,2.83,2.83,2.59,2.54,2.42,2.33,2.3,2.17,1.86,1.8,1.79,1.54,1.42,1.41,1.4,1.38,1.35,1.33,1.33,1.3,1.3,1.29,1.27,1.24,1.22,1.2,1.04,1.03,0.98,0.95,0.95,0.94,0.93,0.85,0.84,0.82,0.81,0.8,0.75,0.72,0.7,0.7,0.69,0.67,0.65,0.65,0.63,0.61,0.59,0.58,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.52,0.5,0.5,0.49,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.39,0.39,0.39,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.17,0.17,0.15,0.14,0.14,0.06,0.06,0.06,0.06,0.03,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
06/22/2022,4.4,4.73,2.92,2.96,2.88,2.73,2.41,2.75,2.56,2.71,1.62,1.92,1.96,2.04,1.49,1.21,1.52,1.7,1.73,1.46,1.08,1.69,1.18,1.37,1.28,1.23,1.19,1.45,1.2,0.65,1.08,1.06,0.93,0.94,1.12,0.72,0.9,1.08,0.98,0.8,0.74,0.65,0.77,0.24,0.88,0.7,0.22,0.76,0.22,0.63,0.68,0.57,0.71,0.67,0.32,0.81,0.68,0.23,0.52,0.57,0.65,0.81,0.42,0.56,0.72,0.45,0.47,0.68,0.14,0.59,0.17,0.39,0.31,0.54,0.15,0.14,0.51,0.45,0.11,0.54,0.32,0.2,0.21,0.34,0.14,0.15,0.29,0.42,0.15,0.07,0.26,0.1,0.36,0.25,0.12,0.34,0.11,0.16,0.09,0.12,0.14,0.12,0.09,0.27,0.06,0.11,0.09,0.12,0.25,0.35,0.12,0.19,0.24,0.18,0.09,0.06,0.08,0.02,0.02,0.02,0.01,0.85,0.12,0.66,0.01,0.22,0.12,0.11,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.0,99.98
07/03/2022,4.52,4.83,2.9,2.81,3.14,2.75,2.38,2.77,2.63,2.94,1.63,1.89,1.97,2.03,1.54,1.27,1.54,1.79,1.78,1.46,1.07,1.7,1.17,1.27,1.15,1.27,1.19,1.34,1.12,0.63,1.06,1.1,0.78,0.96,1.16,0.75,0.86,1.04,0.98,0.81,0.66,0.64,0.78,0.22,0.88,0.73,0.21,0.79,0.21,0.68,0.67,0.58,0.7,0.67,0.28,0.83,0.67,0.21,0.46,0.51,0.68,0.87,0.39,0.55,0.76,0.42,0.49,0.68,0.13,0.61,0.14,0.41,0.28,0.58,0.14,0.12,0.52,0.48,0.1,0.54,0.31,0.19,0.2,0.34,0.13,0.12,0.27,0.45,0.15,0.06,0.29,0.09,0.31,0.21,0.11,0.34,0.1,0.14,0.08,0.11,0.14,0.11,0.08,0.29,0.06,0.09,0.09,0.11,0.24,0.36,0.11,0.18,0.26,0.19,0.08,0.06,0.07,0.02,0.02,0.01,0.02,0.89,0.1,0.68,0.01,0.26,0.11,0.09,0.1,0.07,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.08,0.02,0.03,0.02,0.02,0.01,0.02,0.0,0.02,100.05000000000001
