,B 0 08/26/21,2021-08-31 SPDR Gold Trust C 169.46,US Dollar,2021-08-31 SPDR Gold Trust P 151.62,2021-08-31 SPDR Gold Trust C 185.41,CMBR 0 08/26/21,SUM
07/09/2021,97.98,1.91,0.55,-0.21,-0.23,0.0,100.0
07/12/2021,0.0,2.14,0.55,-0.16,-0.24,97.71,100.0
07/13/2021,0.0,2.14,0.55,-0.16,-0.24,97.71,100.0
07/14/2021,0.0,2.14,0.55,-0.16,-0.24,97.71,100.0
07/15/2021,0.0,2.02,0.55,-0.15,-0.21,97.79,100.0
07/16/2021,0.0,2.07,0.55,-0.14,-0.21,97.74,100.00999999999999
