,AMZN,TSLA,HD,NKE,MCD,LOW,SBUX,TGT,BKNG,TJX,GM,F,DG,ROST,EBAY,CMG,APTV,ORLY,MAR,HLT,YUM,AZO,DHI,LEN,VFC,ETSY,BBY,EXPE,DLTR,GRMN,KMX,TSCO,CZR,CCL,DRI,ULTA,POOL,DPZ,GPC,RCL,NVR,LB,LVS,MGM,PHM,LKQ,AAP,WHR,WYNN,HAS,TPR,BWA,MHK,PENN,NCLH,NWL,PVH,LEG,GPS,HBI,RL,UAA,Under Armour Inc. Class C,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,UA,4282.T,SINA,BBWI WI,Victoria's Secret & Company,VSCO WI,LBEUR,GVMXX,SSIXX,n/a,SUM
07/09/2021,24.11,12.91,8.62,4.54,4.47,3.54,3.51,3.12,2.35,2.11,1.89,1.46,1.33,1.16,1.15,1.13,1.1,1.04,0.96,0.9,0.89,0.86,0.77,0.71,0.68,0.65,0.63,0.6,0.59,0.57,0.56,0.55,0.53,0.51,0.5,0.5,0.48,0.48,0.47,0.47,0.46,0.44,0.44,0.43,0.37,0.35,0.35,0.35,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.2,0.17,0.17,0.16,0.14,0.1,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,24.56,12.82,8.63,4.57,4.49,3.52,3.53,3.17,2.29,2.08,1.85,1.42,1.34,1.12,1.15,1.15,1.06,1.05,0.95,0.89,0.9,0.86,0.75,0.7,0.67,0.64,0.62,0.59,0.59,0.57,0.56,0.55,0.51,0.49,0.49,0.47,0.49,0.48,0.47,0.45,0.45,0.43,0.43,0.42,0.36,0.36,0.35,0.36,0.3,0.32,0.29,0.29,0.29,0.28,0.26,0.26,0.19,0.17,0.17,0.16,0.14,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,24.56,12.82,8.63,4.57,4.49,3.52,3.53,3.17,2.29,2.08,1.85,1.42,1.34,1.12,1.15,1.15,1.06,1.05,0.95,0.89,0.9,0.86,0.75,0.7,0.67,0.64,0.62,0.59,0.59,0.57,0.56,0.55,0.51,0.49,0.49,0.47,0.49,0.48,0.47,0.45,0.45,0.43,0.43,0.42,0.36,0.36,0.35,0.36,0.3,0.32,0.29,0.29,0.29,0.28,0.26,0.26,0.19,0.17,0.17,0.16,0.14,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,24.24,12.78,8.64,4.54,4.5,3.53,3.54,3.14,2.3,2.11,1.92,1.45,1.33,1.14,1.15,1.15,1.08,1.06,0.97,0.9,0.9,0.87,0.75,0.7,0.68,0.63,0.63,0.61,0.59,0.57,0.56,0.55,0.52,0.5,0.5,0.48,0.49,0.47,0.48,0.46,0.44,0.44,0.43,0.43,0.36,0.36,0.36,0.36,0.31,0.32,0.3,0.29,0.3,0.28,0.26,0.26,0.2,0.17,0.17,0.16,0.14,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,24.07,13.25,8.58,4.53,4.46,3.51,3.54,3.17,2.3,2.09,1.91,1.45,1.32,1.12,1.13,1.15,1.09,1.05,0.96,0.89,0.89,0.87,0.74,0.69,0.68,0.63,0.63,0.6,0.58,0.57,0.56,0.55,0.52,0.48,0.5,0.48,0.48,0.47,0.48,0.45,0.43,0.46,0.43,0.43,0.36,0.36,0.35,0.36,0.3,0.32,0.3,0.29,0.3,0.28,0.26,0.26,0.19,0.17,0.17,0.16,0.14,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,24.09,13.07,8.55,4.58,4.53,3.53,3.62,3.2,2.31,2.1,1.93,1.45,1.34,1.12,1.14,1.16,1.09,1.06,0.95,0.88,0.9,0.87,0.73,0.68,0.68,0.62,0.63,0.59,0.58,0.57,0.55,0.55,0.52,0.47,0.5,0.48,0.49,0.48,0.47,0.44,0.42,0.45,0.43,0.43,0.35,0.36,0.35,0.35,0.3,0.32,0.3,0.29,0.29,0.27,0.25,0.26,0.19,0.17,0.17,0.16,0.14,0.1,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,23.97,12.82,8.77,4.62,4.58,3.58,3.63,3.24,2.31,2.13,1.88,1.42,1.36,1.14,1.14,1.15,1.08,1.08,0.96,0.89,0.9,0.89,0.74,0.69,0.66,0.6,0.65,0.58,0.59,0.58,0.55,0.56,0.51,0.45,0.49,0.48,0.48,0.49,0.48,0.42,0.43,0.45,0.42,0.41,0.35,0.36,0.35,0.36,0.29,0.31,0.29,0.29,0.29,0.26,0.23,0.27,0.19,0.17,0.16,0.16,0.14,0.1,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/20/2021,23.88,12.85,8.85,4.62,4.59,3.63,3.67,3.26,2.31,2.13,1.86,1.4,1.38,1.12,1.16,1.15,1.06,1.1,0.95,0.87,0.9,0.91,0.74,0.69,0.65,0.61,0.65,0.58,0.6,0.59,0.56,0.57,0.49,0.44,0.49,0.48,0.48,0.49,0.48,0.42,0.43,0.45,0.41,0.4,0.35,0.36,0.35,0.36,0.29,0.32,0.29,0.29,0.29,0.26,0.22,0.27,0.18,0.17,0.15,0.16,0.14,0.1,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/21/2021,23.87,12.84,8.84,4.62,4.58,3.63,3.67,3.26,2.31,2.13,1.86,1.4,1.38,1.12,1.16,1.15,1.06,1.1,0.95,0.87,0.9,0.9,0.74,0.69,0.65,0.61,0.65,0.58,0.6,0.59,0.56,0.57,0.49,0.44,0.49,0.48,0.48,0.49,0.48,0.42,0.43,0.5,0.41,0.4,0.35,0.36,0.35,0.36,0.29,0.32,0.29,0.29,0.29,0.26,0.22,0.27,0.18,0.17,0.15,0.16,0.14,0.1,0.09,0.05,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,23.88,12.85,8.85,4.62,4.59,3.63,3.67,3.26,2.31,2.13,1.86,1.4,1.38,1.12,1.16,1.15,1.06,1.1,0.95,0.87,0.9,0.91,0.74,0.69,0.65,0.61,0.65,0.58,0.6,0.59,0.56,0.57,0.49,0.44,0.49,0.48,0.48,0.49,0.48,0.42,0.43,0.45,0.41,0.4,0.35,0.36,0.35,0.36,0.29,0.32,0.29,0.29,0.29,0.26,0.22,0.27,0.18,0.17,0.15,0.16,0.14,0.1,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
