,BBY,AMZN,SPOT,DAN,UBER,ABNB,DE,AAPL,FB,WHR,CRWD,TWLO,OKTA,GXO,SNOW,NVDA,SQ,MCG,TSLA,U,n/a,GOOGL,PANW,BLDE,MSFT,MU,AMD,SUM
02/04/2022,10.68,9.78,6.98,6.58,5.96,5.9,5.85,5.01,4.78,4.64,3.7,3.69,3.65,3.59,3.54,3.53,3.5,3.22,3.19,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
02/07/2022,8.96,7.95,5.44,5.85,4.93,5.21,4.9,4.29,3.18,3.93,3.15,2.98,3.05,3.11,3.02,3.12,2.71,2.52,2.84,1.84,17.03,0.0,0.0,0.0,0.0,0.0,0.0,100.01
02/08/2022,7.65,7.73,5.08,4.85,4.53,4.64,4.18,3.66,2.71,3.3,2.8,2.72,2.7,2.66,2.78,2.72,2.49,2.21,2.51,1.85,26.24,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
02/09/2022,7.65,7.73,5.08,4.85,4.53,4.64,4.18,3.66,2.71,3.3,2.8,2.72,2.7,2.66,2.78,2.72,2.49,2.21,2.51,1.85,26.24,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
02/10/2022,8.58,8.41,6.3,5.14,5.38,5.39,4.47,3.88,2.73,3.48,3.23,3.25,3.17,2.93,3.34,3.23,2.54,2.88,3.1,3.07,15.51,0.0,0.0,0.0,0.0,0.0,0.0,100.01
02/11/2022,9.16,9.01,6.38,5.69,5.75,5.81,4.91,4.14,2.81,3.65,3.38,3.46,3.36,3.11,3.51,3.44,2.65,3.12,3.3,3.27,10.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/14/2022,9.13,8.75,6.36,5.6,5.59,6.07,4.88,4.02,2.86,3.58,3.5,3.53,3.42,3.1,3.67,3.48,2.78,3.17,3.19,3.38,9.94,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/15/2022,9.41,8.69,6.33,5.43,5.38,6.06,5.02,4.05,2.84,3.62,3.49,3.38,3.44,3.12,3.57,3.33,2.84,3.18,3.13,3.44,10.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/16/2022,9.41,8.69,6.33,5.43,5.38,6.06,5.02,4.05,2.84,3.62,3.49,3.38,3.44,3.12,3.57,3.33,2.84,3.18,3.13,3.44,10.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/17/2022,9.41,8.69,6.33,5.43,5.38,6.06,5.02,4.05,2.84,3.62,3.49,3.38,3.44,3.12,3.57,3.33,2.84,3.18,3.13,3.44,10.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
02/18/2022,9.24,8.57,6.35,5.63,5.46,6.33,4.86,4.01,2.76,3.65,3.51,3.41,3.39,3.04,3.52,3.56,2.93,3.25,3.24,3.39,9.89,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
02/21/2022,9.46,9.02,6.26,6.02,5.53,6.81,5.03,4.19,2.78,3.91,3.33,3.06,3.16,3.26,3.55,3.46,2.82,3.28,3.21,3.06,8.81,0.0,0.0,0.0,0.0,0.0,0.0,100.01
02/22/2022,9.36,8.89,5.98,5.93,5.37,6.48,4.87,4.15,2.75,3.9,3.23,2.84,3.0,3.14,3.39,3.34,2.64,3.02,3.13,2.96,11.65,0.0,0.0,0.0,0.0,0.0,0.0,100.02
03/08/2022,10.77,8.8,5.61,0.0,5.01,5.74,5.14,4.21,0.0,4.08,3.82,2.88,3.12,3.06,2.83,3.42,3.16,2.85,4.13,3.82,10.54,4.05,2.99,0.0,0.0,0.0,0.0,100.02999999999996
03/16/2022,9.87,10.07,5.31,0.0,5.18,5.86,5.59,4.18,0.0,3.85,4.06,2.59,3.05,2.77,2.44,3.4,3.0,2.73,4.18,3.38,11.25,4.2,3.04,0.0,0.0,0.0,0.0,100.0
04/21/2022,9.4,10.19,5.83,0.0,5.16,7.34,5.12,4.29,0.0,0.0,4.62,3.13,2.96,0.0,3.18,3.72,3.39,2.77,5.07,3.93,9.78,4.31,4.77,1.03,0.0,0.0,0.0,99.98999999999998
05/30/2022,5.38,10.79,2.99,0.0,4.8,7.18,5.19,4.78,0.0,0.0,4.09,3.07,2.47,0.0,3.44,3.04,3.03,4.08,4.56,2.21,9.68,4.65,3.39,0.97,3.86,3.33,3.01,99.99
