,SHOP,BABA,3690.HK,700.HK,SE,NPN.JO,ADYEN.AS,JD,035420.KS,BIDU,NTES,Kakao Corp.,PDD,Prosus NV,TEAM,2413.T,SPOT,DHER.DE,BILI,YNDX,ZAL.DE,APT.AX,1024.HK,WIX,OCDO.L,TCOM,Entain PLC,HFG.DE,Z Holdings Corporation,036570.KS,XRO.AX,PAGS,4755.T,3659.T,AUTO.L,Rightmove Plc,G24.DE,VIPS,1833.HK,TMV.DE,US Dollar,SUM
07/09/2021,10.48,9.69,9.41,9.05,6.11,5.14,4.55,3.92,3.16,3.08,2.65,2.54,2.39,2.38,2.19,1.88,1.88,1.58,1.42,1.37,1.25,1.23,1.13,1.01,0.96,0.96,0.91,0.91,0.81,0.72,0.72,0.69,0.61,0.6,0.52,0.48,0.47,0.45,0.39,0.36,-0.05,100.0
07/12/2021,10.38,9.61,9.24,8.88,6.23,5.15,4.71,4.06,3.21,3.04,2.67,2.59,2.4,2.39,2.23,1.82,1.91,1.62,1.43,1.39,1.25,1.28,1.03,1.02,0.99,0.91,0.94,0.89,0.81,0.69,0.75,0.66,0.64,0.58,0.53,0.48,0.47,0.46,0.38,0.33,-0.04,100.01
07/13/2021,10.38,9.61,9.24,8.88,6.23,5.15,4.71,4.06,3.21,3.04,2.67,2.59,2.4,2.39,2.23,1.82,1.91,1.62,1.43,1.39,1.25,1.28,1.03,1.02,0.99,0.91,0.94,0.89,0.81,0.69,0.75,0.66,0.64,0.58,0.53,0.48,0.47,0.46,0.38,0.33,-0.04,100.01
