,IVV,YSS.V,YSS.V.1,YSS.V.2,YSS.V.3,YSS.V.4,YSS.V.5,SPY 12/16/22 P225 Equity,SPY 09/16/22 P210 Equity,SPX 06/17/22 P2000 Index,SPX 03/18/22 P2000 Index,SPXW 10/13/21 P4210 Index,SPX 12/17/21 P1800 Index,n/a,SPY 09/16/22 P185 Equity,SPXW 10/20/21 P4260 Index,SPXW 10/27/21 P4390 Index,SPXW 11/03/21 P4475 Index,SPY 11/19/21 P445 Equity,SPXW 12/03/21 P4465 Index,SUM
07/09/2021,99.41,0.26,0.17,0.12,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/14/2021,99.08,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.41,0.15,0.06,0.01,0.01,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,100.01
10/15/2021,99.09,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.41,0.15,0.06,0.0,0.01,-0.06,-0.24,0.1,0.0,0.0,0.0,0.0,100.0
10/18/2021,99.24,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.35,0.12,0.05,0.0,0.0,0.01,-0.2,0.01,0.0,0.0,0.0,0.0,99.98999999999998
10/19/2021,99.24,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.35,0.12,0.05,0.0,0.0,0.01,-0.2,0.01,0.0,0.0,0.0,0.0,99.98999999999998
10/20/2021,99.24,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.35,0.12,0.05,0.0,0.0,0.01,-0.2,0.01,0.0,0.0,0.0,0.0,99.98999999999998
10/21/2021,99.25,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.35,0.13,0.05,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,99.32,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.33,0.12,0.04,0.0,0.0,-0.05,-0.22,0.0,0.05,0.0,0.0,0.0,99.99
10/25/2021,99.33,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.32,0.11,0.04,0.0,0.0,0.03,-0.21,0.0,0.01,0.0,0.0,0.0,100.0
10/26/2021,99.33,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.32,0.11,0.04,0.0,0.0,0.03,-0.21,0.0,0.01,0.0,0.0,0.0,100.0
10/27/2021,99.32,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.32,0.11,0.04,0.0,0.0,0.03,-0.21,0.0,0.01,0.0,0.0,0.0,99.99
10/28/2021,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.29,0.1,0.03,0.0,0.0,0.03,-0.19,0.0,0.0,0.0,0.0,0.0,99.99
10/29/2021,99.39,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.28,0.1,0.04,0.0,0.0,-0.08,-0.19,0.0,0.0,0.11,0.0,0.0,100.0
11/01/2021,99.31,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.29,0.1,0.04,0.0,0.0,0.05,-0.19,0.0,0.0,0.05,0.0,0.0,100.0
11/02/2021,99.31,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.29,0.1,0.04,0.0,0.0,0.05,-0.19,0.0,0.0,0.05,0.0,0.0,100.0
11/03/2021,99.35,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.29,0.1,0.04,0.0,0.0,0.05,-0.19,0.0,0.0,0.02,0.0,0.0,100.0
11/04/2021,99.39,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.27,0.1,0.03,0.0,0.0,0.04,-0.18,0.0,0.0,0.01,0.0,0.0,99.99
11/05/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.27,0.09,0.03,0.0,0.0,0.04,-0.17,0.0,0.0,0.0,0.0,0.0,100.0
11/08/2021,99.44,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.26,0.09,0.03,0.0,0.0,0.03,-0.17,0.0,0.0,0.0,0.0,0.0,99.99
11/09/2021,99.44,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.26,0.09,0.03,0.0,0.0,0.03,-0.17,0.0,0.0,0.0,0.0,0.0,99.99
11/10/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.27,0.1,0.03,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.04,0.0,100.0
11/11/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.27,0.1,0.03,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.03,0.0,100.0
11/12/2021,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.28,0.1,0.04,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.03,0.0,99.99
11/15/2021,99.39,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.1,0.04,0.0,0.0,0.03,-0.2,0.0,0.0,0.0,0.02,0.0,100.0
11/16/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.28,0.1,0.03,0.0,0.0,0.03,-0.19,0.0,0.0,0.0,0.01,0.0,100.0
11/17/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.28,0.1,0.03,0.0,0.0,0.03,-0.19,0.0,0.0,0.0,0.01,0.0,100.0
11/18/2021,99.43,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.28,0.1,0.03,0.0,0.0,0.03,-0.19,0.0,0.0,0.0,0.0,0.0,100.0
11/19/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.1,0.03,0.0,0.0,0.03,-0.19,0.0,0.0,0.0,0.0,0.0,100.01
11/22/2021,99.37,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.32,0.11,0.03,0.0,0.0,0.03,-0.22,0.0,0.0,0.0,0.0,0.0,100.0
11/23/2021,99.37,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.32,0.11,0.03,0.0,0.0,0.03,-0.22,0.0,0.0,0.0,0.0,0.0,100.0
11/24/2021,99.39,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.31,0.11,0.03,0.0,0.0,-0.01,-0.21,0.0,0.0,0.0,0.0,0.03,100.0
11/25/2021,99.36,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.32,0.11,0.04,0.0,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.04,100.01
11/26/2021,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.31,0.11,0.03,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.03,100.0
11/29/2021,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.29,0.1,0.03,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.02,100.0
