,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,KO,ABT,T,PEP,CVX,NKE,ABBV,TMO,MRK,ACN,WMT,AVGO,WFC,LLY,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,UPS,LIN,BMY,UNP,ORCL,C,NEE,AMGN,LOW,MS,INTU,SBUX,RTX,BA,GS,BLK,AMAT,IBM,AMT,TGT,CAT,GE,MMM,AMD,ISRG,DE,AXP,NOW,SCHW,CVS,CHTR,SPGI,ANTM,SQ,LMT,BKNG,ZTS,FIS,MU,LRCX,PLD,MDLZ,MO,SYK,GILD,TMUS,ADP,CCI,COP,ZM,TJX,PNC,CI,USB,DUK,CME,UBER,TFC,GM,CSX,EL,ATVI,FDX,CB,MMC,BDX,EQIX,MRNA,COF,ILMN,CL,NSC,ICE,BX,EW,SHW,ADSK,SO,FISV,ITW,APD,SNAP,TWLO,ADI,BSX,REGN,ETN,D,MCO,F,EMR,HUM,PGR,GPN,HCA,NXPI,IDXX,NOC,TWTR,WM,FCX,DOCU,AON,ECL,BIIB,VRTX,DG,S+p500 Emini Fut Sep21 Xcme 20210917,NEM,CRWD,EOG,ROP,JCI,ROKU,KLAC,IQV,DOW,MRVL,PSA,TROW,SLB,TEL,KMB,EBAY,WDAY,A,ROST,MET,LHX,ALGN,TT,MSCI,CMG,EXC,LULU,VEEV,MTCH,PINS,GD,APTV,CNC,INFO,AEP,SNPS,SPG,SRE,DLR,DD,APH,DXCM,3296.T,BAX,EA,ORLY,AIG,039200.KQ,CARR,BK,CDNS,GE.,PRU,FTNT,MCHP,011790.KS,RMD,3443.TW,n/a,PANW,SUM
07/09/2021,5.25,5.0,3.6,2.03,1.8,1.75,1.26,1.25,1.22,1.13,1.06,0.96,0.92,0.82,0.82,0.8,0.78,0.77,0.74,0.68,0.64,0.64,0.57,0.56,0.55,0.55,0.54,0.53,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.46,0.46,0.46,0.45,0.44,0.42,0.42,0.42,0.42,0.41,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.19
07/12/2021,5.41,5.03,3.78,2.01,1.82,1.77,1.26,1.19,1.21,1.11,1.06,0.97,0.93,0.82,0.83,0.8,0.78,0.75,0.72,0.69,0.64,0.61,0.57,0.56,0.55,0.54,0.54,0.53,0.5,0.51,0.49,0.49,0.48,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.43,0.45,0.42,0.43,0.42,0.42,0.41,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.37,0.34,0.35,0.33,0.33,0.32,0.33,0.33,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.12,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4
07/13/2021,5.41,5.03,3.78,2.01,1.82,1.77,1.26,1.19,1.21,1.11,1.06,0.97,0.93,0.82,0.83,0.8,0.78,0.75,0.72,0.69,0.64,0.61,0.57,0.56,0.55,0.54,0.54,0.53,0.5,0.51,0.49,0.49,0.48,0.49,0.49,0.49,0.48,0.47,0.46,0.46,0.43,0.45,0.42,0.43,0.42,0.42,0.41,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.37,0.34,0.35,0.33,0.33,0.32,0.33,0.33,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.28,0.26,0.27,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.12,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4
07/16/2021,5.45,5.05,3.76,2.01,1.83,1.78,1.26,1.23,1.2,1.12,1.06,0.98,0.94,0.8,0.84,0.8,0.8,0.8,0.72,0.69,0.63,0.62,0.57,0.55,0.54,0.55,0.54,0.53,0.51,0.5,0.48,0.5,0.48,0.49,0.5,0.48,0.47,0.47,0.46,0.47,0.43,0.45,0.42,0.43,0.42,0.42,0.41,0.38,0.36,0.37,0.36,0.36,0.36,0.35,0.38,0.34,0.35,0.34,0.33,0.33,0.33,0.34,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.3,0.28,0.27,0.28,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.23,0.24,0.23,0.23,0.22,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.52
07/19/2021,5.58,5.07,3.73,1.98,1.83,1.79,1.27,1.2,1.13,1.13,1.06,1.01,0.95,0.82,0.83,0.82,0.82,0.8,0.7,0.69,0.64,0.6,0.58,0.56,0.53,0.54,0.54,0.54,0.52,0.5,0.49,0.51,0.47,0.49,0.5,0.48,0.47,0.48,0.47,0.47,0.45,0.44,0.42,0.44,0.42,0.43,0.4,0.38,0.37,0.39,0.37,0.36,0.36,0.35,0.38,0.34,0.36,0.34,0.33,0.33,0.33,0.34,0.31,0.29,0.3,0.3,0.29,0.3,0.31,0.3,0.28,0.27,0.28,0.25,0.27,0.26,0.27,0.26,0.25,0.26,0.23,0.24,0.23,0.22,0.22,0.21,0.23,0.22,0.21,0.21,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.18,0.2,0.19,0.19,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.19,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.14,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71000000000001
07/20/2021,5.54,5.1,3.69,1.97,1.84,1.81,1.27,1.2,1.09,1.11,1.07,1.01,0.95,0.82,0.83,0.83,0.82,0.79,0.69,0.7,0.64,0.59,0.57,0.56,0.53,0.54,0.55,0.54,0.53,0.5,0.49,0.52,0.46,0.49,0.5,0.49,0.48,0.48,0.47,0.46,0.44,0.45,0.41,0.44,0.42,0.44,0.41,0.38,0.37,0.39,0.37,0.36,0.36,0.35,0.38,0.33,0.37,0.34,0.33,0.33,0.33,0.34,0.31,0.29,0.3,0.3,0.28,0.3,0.31,0.3,0.27,0.27,0.28,0.25,0.27,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.23,0.22,0.2,0.2,0.23,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.21,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.13,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.0,0.12,0.12,0.1,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.14,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73
07/21/2021,5.54,5.1,3.69,1.97,1.84,1.81,1.27,1.2,1.09,1.11,1.07,1.01,0.95,0.82,0.83,0.83,0.82,0.79,0.69,0.7,0.64,0.59,0.57,0.56,0.53,0.54,0.55,0.54,0.53,0.5,0.49,0.52,0.46,0.49,0.5,0.49,0.48,0.48,0.47,0.46,0.44,0.45,0.41,0.44,0.42,0.44,0.41,0.38,0.37,0.39,0.37,0.36,0.36,0.35,0.38,0.33,0.37,0.34,0.33,0.33,0.33,0.34,0.31,0.29,0.3,0.3,0.28,0.3,0.31,0.3,0.27,0.27,0.28,0.25,0.27,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.23,0.22,0.2,0.2,0.23,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.21,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.13,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.0,0.12,0.12,0.1,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.14,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73
07/22/2021,5.54,5.1,3.69,1.97,1.84,1.81,1.27,1.2,1.09,1.11,1.07,1.01,0.95,0.82,0.83,0.83,0.82,0.79,0.69,0.7,0.64,0.59,0.57,0.56,0.53,0.54,0.55,0.54,0.53,0.5,0.49,0.52,0.46,0.49,0.5,0.49,0.48,0.48,0.47,0.46,0.44,0.45,0.41,0.44,0.42,0.44,0.41,0.38,0.37,0.39,0.37,0.36,0.36,0.35,0.38,0.33,0.37,0.34,0.33,0.33,0.33,0.34,0.31,0.29,0.3,0.3,0.28,0.3,0.31,0.3,0.27,0.27,0.28,0.25,0.27,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.23,0.22,0.2,0.2,0.23,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.21,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.13,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.0,0.12,0.12,0.1,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.14,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73
07/23/2021,5.54,5.1,3.69,1.97,1.84,1.81,1.27,1.2,1.09,1.11,1.07,1.01,0.95,0.82,0.83,0.83,0.82,0.79,0.69,0.7,0.64,0.59,0.57,0.56,0.53,0.54,0.55,0.54,0.53,0.5,0.49,0.52,0.46,0.49,0.5,0.49,0.48,0.48,0.47,0.46,0.44,0.45,0.41,0.44,0.42,0.44,0.41,0.38,0.37,0.39,0.37,0.36,0.36,0.35,0.38,0.33,0.37,0.34,0.33,0.33,0.33,0.34,0.31,0.29,0.3,0.3,0.28,0.3,0.31,0.3,0.27,0.27,0.28,0.25,0.27,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.23,0.22,0.2,0.2,0.23,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.18,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.16,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.21,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.13,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.13,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.0,0.12,0.12,0.1,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.0,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.73
07/27/2021,5.5,5.15,3.7,2.09,1.89,1.85,1.25,1.17,1.15,1.08,1.07,0.99,0.93,0.83,0.86,0.81,0.81,0.76,0.67,0.71,0.63,0.57,0.54,0.55,0.57,0.51,0.55,0.55,0.52,0.51,0.47,0.51,0.45,0.5,0.49,0.49,0.46,0.48,0.46,0.47,0.44,0.46,0.41,0.44,0.43,0.44,0.41,0.39,0.36,0.38,0.36,0.37,0.36,0.35,0.38,0.33,0.36,0.34,0.34,0.33,0.34,0.35,0.31,0.29,0.3,0.29,0.3,0.3,0.31,0.31,0.27,0.26,0.27,0.26,0.27,0.26,0.27,0.27,0.24,0.26,0.24,0.24,0.22,0.24,0.22,0.21,0.23,0.22,0.2,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.18,0.18,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.25,0.17,0.17,0.17,0.16,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.17,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.15,0.13,0.14,0.13,0.14,0.13,0.12,0.14,0.12,0.13,0.12,0.12,0.13,0.0,0.11,0.13,0.1,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.0,0.1,0.1,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.88000000000001
