,XOM,CVX,ENB.TO,COP,FCX,NEM,EOG,TRP.TO,SLB,CNQ.TO,ABX.TO,MPC,PXD,PSX,KMI,SU.TO,WMB,VLO,FNV.TO,BLL,OXY,OKE,IP,HES,VMC,MLM,LNG,WPM.TO,HAL,AMCR,PPL.TO,AVY,DVN,FANG,BKR,AEM.TO,CCK,WRK,PKG,TPL,CVE.TO,KL.TO,MRO,TECK,TRGP,ATR,SEE,BERY,K.TO,OVV,APA,RGLD,CCO.TO,XEC,AA,COG,SON,PAAS.TO,EXP,EQT,LPX,NOV,WFG.TO,GPK,HFC,PDCE,CHX,BTO.TO,YRI.TO,RRC,HL,AR,MTDR,FTI,DEN,SSRM,ETRN,SWN,HP,SLGN,MUR,ARNC,AGI.TO,FR.TO,AM,REGI,CNX,UFS,OI,MP,CLR,CDE,XTSLA,CMP,NG,INT,NFE,EQX,TRQ.TO,GEF,LBRT,CAD,PTVE,CVI,SGAFT,RTYU1,IXPU1,USD,RTYZ1,IXPZ1,CTRA,SLVM,IXDZ1,SUM
07/09/2021,10.23,10.04,4.43,4.42,2.87,2.78,2.66,2.64,2.37,2.32,2.06,2.04,2.03,2.01,1.95,1.95,1.75,1.66,1.54,1.47,1.39,1.37,1.29,1.27,1.23,1.18,1.1,1.09,1.08,0.96,0.95,0.93,0.9,0.9,0.89,0.82,0.75,0.74,0.7,0.65,0.64,0.58,0.57,0.56,0.55,0.5,0.48,0.48,0.45,0.43,0.42,0.42,0.41,0.4,0.37,0.37,0.36,0.32,0.32,0.31,0.31,0.31,0.3,0.27,0.25,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.06,0.06,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,10.2,10.07,4.46,4.42,2.81,2.78,2.58,2.68,2.36,2.31,2.04,2.02,2.02,1.96,1.96,1.92,1.76,1.59,1.53,1.55,1.38,1.36,1.33,1.25,1.27,1.21,1.12,1.09,1.06,0.97,0.95,0.95,0.91,0.88,0.88,0.82,0.78,0.76,0.72,0.63,0.62,0.57,0.56,0.58,0.55,0.51,0.49,0.49,0.43,0.43,0.42,0.42,0.4,0.41,0.36,0.38,0.37,0.32,0.32,0.33,0.33,0.31,0.33,0.28,0.25,0.24,0.25,0.23,0.22,0.24,0.2,0.22,0.21,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.06,0.04,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,10.2,10.07,4.46,4.42,2.81,2.78,2.58,2.68,2.36,2.31,2.04,2.02,2.02,1.96,1.96,1.92,1.76,1.59,1.53,1.55,1.38,1.36,1.33,1.25,1.27,1.21,1.12,1.09,1.06,0.97,0.95,0.95,0.91,0.88,0.88,0.82,0.78,0.76,0.72,0.63,0.62,0.57,0.56,0.58,0.55,0.51,0.49,0.49,0.43,0.43,0.42,0.42,0.4,0.41,0.36,0.38,0.37,0.32,0.32,0.33,0.33,0.31,0.33,0.28,0.25,0.24,0.25,0.23,0.22,0.24,0.2,0.22,0.21,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.06,0.04,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,10.18,10.01,4.42,4.4,2.9,2.78,2.61,2.67,2.37,2.3,2.04,2.03,1.99,1.96,1.97,1.9,1.76,1.6,1.53,1.51,1.38,1.39,1.32,1.25,1.26,1.21,1.1,1.09,1.08,0.96,0.96,0.95,0.93,0.88,0.9,0.81,0.77,0.76,0.71,0.64,0.62,0.57,0.57,0.6,0.56,0.5,0.48,0.49,0.43,0.43,0.42,0.42,0.4,0.41,0.38,0.38,0.37,0.32,0.32,0.33,0.33,0.32,0.32,0.28,0.26,0.24,0.25,0.23,0.22,0.24,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.16,0.17,0.17,0.15,0.14,0.13,0.13,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.07,0.04,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,10.18,10.01,4.42,4.4,2.9,2.78,2.61,2.67,2.37,2.3,2.04,2.03,1.99,1.96,1.97,1.9,1.76,1.6,1.53,1.51,1.38,1.39,1.32,1.25,1.26,1.21,1.1,1.09,1.08,0.96,0.96,0.95,0.93,0.88,0.9,0.81,0.77,0.76,0.71,0.64,0.62,0.57,0.57,0.6,0.56,0.5,0.48,0.49,0.43,0.43,0.42,0.42,0.4,0.41,0.38,0.38,0.37,0.32,0.32,0.33,0.33,0.32,0.32,0.28,0.26,0.24,0.25,0.23,0.22,0.24,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.16,0.17,0.17,0.15,0.14,0.13,0.13,0.12,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.07,0.04,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,10.22,10.1,4.43,4.39,2.87,2.78,2.64,2.67,2.34,2.3,2.06,2.0,2.0,1.96,1.95,1.87,1.74,1.58,1.57,1.52,1.38,1.36,1.32,1.26,1.26,1.2,1.06,1.1,1.08,0.98,0.97,0.95,0.95,0.89,0.89,0.82,0.78,0.75,0.72,0.65,0.62,0.6,0.57,0.59,0.56,0.5,0.47,0.48,0.43,0.43,0.42,0.42,0.39,0.41,0.36,0.39,0.37,0.33,0.32,0.33,0.32,0.32,0.31,0.28,0.26,0.24,0.25,0.23,0.22,0.24,0.21,0.22,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.15,0.16,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.1,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.06,0.04,0.03,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,10.2,10.14,4.48,4.35,2.84,2.87,2.51,2.71,2.27,2.26,2.13,1.95,1.93,1.91,1.96,1.84,1.75,1.54,1.65,1.57,1.29,1.37,1.32,1.21,1.32,1.26,1.08,1.16,1.04,1.01,0.97,0.97,0.9,0.84,0.87,0.86,0.8,0.76,0.73,0.64,0.6,0.63,0.54,0.59,0.54,0.51,0.49,0.5,0.46,0.41,0.39,0.44,0.39,0.39,0.36,0.37,0.38,0.34,0.33,0.31,0.32,0.31,0.31,0.28,0.25,0.23,0.24,0.25,0.24,0.23,0.21,0.22,0.2,0.18,0.19,0.21,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.15,0.16,0.17,0.16,0.15,0.14,0.13,0.12,0.12,0.12,0.13,0.11,0.11,0.09,0.1,0.09,0.09,0.06,0.04,0.03,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.92000000000002
07/20/2021,10.2,10.14,4.48,4.35,2.84,2.87,2.51,2.71,2.27,2.26,2.13,1.95,1.93,1.91,1.96,1.84,1.75,1.54,1.65,1.57,1.29,1.37,1.32,1.21,1.32,1.26,1.08,1.16,1.04,1.01,0.97,0.97,0.9,0.84,0.87,0.86,0.8,0.76,0.73,0.64,0.6,0.63,0.54,0.59,0.54,0.51,0.49,0.5,0.46,0.41,0.39,0.44,0.39,0.39,0.36,0.37,0.38,0.34,0.33,0.31,0.32,0.31,0.31,0.28,0.25,0.23,0.24,0.25,0.24,0.23,0.21,0.22,0.2,0.18,0.19,0.21,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.15,0.16,0.17,0.16,0.15,0.14,0.13,0.12,0.12,0.12,0.13,0.11,0.11,0.09,0.1,0.09,0.09,0.06,0.04,0.03,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.92000000000002
07/22/2021,10.14,10.18,4.58,4.33,2.84,2.91,2.45,2.76,2.23,2.18,2.18,1.94,1.89,1.85,2.0,1.79,1.8,1.51,1.69,1.64,1.25,1.34,1.35,1.21,1.35,1.27,1.12,1.16,1.03,1.04,1.0,0.99,0.89,0.79,0.85,0.89,0.82,0.76,0.75,0.65,0.58,0.64,0.52,0.56,0.55,0.54,0.5,0.52,0.46,0.39,0.39,0.45,0.39,0.39,0.35,0.37,0.4,0.33,0.33,0.31,0.31,0.31,0.31,0.29,0.25,0.21,0.24,0.24,0.24,0.22,0.21,0.21,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.15,0.16,0.17,0.16,0.16,0.14,0.13,0.12,0.11,0.12,0.14,0.11,0.11,0.09,0.1,0.08,0.09,0.06,0.03,0.03,0.02,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/23/2021,10.12,10.1,4.53,4.34,2.85,2.86,2.46,2.75,2.25,2.2,2.17,1.96,1.9,1.84,2.01,1.81,1.79,1.51,1.68,1.63,1.26,1.38,1.35,1.2,1.36,1.28,1.14,1.16,1.05,1.02,1.0,0.98,0.89,0.8,0.86,0.88,0.82,0.76,0.74,0.68,0.58,0.64,0.53,0.55,0.56,0.53,0.49,0.51,0.45,0.39,0.39,0.45,0.39,0.38,0.38,0.37,0.39,0.33,0.34,0.32,0.32,0.31,0.32,0.29,0.24,0.22,0.24,0.24,0.24,0.23,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.19,0.18,0.14,0.17,0.18,0.16,0.16,0.14,0.13,0.12,0.11,0.11,0.14,0.11,0.11,0.09,0.1,0.08,0.09,0.06,0.03,0.03,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
