,T 2.75 04.30.23,T 1.75 05.15.23,T 1.625 04.30.23,T 1.625 05.31.23,T 1.375 06.30.23,T 0.125 05.31.23,T 0.25 06.15.23,T 0.125 07.15.23,T 0.125 07.31.23,T 0.125 08.15.23,AAPL,MSFT,AMZN,TSLA,GOOG,GOOGL,NVDA,META,PEP,AVGO,COST,ADBE,CSCO,CMCSA,TMUS,INTC,AMD,TXN,QCOM,AMGN,HON,INTU,PYPL,ADP,SBUX,MDLZ,AMAT,NFLX,BKNG,ADI,CHTR,GILD,ISRG,VRTX,MU,CSX,REGN,LRCX,FISV,ATVI,MRNA,MAR,KDP,KLAC,MNST,PANW,AEP,SNPS,KHC,FTNT,NXPI,PAYX,EXC,MRVL,CDNS,ASML,ORLY,JD,ADSK,CTAS,ABNB,EA,XEL,BIDU,CRWD,AZN,CTSH,WBA,LULU,MELI,DLTR,MCHP,ILMN,FAST,BIIB,DXCM,PCAR,PDD,IDXX,WDAY,LCID,ODFL,SGEN,ZM,ROST,TEAM,VRSK,CPRT,EBAY,DDOG,SIRI,MTCH,NTES,ANSS,ZS,CEG,ALGN,VRSN,SWKS,SPLK,OKTA,DOCU,SUM
06/20/2022,9.23,9.14,9.14,9.12,9.09,9.0,9.0,8.96,8.95,8.94,1.15,1.01,0.59,0.37,0.37,0.35,0.31,0.31,0.19,0.19,0.18,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,99.96999999999996
07/03/2022,9.18,9.1,9.09,9.08,9.05,8.96,8.96,8.92,8.91,8.9,1.23,1.06,0.62,0.4,0.39,0.38,0.31,0.31,0.2,0.18,0.19,0.16,0.16,0.16,0.15,0.14,0.12,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,100.04
07/03/2022,9.18,9.1,9.09,9.08,9.05,8.96,8.96,8.92,8.91,8.9,1.23,1.06,0.62,0.4,0.39,0.38,0.31,0.31,0.2,0.18,0.19,0.16,0.16,0.16,0.15,0.14,0.12,0.13,0.13,0.12,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,100.03999999999999
