,CRDL.TO,CYBN.NE,CMPS,ATAI,NUMI.V,BPFH,PCLO.V,AH.TO,CRON.TO,CWEB.TO,TRIP.CN,MMED.NE,SEEL,FTRP.TO,LABS.TO,ZYNE,WLLW.TO,YCBD,CRBP,n/a,FGXXX,NEPT.TO,PLLDA.AX,ACB.TO,GHRS,FORA,TBP.TO,SLHG.V,MYCO.NE,MYCOF,SUM
08/27/2021,7.72,6.05,6.03,5.92,5.44,5.22,5.03,4.99,4.97,4.89,4.82,4.81,4.72,4.66,4.53,4.51,4.17,4.01,3.93,3.48,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/30/2021,8.03,6.44,5.84,6.1,5.38,5.15,4.84,4.49,4.93,4.71,4.79,4.71,5.0,4.59,4.33,4.45,4.39,4.34,3.78,3.6,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,8.03,6.44,5.84,6.1,5.38,5.15,4.84,4.49,4.93,4.71,4.79,4.71,5.0,4.59,4.33,4.45,4.39,4.34,3.78,0.11,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,8.59,6.59,5.82,6.08,5.3,0.0,4.85,4.57,4.89,4.45,4.63,4.83,5.11,4.56,4.2,4.46,4.22,4.17,3.81,3.55,0.11,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/02/2021,8.59,6.59,5.82,6.08,5.3,0.0,4.85,4.57,4.89,4.45,4.63,4.83,5.11,4.56,4.2,4.46,4.22,4.17,3.81,3.55,0.11,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/03/2021,8.86,7.56,5.94,5.8,5.29,0.0,4.88,4.55,4.81,4.3,4.62,4.88,4.94,4.53,4.19,4.39,4.04,4.27,3.64,0.11,0.0,3.26,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,8.62,6.92,5.92,6.18,5.27,0.0,4.65,4.49,4.86,4.25,4.21,5.07,4.93,4.99,4.13,4.76,3.81,4.41,3.94,3.25,0.11,0.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,8.62,6.92,5.92,6.18,5.27,0.0,4.65,4.49,4.86,4.25,4.21,5.07,4.93,4.99,4.13,4.76,3.81,4.41,3.94,0.0,0.11,3.25,0.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/08/2021,8.62,6.92,5.92,6.18,5.27,0.0,4.65,4.49,4.86,4.25,4.21,5.07,4.93,4.99,4.13,4.76,3.81,4.41,3.94,0.0,0.11,3.25,0.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,9.1,7.21,5.92,6.12,5.15,0.0,4.89,4.35,4.78,4.21,3.94,4.88,4.95,5.12,4.19,4.66,3.7,4.62,3.74,0.0,0.11,3.14,0.0,5.21,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/10/2021,10.06,6.8,6.06,6.31,5.0,0.0,4.8,4.54,4.64,4.21,4.47,4.67,4.77,5.03,3.99,4.63,3.69,4.55,3.62,0.0,0.11,3.04,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,9.79,6.66,6.05,6.45,5.2,0.0,4.92,4.54,4.56,4.01,4.46,4.57,4.83,5.33,4.12,4.59,3.58,4.73,3.67,0.0,0.05,3.01,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,9.89,6.65,6.24,6.15,5.06,0.0,4.96,4.41,4.65,3.98,4.32,4.44,4.89,5.24,4.12,4.84,3.97,4.54,3.65,0.0,0.04,3.04,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
09/15/2021,9.66,6.72,6.2,5.94,4.98,0.0,5.31,5.11,4.57,3.95,4.13,4.36,4.87,5.07,4.14,4.73,4.27,4.42,3.6,0.0,0.04,3.19,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,9.66,6.72,6.2,5.94,4.98,0.0,5.31,5.11,4.57,3.95,4.13,4.36,4.87,5.07,4.14,4.73,4.27,4.42,3.6,0.0,0.04,3.19,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,9.12,7.11,6.15,5.83,5.13,0.0,5.18,5.12,4.63,4.0,4.53,4.28,4.67,5.16,4.2,4.87,4.0,4.37,3.6,0.0,0.04,3.16,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,9.93,6.7,6.16,5.76,5.16,0.0,5.44,4.93,4.61,3.95,4.51,4.48,4.85,4.8,4.21,4.84,3.89,4.14,3.6,0.0,0.04,3.01,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/21/2021,10.86,6.57,6.3,5.76,5.19,0.0,5.28,4.97,4.61,3.9,4.39,4.43,4.81,4.8,4.05,4.79,3.76,4.04,3.59,0.0,0.04,2.91,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
