,NEM,ABX.TO,WPM.TO,KL.TO,NCM.AX,AEM.TO,GFI.JO,K.TO,ANG.JO,POLY.L,EDV.TO,BTO.TO,YRI.TO,SSRM,AGI.TO,HAR.JO,CDE,ANTM.JK,ELD.TO,CG.TO,BVN.,EQX,CEY.L,PVG.TO,IMG.TO,NGD.TO,WDO.TO,TXG.TO,SBM.AX,KOZAL.IS,DEG.AX,WGX.AX,AR.TO,HOC.L,WAF.AX,MUX,LUG.TO,DRD.JO,RSG.AX,CXB,XTSLA,CAD,ZAR,WFFUT,AUD,GBP,TRY,CNH,IDR,PTU1,KOZAL.E.IS,USD,CXB.TO,PTZ1,SUM
07/09/2021,21.55,15.81,8.04,4.69,4.58,4.41,3.75,3.66,3.63,3.46,2.08,2.07,1.95,1.73,1.56,1.14,1.12,0.98,0.97,0.96,0.95,0.92,0.92,0.88,0.84,0.77,0.75,0.68,0.62,0.57,0.5,0.46,0.43,0.42,0.41,0.4,0.35,0.31,0.31,0.22,0.1,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,21.5,15.79,8.11,4.86,4.63,4.43,3.78,3.57,3.73,3.52,2.13,1.97,1.9,1.77,1.57,1.18,1.06,1.0,0.95,0.9,0.91,0.9,0.91,0.85,0.81,0.75,0.75,0.64,0.61,0.56,0.51,0.45,0.44,0.42,0.43,0.36,0.35,0.3,0.33,0.23,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,21.15,15.68,8.14,4.94,4.71,4.44,3.79,3.63,3.67,3.51,2.15,2.07,1.97,1.78,1.6,1.16,1.02,1.01,0.95,0.9,0.94,0.9,0.91,0.86,0.83,0.75,0.77,0.64,0.65,0.56,0.5,0.46,0.44,0.41,0.41,0.36,0.35,0.3,0.33,0.23,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,21.15,15.68,8.14,4.94,4.71,4.44,3.79,3.63,3.67,3.51,2.15,2.07,1.97,1.78,1.6,1.16,1.02,1.01,0.95,0.9,0.94,0.9,0.91,0.86,0.83,0.75,0.77,0.64,0.65,0.56,0.5,0.46,0.44,0.41,0.41,0.36,0.35,0.3,0.33,0.23,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,21.24,15.79,8.04,4.89,4.76,4.49,3.87,3.57,3.75,3.58,2.15,1.98,1.93,1.74,1.58,1.21,0.96,1.07,0.91,0.92,0.92,0.85,0.93,0.85,0.79,0.71,0.75,0.63,0.64,0.57,0.5,0.45,0.45,0.41,0.41,0.34,0.33,0.3,0.34,0.23,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/23/2021,21.12,15.87,8.1,4.94,4.7,4.49,3.89,3.56,3.79,3.51,2.14,1.98,1.94,1.73,1.57,1.23,0.95,1.07,0.92,0.93,0.95,0.86,0.93,0.84,0.79,0.71,0.76,0.62,0.64,0.57,0.49,0.45,0.45,0.39,0.43,0.34,0.34,0.29,0.34,0.23,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,20.99,15.92,8.19,4.88,4.74,4.46,3.83,3.57,3.72,3.46,2.18,2.03,1.92,1.74,1.61,1.2,0.98,1.04,0.93,0.95,0.96,0.88,0.91,0.86,0.74,0.72,0.77,0.64,0.64,0.57,0.51,0.45,0.47,0.41,0.44,0.35,0.35,0.3,0.34,0.22,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,20.98,15.94,8.19,4.84,4.65,4.5,3.83,3.6,3.73,3.42,2.19,2.04,1.93,1.75,1.64,1.21,0.98,1.06,0.93,0.96,0.99,0.91,0.91,0.86,0.76,0.7,0.77,0.65,0.61,0.56,0.48,0.44,0.47,0.41,0.43,0.35,0.36,0.3,0.32,0.21,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,21.21,16.03,8.22,4.78,4.65,4.49,3.83,3.57,3.73,3.41,2.2,2.02,1.93,1.74,1.62,1.2,0.97,1.01,0.93,0.97,0.98,0.9,0.92,0.85,0.76,0.68,0.77,0.64,0.6,0.56,0.48,0.43,0.46,0.4,0.41,0.35,0.36,0.3,0.31,0.21,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/02/2021,20.87,15.99,8.21,4.99,4.58,4.56,3.94,3.67,3.76,3.42,2.18,2.03,1.94,1.73,1.59,1.23,0.96,1.0,0.94,0.94,0.94,0.93,0.9,0.85,0.76,0.72,0.78,0.64,0.56,0.56,0.5,0.42,0.47,0.43,0.39,0.36,0.36,0.3,0.28,0.21,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
