,NOVN.SW,NESN.SW,ULVR.L,RY.TO,SAN.PA,TD.TO,ALV.DE,SIE.DE,ENEL.MI,IBE.MC,SAP.DE,DGE.L,BMO.TO,1299.HK,CM.TO,RKT.L,SU.PA,9433.T,2318.HK,MFC.TO,BN.PA,INFY.NS,REL.L,8766.T,CNR.TO,VNA.DE,9432.T,700.HK,BA.L,SLF.TO,CSL.AX,CRH.L,3382.T,4063.T,NA.TO,BAM.A.TO,DB1.DE,FTS.TO,4503.T,6981.T,2.HK,FERG.L,4452.T,8750.T,6758.T,FME.DE,TCS.NS,EXPN.L,TOPGLOV.KL,GIVN.SW,GEBN.SW,ASSA B.ST,1928.T,MG.TO,688.HK,FRE.DE,NESTE.HE,2884.TW,TRN.MI,AMXL.MX,POWERGRID.NS,SIKA.SW,5876.TW,SK3.IR,IFC.TO,CP.TO,DWNI.DE,BBCA.JK,SN.L,COLO B.CO,LSEG.L,BBRI.JK,LEG.DE,POLY.L,SHL.AX,960.HK,669.HK,RO.SW,6988.T,600036.SS,SGE.L,5871.TW,AEM.TO,AHT.L,601318.SS,BMRI.JK,SWMA.ST,1093.HK,BIMAS.IS,8473.T,12.HK,ITRK.L,BNR.DE,BNZL.L,ATD.B.TO,66.HK,600519.SS,JBH.AX,CTC.A.TO,OTEX.TO,WPM.TO,UCB.BR,4507.T,DCC.L,EVN.AX,270.HK,MRU.TO,TEP.PA,KRZ.IR,ICA.ST,CAST.ST,NZYM B.CO,CPU.AX,CRDA.L,4768.T,RUI.PA,RIGDS.,L.TO,SY1.DE,TEG.DE,884.HK,VALMT.HE,IAG.TO,4543.T,CCH.L,2313.HK,4021.T,1803.T,ALDAR.,HUH1V.HE,8331.T,7532.T,HL.L,FNV.TO,LOGN.SW,8113.T,NST.AX,HTO.AT,REC.MI,EMSN.SW,4732.T,7459.T,XTSLA,PKI.TO,1336.HK,CPALL-R.BK,AC.MX,4206.T,1972.HK,DSV.CO,2433.T,SXS.L,BME.L,SPX.L,SAP.TO,WN.TO,4307.T,FPH.NZ,STMN.SW,DSY.PA,051900.KS,HLMA.L,RBA.TO,RHM.DE,VIS.MC,5929.T,QBR.B.TO,3626.T,CAI.VI,1951.T,3231.T,8804.T,TLX.DE,LXS.DE,2002.T,2371.T,2784.T,ACO.X.TO,384.HK,1721.T,FTT.TO,9613.T,X.TO,9042.T,FABG.ST,8056.T,COLR.BR,5393.T,AALB.AS,ULE.L,2395.TW,WIE.VI,GAW.L,RBREW.CO,HSV.L,7951.T,TIH.TO,4613.T,4091.T,EMP.A.TO,DSYA.,RELIANCE.NS,CWB.TO,6690.HK,4684.T,DKSH.SW,9682.T,EUR,000858.SZ,4282.T,HPOL B.ST,DMP.AX,-,CAD,1906272D,INR,GBP,CHF,BCOLOMBIA.BC,BAM,BIMAS.E.IS,PBH.TO,IMCD.AS,IDR,JPY,TWD,ISA.BC,9989.T,AUD,ASIANPAINT.NS,1193.HK,6028.T,3360.T,SUM
07/09/2021,3.07,3.04,2.97,2.93,2.91,2.9,2.8,2.8,2.66,2.33,2.15,1.99,1.89,1.78,1.76,1.55,1.52,1.48,1.44,1.43,1.4,1.27,1.2,1.15,1.11,1.03,1.0,0.98,0.9,0.83,0.78,0.73,0.72,0.71,0.68,0.64,0.64,0.63,0.62,0.6,0.6,0.56,0.56,0.55,0.5,0.49,0.46,0.44,0.44,0.42,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79
07/12/2021,3.11,3.11,2.98,2.93,2.91,2.79,2.78,2.8,2.67,2.27,2.23,1.98,1.87,1.75,1.75,1.55,1.51,1.52,1.39,1.4,1.38,1.27,1.2,1.16,1.13,1.03,1.02,0.94,0.92,0.82,0.79,0.73,0.72,0.69,0.67,0.64,0.63,0.64,0.61,0.62,0.6,0.57,0.56,0.53,0.49,0.5,0.46,0.45,0.42,0.43,0.42,0.39,0.39,0.38,0.39,0.37,0.37,0.37,0.37,0.35,0.36,0.35,0.34,0.32,0.33,0.32,0.34,0.32,0.32,0.32,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.26,0.26,0.23,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.84
07/13/2021,3.11,3.11,2.98,2.93,2.91,2.79,2.78,2.8,2.67,2.27,2.23,1.98,1.87,1.75,1.75,1.55,1.51,1.52,1.39,1.4,1.38,1.27,1.2,1.16,1.13,1.03,1.02,0.94,0.92,0.82,0.79,0.73,0.72,0.69,0.67,0.64,0.63,0.64,0.61,0.62,0.6,0.57,0.56,0.53,0.49,0.5,0.46,0.45,0.42,0.43,0.42,0.39,0.39,0.38,0.39,0.37,0.37,0.37,0.37,0.35,0.36,0.35,0.34,0.32,0.33,0.32,0.34,0.32,0.32,0.32,0.3,0.29,0.29,0.28,0.28,0.26,0.25,0.26,0.26,0.23,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.84
07/14/2021,3.11,3.07,2.98,2.94,2.94,2.82,2.82,2.82,2.67,2.27,2.24,1.97,1.88,1.75,1.77,1.54,1.54,1.5,1.37,1.42,1.38,1.27,1.21,1.15,1.15,1.04,1.01,0.95,0.93,0.83,0.78,0.74,0.7,0.67,0.68,0.65,0.62,0.63,0.61,0.6,0.59,0.57,0.54,0.52,0.49,0.5,0.45,0.46,0.42,0.42,0.42,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.3,0.28,0.29,0.28,0.28,0.26,0.25,0.26,0.26,0.23,0.25,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.21,0.2,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.1,0.1,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.0,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.0,0.07,0.1,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.69
07/15/2021,3.11,3.07,2.98,2.94,2.94,2.82,2.82,2.82,2.67,2.27,2.24,1.97,1.88,1.75,1.77,1.54,1.54,1.5,1.37,1.42,1.38,1.27,1.21,1.15,1.15,1.04,1.01,0.95,0.93,0.83,0.78,0.74,0.7,0.67,0.68,0.65,0.62,0.63,0.61,0.6,0.59,0.57,0.54,0.52,0.49,0.5,0.45,0.46,0.42,0.42,0.42,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.3,0.28,0.29,0.28,0.28,0.26,0.25,0.26,0.26,0.23,0.25,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.21,0.2,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.1,0.1,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.0,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.0,0.07,0.1,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.69
07/16/2021,3.08,3.06,2.98,2.94,2.95,2.78,2.78,2.82,2.68,2.26,2.26,1.99,1.87,1.77,1.76,1.53,1.54,1.51,1.37,1.4,1.37,1.24,1.23,1.17,1.12,1.04,1.02,0.97,0.92,0.82,0.78,0.72,0.71,0.68,0.67,0.63,0.63,0.62,0.62,0.61,0.59,0.58,0.55,0.54,0.51,0.51,0.45,0.46,0.42,0.43,0.42,0.4,0.39,0.37,0.38,0.37,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.32,0.33,0.31,0.33,0.32,0.31,0.32,0.29,0.28,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.23,0.25,0.25,0.24,0.25,0.22,0.23,0.23,0.24,0.21,0.22,0.21,0.22,0.22,0.23,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.11,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.0,0.07,0.1,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75
07/19/2021,3.05,3.04,2.96,2.98,2.91,2.79,2.78,2.74,2.65,2.24,2.23,1.99,1.87,1.76,1.77,1.52,1.52,1.52,1.4,1.41,1.35,1.28,1.23,1.17,1.12,1.04,1.01,0.99,0.92,0.83,0.77,0.72,0.7,0.67,0.68,0.64,0.62,0.63,0.62,0.62,0.6,0.56,0.55,0.54,0.5,0.5,0.45,0.47,0.45,0.43,0.42,0.39,0.4,0.37,0.39,0.37,0.37,0.37,0.37,0.38,0.35,0.35,0.34,0.32,0.33,0.31,0.33,0.32,0.3,0.31,0.28,0.28,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.23,0.25,0.25,0.24,0.25,0.22,0.23,0.23,0.26,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.12,0.13,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.0,0.07,0.1,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.69
07/20/2021,3.05,3.04,2.96,2.98,2.91,2.79,2.78,2.74,2.65,2.24,2.23,1.99,1.87,1.76,1.77,1.52,1.52,1.52,1.4,1.41,1.35,1.28,1.23,1.17,1.12,1.04,1.01,0.99,0.92,0.83,0.77,0.72,0.7,0.67,0.68,0.64,0.62,0.63,0.62,0.62,0.6,0.56,0.55,0.54,0.5,0.5,0.45,0.47,0.45,0.43,0.42,0.39,0.4,0.37,0.39,0.37,0.37,0.37,0.37,0.38,0.35,0.35,0.34,0.32,0.33,0.31,0.33,0.32,0.3,0.31,0.28,0.28,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.23,0.25,0.25,0.24,0.25,0.22,0.23,0.23,0.26,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.11,0.12,0.13,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.0,0.07,0.1,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.69
07/21/2021,3.07,3.07,3.0,2.93,2.94,2.76,2.76,2.73,2.68,2.26,2.24,2.0,1.84,1.77,1.76,1.55,1.5,1.51,1.41,1.4,1.36,1.26,1.23,1.17,1.12,1.05,1.01,0.99,0.92,0.82,0.77,0.72,0.7,0.67,0.68,0.62,0.62,0.63,0.62,0.61,0.6,0.56,0.55,0.54,0.49,0.51,0.45,0.48,0.44,0.43,0.42,0.39,0.39,0.36,0.4,0.37,0.37,0.37,0.38,0.39,0.36,0.36,0.34,0.32,0.33,0.31,0.33,0.32,0.3,0.32,0.28,0.28,0.29,0.28,0.29,0.26,0.26,0.27,0.26,0.23,0.25,0.26,0.24,0.25,0.22,0.23,0.23,0.25,0.22,0.21,0.2,0.21,0.22,0.23,0.22,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.70000000000002
07/22/2021,3.08,3.12,3.02,2.9,2.95,2.7,2.7,2.71,2.59,2.26,2.23,1.98,1.81,1.74,1.74,1.56,1.5,1.54,1.41,1.38,1.37,1.27,1.23,1.2,1.1,1.06,1.03,0.98,0.91,0.82,0.79,0.7,0.71,0.68,0.66,0.61,0.62,0.64,0.64,0.61,0.61,0.56,0.56,0.54,0.5,0.51,0.45,0.47,0.44,0.44,0.43,0.39,0.4,0.35,0.4,0.37,0.37,0.37,0.37,0.38,0.36,0.36,0.34,0.32,0.33,0.31,0.34,0.32,0.3,0.33,0.29,0.28,0.3,0.28,0.29,0.27,0.26,0.27,0.27,0.24,0.25,0.26,0.24,0.24,0.22,0.23,0.23,0.25,0.22,0.22,0.21,0.21,0.22,0.23,0.21,0.21,0.2,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.16,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.12,0.12,0.13,0.12,0.13,0.11,0.12,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.1,0.1,0.08,0.08,0.0,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.73
