,AAPL,MSFT,NVDA,V,MA,PYPL,ADBE,INTC,CRM,CSCO,ACN,AVGO,TXN,QCOM,ORCL,INTU,AMAT,IBM,AMD,NOW,SQ,FIS,LRCX,MU,ADP,ZM,FISV,ADSK,ADI,TWLO,GPN,NXPI,DOCU,KLAC,MRVL,TEL,CRWD,WDAY,SNPS,APH,MCHP,CDNS,HPQ,MSI,CTSH,PANW,XLNX,PAYX,FTNT,TTD,GLW,SWKS,ANSS,OKTA,EPAM,ZBRA,KEYS,MXIM,DELL,HUBS,CDW,NET,VRSN,SPLK,ENPH,IT,QRVO,RNG,WDC,TER,WORK,ANET,TRMB,FLT,PAYC,MDB,AKAM,COUP,HPE,BR,TYL,DDOG,STX,NTAP,ZS,ZEN,SSNC,MPWR,PTC,ENTG,ON,NLOK,NUAN,GDDY,CGNX,FICO,CTXS,SEDG,AVLR,VMW,CDAY,BILL,PLTR,JKHY,BKI,688208.SS,FIVN,FFIV,688208.SS.1,BSY,DT,CREE,DXC,PFPT,OLED,DBX,AZPN,WU,MANH,MKSI,ESTC,GWRE,CIEN,FLEX,JNPR,WEX,FSLR,ARW,SMAR,JBL,IPGP,IIVI,LSCC,NTNX,PCTY,EEFT,CNXC,PLAN,BRKS,SLAB,DLB,COHR,LITE,NCR,LFUS,CDK,JCOM,VRNS,SNOW,BL,U,APPS,PEGA,NATI,VNT,FSLY,QTWO,MMS,TDC,SYNA,SNX,CRUS,PSTG,POWI,AYX,ADS,NOVT,EVBG,FEYE,MSTR,RPD,APPN,CRNC,SAIL,DDD,SMTC,WK,ASAN,COMM,CCMP,BOX,AEIS,XRX,ALRM,AVT,ENV,VIAV,ITRI,ACIW,LPSN,NEWR,SABR,ROG,AMBA,SPSC,KLIC,CLDR,FN,DIOD,EXLS,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,Xak Technology Sep21 Xcme 20210917,QLYS,NSIT,FOUR,VG,Us Dollar,CVLT,SPT,SUM
07/09/2021,19.68,16.66,4.25,3.39,2.78,2.7,2.38,1.93,1.91,1.89,1.62,1.6,1.48,1.36,1.31,1.14,1.06,1.05,0.96,0.91,0.79,0.76,0.76,0.75,0.72,0.67,0.55,0.55,0.53,0.52,0.48,0.47,0.44,0.4,0.38,0.38,0.38,0.36,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.03
07/12/2021,20.16,16.66,4.19,3.38,2.75,2.75,2.41,1.89,1.89,1.87,1.63,1.59,1.45,1.32,1.37,1.15,1.03,1.04,0.91,0.92,0.79,0.75,0.73,0.73,0.72,0.67,0.55,0.54,0.51,0.52,0.47,0.46,0.45,0.39,0.38,0.38,0.4,0.36,0.35,0.35,0.32,0.32,0.31,0.32,0.3,0.31,0.28,0.3,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.11,0.1,0.0,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.11,0.1,0.03,0.03,0.0,0.0,0.0,0.0,0.0,98.09000000000002
07/13/2021,20.16,16.66,4.19,3.38,2.75,2.75,2.41,1.89,1.89,1.87,1.63,1.59,1.45,1.32,1.37,1.15,1.03,1.04,0.91,0.92,0.79,0.75,0.73,0.73,0.72,0.67,0.55,0.54,0.51,0.52,0.47,0.46,0.45,0.39,0.38,0.38,0.4,0.36,0.35,0.35,0.32,0.32,0.31,0.32,0.3,0.31,0.28,0.3,0.29,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.11,0.1,0.0,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.11,0.1,0.03,0.03,0.0,0.0,0.0,0.0,0.0,98.09000000000002
07/14/2021,20.23,16.54,4.12,3.36,2.75,2.77,2.4,1.89,1.87,1.88,1.65,1.63,1.45,1.33,1.39,1.15,1.03,1.05,0.91,0.92,0.78,0.74,0.73,0.73,0.72,0.65,0.54,0.54,0.51,0.52,0.47,0.46,0.45,0.4,0.38,0.38,0.39,0.36,0.36,0.35,0.32,0.32,0.31,0.32,0.3,0.32,0.28,0.3,0.3,0.28,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.11,0.1,0.0,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.03,0.11,0.1,0.03,0.03,0.0,0.0,0.0,0.0,0.0,98.06
07/15/2021,20.16,16.51,4.22,3.35,2.77,2.8,2.39,1.92,1.85,1.87,1.64,1.65,1.47,1.34,1.38,1.15,1.04,1.05,0.91,0.92,0.79,0.75,0.74,0.74,0.72,0.64,0.54,0.53,0.51,0.52,0.47,0.47,0.45,0.4,0.38,0.38,0.39,0.35,0.35,0.35,0.33,0.32,0.3,0.31,0.31,0.31,0.28,0.3,0.3,0.28,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.1,0.1,0.0,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.03,0.11,0.1,0.03,0.0,0.03,0.0,0.0,0.0,0.0,98.06000000000002
07/16/2021,20.27,16.69,4.16,3.41,2.82,2.78,2.4,1.92,1.86,1.87,1.64,1.64,1.46,1.33,1.38,1.15,1.04,1.04,0.91,0.91,0.78,0.75,0.74,0.73,0.72,0.64,0.55,0.54,0.51,0.52,0.47,0.47,0.44,0.4,0.38,0.38,0.39,0.35,0.35,0.35,0.32,0.32,0.29,0.31,0.3,0.31,0.27,0.3,0.3,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.2,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.11,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,98.15
07/19/2021,20.77,16.77,3.91,3.51,2.88,2.75,2.42,1.89,1.82,1.89,1.66,1.62,1.44,1.34,1.37,1.15,1.02,1.05,0.88,0.91,0.76,0.77,0.73,0.72,0.74,0.61,0.56,0.54,0.5,0.49,0.48,0.45,0.43,0.39,0.37,0.38,0.37,0.34,0.35,0.34,0.31,0.32,0.29,0.31,0.3,0.31,0.27,0.3,0.3,0.26,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.22,0.21,0.2,0.21,0.19,0.19,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.11,0.1,0.0,0.1,0.1,0.0,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.11,0.12,0.0,0.03,0.03,0.0,0.0,0.0,0.0,98.09
07/20/2021,20.66,16.91,3.78,3.54,2.89,2.76,2.44,1.88,1.84,1.91,1.66,1.61,1.44,1.33,1.41,1.15,0.99,1.04,0.87,0.92,0.78,0.78,0.71,0.71,0.74,0.62,0.56,0.54,0.5,0.5,0.48,0.44,0.44,0.38,0.36,0.37,0.38,0.34,0.35,0.34,0.3,0.32,0.29,0.31,0.3,0.32,0.27,0.31,0.3,0.25,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.22,0.2,0.21,0.21,0.19,0.2,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.13,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.1,0.11,0.11,0.11,0.11,0.09,0.11,0.11,0.0,0.1,0.1,0.0,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.0,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.11,0.12,0.03,0.03,0.0,0.03,0.0,0.0,0.0,98.12
07/21/2021,20.66,16.91,3.78,3.54,2.89,2.76,2.44,1.88,1.84,1.91,1.66,1.61,1.44,1.33,1.41,1.15,0.99,1.04,0.87,0.92,0.78,0.78,0.71,0.71,0.74,0.62,0.56,0.54,0.5,0.5,0.48,0.44,0.44,0.38,0.36,0.37,0.38,0.34,0.35,0.34,0.3,0.32,0.29,0.31,0.3,0.32,0.27,0.31,0.3,0.25,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.22,0.2,0.21,0.21,0.19,0.2,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.13,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.1,0.11,0.11,0.11,0.11,0.09,0.11,0.11,0.0,0.1,0.1,0.0,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.0,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.11,0.12,0.03,0.03,0.0,0.03,0.0,0.0,0.0,98.12
07/22/2021,20.66,16.91,3.78,3.54,2.89,2.76,2.44,1.88,1.84,1.91,1.66,1.61,1.44,1.33,1.41,1.15,0.99,1.04,0.87,0.92,0.78,0.78,0.71,0.71,0.74,0.62,0.56,0.54,0.5,0.5,0.48,0.44,0.44,0.38,0.36,0.37,0.38,0.34,0.35,0.34,0.3,0.32,0.29,0.31,0.3,0.32,0.27,0.31,0.3,0.25,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.22,0.2,0.21,0.21,0.19,0.2,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.13,0.15,0.17,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.1,0.11,0.11,0.11,0.11,0.09,0.11,0.11,0.0,0.1,0.1,0.0,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.0,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.11,0.12,0.03,0.03,0.0,0.03,0.0,0.0,0.0,98.12
